compound_id,simstd_hiqbind,ik1_hiqbind
O00444_CHEMBL5404860,0.3284,False
O00444_CHEMBL5440423,0.3491,False
O00444_CHEMBL5437782,0.3284,False
O00444_CHEMBL5421379,0.3457,False
O00444_CHEMBL5410573,0.3672,False
O00444_CHEMBL5410589,0.3523,False
O00444_CHEMBL5395499,0.3735,False
O00444_CHEMBL5411283,0.3457,False
O00444_CHEMBL5394214,0.365,False
O00444_CHEMBL5424982,0.3264,False
O00444_CHEMBL5409586,0.3262,False
O00444_CHEMBL5430398,0.3284,False
O00444_CHEMBL5415639,0.3188,False
O00444_CHEMBL5431124,0.3462,False
O00444_CHEMBL5440224,0.3098,False
O00444_CHEMBL5420676,0.3333,False
O00444_CHEMBL5439579,0.3235,False
O00444_CHEMBL5421662,0.3333,False
O00444_CHEMBL5424261,0.4033,False
O00444_CHEMBL5420664,0.3447,False
O00444_CHEMBL5418913,0.3845,False
O00444_CHEMBL5407522,0.6807,False
O00444_CHEMBL5397303,0.3157,False
O00444_CHEMBL5432162,0.3069,False
O00444_CHEMBL5400736,0.3301,False
O00444_CHEMBL5426828,0.3364,False
O00444_CHEMBL5404983,0.3225,False
O00444_CHEMBL5432542,0.3369,False
O00444_CHEMBL5399648,0.3142,False
O00444_CHEMBL5420150,0.3269,False
O00444_CHEMBL5402864,0.3203,False
O00444_CHEMBL5439790,0.3201,False
O00444_CHEMBL5423111,0.3462,False
O00444_CHEMBL5408496,0.353,False
O00444_CHEMBL5425999,0.3271,False
O00444_CHEMBL5424704,0.3496,False
O00444_CHEMBL5439446,0.324,False
O00444_CHEMBL5420852,0.3274,False
O00444_CHEMBL5435158,0.3333,False
O00444_CHEMBL5424463,0.3271,False
O00444_CHEMBL5429187,0.313,False
O00444_CHEMBL5429940,0.3071,False
O00444_CHEMBL5397250,0.353,False
O00444_CHEMBL5435416,0.3196,False
O00444_CHEMBL5409434,0.3298,False
O00444_CHEMBL5438019,0.3196,False
O00444_CHEMBL5430106,0.3201,False
O00444_CHEMBL5418250,0.3264,False
O00444_CHEMBL5429009,0.3369,False
O00444_CHEMBL5396416,0.3232,False
O00444_CHEMBL5425790,0.3069,False
O00444_CHEMBL5405656,0.3164,False
O00444_CHEMBL5420682,0.2834,False
O00444_CHEMBL5433109,0.2783,False
O00444_CHEMBL5410922,0.2947,False
O00444_CHEMBL5435903,0.2842,False
O00444_CHEMBL5423103,0.2666,False
O00444_CHEMBL5434630,0.2688,False
O00444_CHEMBL5413470,0.2844,False
O00444_CHEMBL5435948,0.2734,False
O00444_CHEMBL5438512,0.27,False
O00444_CHEMBL5431008,0.27,False
O00444_CHEMBL5396799,0.27,False
O00444_CHEMBL5401859,0.27,False
O00444_CHEMBL5436294,0.27,False
O00444_CHEMBL5397574,0.27,False
O00444_CHEMBL5422161,0.27,False
O00444_CHEMBL5396625,0.27,False
O00444_CHEMBL5407696,0.2727,False
O00444_CHEMBL5408998,0.2754,False
O00444_CHEMBL5402930,0.2646,False
O00444_CHEMBL5440306,0.2673,False
O00444_CHEMBL5430793,0.27,False
O00444_CHEMBL5430165,0.2727,False
O00444_CHEMBL5405221,0.2842,False
O00444_CHEMBL5432601,0.2932,False
O00444_CHEMBL5434881,0.2749,False
O00444_CHEMBL5404385,0.2759,False
O00444_CHEMBL5438607,0.2783,False
O00444_CHEMBL5422518,0.2947,False
O00444_CHEMBL5397330,0.2842,False
O00444_CHEMBL5394971,0.2795,False
O00444_CHEMBL5430972,0.3164,False
O00444_CHEMBL5412525,0.3101,False
O00444_CHEMBL5420791,0.3301,False
O00444_CHEMBL5435316,0.3816,False
O00444_CHEMBL5424478,0.3635,False
O00444_CHEMBL5432853,0.3555,False
O00444_CHEMBL5413962,0.3977,False
O00444_CHEMBL5414664,0.4917,False
O00444_CHEMBL5408822,0.4546,False
O00444_CHEMBL5410643,0.4688,False
O00444_CHEMBL5402575,0.4917,False
O00444_CHEMBL5395263,0.4546,False
O00444_CHEMBL5416874,0.4688,False
O00444_CHEMBL5400742,0.3999,False
O00444_CHEMBL5432922,0.322,False
O00444_CHEMBL5434779,0.3521,False
O00444_CHEMBL5407687,0.4189,False
O00444_CHEMBL5399061,0.4412,False
O00444_CHEMBL5394505,0.4412,False
O00444_CHEMBL5402720,0.3677,False
O00444_CHEMBL5429145,0.3,False
O00444_CHEMBL5417800,0.3247,False
O00444_CHEMBL5430526,0.3333,False
O00444_CHEMBL5409014,0.4119,False
O00444_CHEMBL5401427,0.4861,False
O00444_CHEMBL5412717,0.4524,False
O00444_CHEMBL5431580,0.4688,False
O00444_CHEMBL5401007,0.3489,False
O00444_CHEMBL5404382,0.3372,False
O00444_CHEMBL5410562,0.4534,False
O00444_CHEMBL5440788,0.4412,False
O00444_CHEMBL5415559,0.5,False
O00444_CHEMBL5420027,0.4614,False
O14757_CHEMBL5413462,0.5122,False
O14757_CHEMBL5409504,0.488,False
O14757_CHEMBL5420872,0.5122,False
O14757_CHEMBL5421825,0.488,False
O14757_CHEMBL5428033,0.446,False
O14757_CHEMBL5439250,0.5127,False
O14757_CHEMBL5420001,0.5,False
O14757_CHEMBL5421001,0.4109,False
O14757_CHEMBL5431016,0.4546,False
O14757_CHEMBL5427282,0.4546,False
O14757_CHEMBL5407292,0.4111,False
O14757_CHEMBL5408927,0.4761,False
O14757_CHEMBL5409205,0.4719,False
O14757_CHEMBL5401396,0.3918,False
O14757_CHEMBL5408938,0.4363,False
O14757_CHEMBL5398690,0.3899,False
O14757_CHEMBL5394796,0.3899,False
O14757_CHEMBL5430670,0.4673,False
O14757_CHEMBL5398934,0.4673,False
O14757_CHEMBL5419654,0.4941,False
O14757_CHEMBL5403690,0.4719,False
O14757_CHEMBL5432385,0.4724,False
O14757_CHEMBL5425583,0.4719,False
O14757_CHEMBL5427417,0.4719,False
O14757_CHEMBL5433681,0.3979,False
O14757_CHEMBL5433322,0.4941,False
O14757_CHEMBL5439325,0.4238,False
O14757_CHEMBL5395135,0.4546,False
O14757_CHEMBL5429443,0.4285,False
O14757_CHEMBL5433344,0.4495,False
O14757_CHEMBL5424522,0.4597,False
O14757_CHEMBL5430680,0.4221,False
O14757_CHEMBL5424287,0.4319,False
O14757_CHEMBL5438311,0.4644,False
O14757_CHEMBL5409206,0.447,False
O14757_CHEMBL5410542,0.4556,False
O14757_CHEMBL5406425,0.4431,False
O14757_CHEMBL5408190,0.3914,False
O14757_CHEMBL5408027,0.4534,False
O14757_CHEMBL5401267,0.4482,False
O14757_CHEMBL5411672,0.4524,False
O14757_CHEMBL5411251,0.4495,False
O14757_CHEMBL5428756,0.4495,False
O14757_CHEMBL5432487,0.4524,False
O14757_CHEMBL5433221,0.4578,False
O14757_CHEMBL5406086,0.4568,False
O14757_CHEMBL5428278,0.4285,False
O14757_CHEMBL5398258,0.4065,False
O14757_CHEMBL5411719,0.4395,False
O14757_CHEMBL5424476,0.4482,False
O14757_CHEMBL5438542,0.4546,False
O14757_CHEMBL5398244,0.4443,False
O14757_CHEMBL5405689,0.4119,False
O14757_CHEMBL5401305,0.4285,False
O14757_CHEMBL5434637,0.3865,False
O14757_CHEMBL5411252,0.3999,False
O14757_CHEMBL5396674,0.3999,False
O14757_CHEMBL5410841,0.4768,False
O14757_CHEMBL5426241,0.5,False
O43570_CHEMBL5433200,0.5083,False
O43570_CHEMBL5418092,0.5083,False
O43570_CHEMBL5431609,0.4211,False
O43570_CHEMBL5434405,0.4211,False
O43570_CHEMBL5399412,0.3767,False
O43570_CHEMBL5410769,0.3767,False
O43570_CHEMBL5430974,0.3936,False
O43570_CHEMBL5420563,0.3936,False
O43570_CHEMBL5394374,0.418,False
O43570_CHEMBL5439211,0.418,False
O43570_CHEMBL5420568,0.3965,False
O43570_CHEMBL5429492,0.4106,False
O43570_CHEMBL5406311,0.3965,False
O43570_CHEMBL5395028,0.3667,False
O43570_CHEMBL5408660,0.4199,False
O43570_CHEMBL5394136,0.3462,False
O43570_CHEMBL5428616,0.439,False
O43570_CHEMBL5411236,0.3403,False
O43570_CHEMBL5434644,0.3872,False
O43570_CHEMBL5418325,0.3044,False
O43570_CHEMBL5418448,0.3845,False
O43570_CHEMBL5396521,0.3086,False
O43570_CHEMBL5406454,0.4033,False
O43570_CHEMBL5415157,0.3438,False
O43570_CHEMBL5430687,0.375,False
O43570_CHEMBL5402415,0.3164,False
O43570_CHEMBL5403443,0.4905,False
O43570_CHEMBL5423785,0.3833,False
O43570_CHEMBL5420806,0.4905,False
O43570_CHEMBL5408282,0.4905,False
O43570_CHEMBL5403015,0.52,False
O43570_CHEMBL5418584,0.5,False
O43570_CHEMBL5408039,0.3333,False
O43570_CHEMBL5417623,0.3809,False
O43570_CHEMBL5419120,0.4119,False
O43570_CHEMBL5419562,0.4546,False
O43570_CHEMBL5409839,0.4375,False
O43570_CHEMBL5406763,0.439,False
O43570_CHEMBL5398527,0.3794,False
O43570_CHEMBL5398482,0.4285,False
O43570_CHEMBL5404478,0.4194,False
O43570_CHEMBL5430744,0.4883,False
O43570_CHEMBL5404207,0.3726,False
O43570_CHEMBL5432122,0.3518,False
O43570_CHEMBL5400096,0.3877,False
O43570_CHEMBL5427772,0.3877,False
O43570_CHEMBL5439825,0.3655,False
O43570_CHEMBL5424006,0.3069,False
O43570_CHEMBL5419432,0.4512,False
O43570_CHEMBL5436128,0.3708,False
O43570_CHEMBL5411012,0.3491,False
O43570_CHEMBL5427767,0.3125,False
O43570_CHEMBL5412673,0.3538,False
O43570_CHEMBL5413719,0.3433,False
O43570_CHEMBL5434757,0.3386,False
O43570_CHEMBL5398809,0.3013,False
O43570_CHEMBL5423264,0.3279,False
O43570_CHEMBL5431226,0.3396,False
O43570_CHEMBL5400438,0.3433,False
O43570_CHEMBL5422561,0.3594,False
O43570_CHEMBL5422492,0.397,False
O43570_CHEMBL5438275,0.3333,False
O43570_CHEMBL5411466,0.3582,False
O43570_CHEMBL5419182,0.4404,False
O43570_CHEMBL5428815,0.4905,False
O43570_CHEMBL5406041,0.3921,False
O43570_CHEMBL5439068,0.491,False
O43570_CHEMBL5401486,0.353,False
O43570_CHEMBL5424643,0.5083,False
O43570_CHEMBL5402861,0.4844,False
O43570_CHEMBL5422807,0.4844,False
O43570_CHEMBL5415701,0.5366,False
O43570_CHEMBL5417652,0.52,False
O43570_CHEMBL5430843,0.4482,False
O43570_CHEMBL5415971,0.3809,False
O43570_CHEMBL5434579,0.365,False
O43570_CHEMBL5427495,0.4426,False
O43570_CHEMBL5396279,0.3433,False
O43570_CHEMBL5427064,0.4546,False
O43570_CHEMBL5434717,0.3928,False
O43570_CHEMBL5405313,0.4912,False
O43570_CHEMBL5428119,0.5,False
O43570_CHEMBL5406828,0.5093,False
O43570_CHEMBL5421787,0.5356,False
O43570_CHEMBL5410832,0.5601,False
O43570_CHEMBL5396229,0.5083,False
O43570_CHEMBL5400915,0.4285,False
O43570_CHEMBL5423723,0.4443,False
O43570_CHEMBL5409485,0.5806,False
O43570_CHEMBL5411876,0.52,False
O43570_CHEMBL5430806,0.4878,False
O43570_CHEMBL5427215,0.3965,False
O43570_CHEMBL5418987,0.3936,False
O43570_CHEMBL5417966,0.45,False
O43570_CHEMBL5427397,0.4375,False
O43570_CHEMBL5393899,0.5195,False
O43570_CHEMBL5416640,0.4773,False
O43570_CHEMBL5399753,0.7451,False
O43570_CHEMBL5432003,0.5371,False
O43570_CHEMBL5399026,0.5635,False
O43570_CHEMBL5413773,0.4912,False
O43570_CHEMBL5416330,0.5,False
O43570_CHEMBL5429247,0.5,False
O43570_CHEMBL5438146,0.4915,False
O43570_CHEMBL5400590,0.6113,False
O43570_CHEMBL5423705,0.6079,False
O43570_CHEMBL5420340,0.5742,False
O43570_CHEMBL5418256,0.5635,False
O43570_CHEMBL5408414,0.5635,False
O43570_CHEMBL5422630,0.4844,False
O43570_CHEMBL5412024,0.4404,False
O43570_CHEMBL5424738,0.5942,False
O43570_CHEMBL5423986,0.5137,False
O43570_CHEMBL5423626,0.4878,False
O43570_CHEMBL5407099,0.5254,False
O43570_CHEMBL5439232,0.5137,False
O43570_CHEMBL5412326,0.5,False
O43570_CHEMBL5404854,0.5083,False
O43570_CHEMBL5434475,0.5083,False
O43570_CHEMBL5398061,0.3635,False
O43570_CHEMBL5422153,0.3333,False
O43570_CHEMBL5395857,0.3635,False
O43570_CHEMBL5397659,0.4194,False
O43570_CHEMBL5419752,0.4746,False
O43570_CHEMBL5404038,0.4597,False
O43570_CHEMBL5439318,0.4575,False
O43570_CHEMBL5405279,0.5,False
O43570_CHEMBL5437142,0.4604,False
O43570_CHEMBL5420020,0.4746,False
O43570_CHEMBL5432770,0.4355,False
O43570_CHEMBL5395679,0.3872,False
O43570_CHEMBL5424727,0.3872,False
O43570_CHEMBL5425125,0.3809,False
O43570_CHEMBL5412351,0.5,False
O43570_CHEMBL5424664,0.3936,False
O43570_CHEMBL5420931,0.3647,False
O43570_CHEMBL5417084,0.3333,False
O43570_CHEMBL5430482,0.3635,False
O43570_CHEMBL5414077,0.4194,False
O43570_CHEMBL5402143,0.4746,False
O43570_CHEMBL5426216,0.4597,False
O43570_CHEMBL5413021,0.4575,False
O43570_CHEMBL5402145,0.5,False
O43570_CHEMBL5438010,0.4604,False
O43570_CHEMBL5421531,0.4746,False
O43570_CHEMBL5411936,0.4355,False
O43570_CHEMBL5419447,0.3872,False
O43570_CHEMBL5396393,0.3872,False
O43570_CHEMBL5409658,0.3809,False
O43570_CHEMBL5413693,0.5,False
O43570_CHEMBL5429073,0.3936,False
O43570_CHEMBL5401434,0.3647,False
O43570_CHEMBL5402497,0.6001,False
O43570_CHEMBL5412870,0.7666,False
O43570_CHEMBL5422706,0.5,False
O43570_CHEMBL5425202,0.5,False
O43570_CHEMBL5433765,0.5474,False
O43570_CHEMBL5420539,0.5,False
O43570_CHEMBL5395423,0.5,False
O43570_CHEMBL5407842,0.3999,False
O43570_CHEMBL5396530,0.4106,False
O43570_CHEMBL5397521,0.3999,False
O43570_CHEMBL5439370,0.585,False
O43570_CHEMBL5415949,0.585,False
O43570_CHEMBL5395274,0.3547,False
O43570_CHEMBL5407876,0.322,False
O43570_CHEMBL5430374,0.4285,False
O43570_CHEMBL5403578,0.3286,False
O43570_CHEMBL5439016,0.3333,False
O43570_CHEMBL5430474,0.3618,False
O43570_CHEMBL5439521,0.3201,False
O43570_CHEMBL5433722,0.6138,False
O43570_CHEMBL5416307,0.5747,False
O43570_CHEMBL5402383,0.6089,False
O43570_CHEMBL5397739,0.6089,False
O43570_CHEMBL5399974,0.3137,False
O43570_CHEMBL5422102,0.4866,False
O43570_CHEMBL5406077,0.6416,False
O43570_CHEMBL5440906,0.4385,False
O43570_CHEMBL5440763,0.4243,False
O43570_CHEMBL5436282,0.4167,False
O43570_CHEMBL5411702,0.4385,False
O43570_CHEMBL5414836,0.4243,False
O43570_CHEMBL5399204,0.3494,False
O43570_CHEMBL5433154,0.3677,False
O43570_CHEMBL5409881,0.375,False
O43570_CHEMBL5403938,0.3494,False
O43570_CHEMBL5421790,0.3677,False
O43570_CHEMBL5432812,0.543,False
O43570_CHEMBL5408885,0.3962,False
O43570_CHEMBL5403077,0.4031,False
O43570_CHEMBL5420858,0.3572,False
O43570_CHEMBL5396677,0.3684,False
O43570_CHEMBL5413403,0.3879,False
O43570_CHEMBL5410282,0.4363,False
O43570_CHEMBL5417595,0.5166,False
O60341_CHEMBL5439389,0.2524,False
O60341_CHEMBL5408271,0.2856,False
O60341_CHEMBL5416205,0.3943,False
O60341_CHEMBL5423159,0.3333,False
O60341_CHEMBL5425308,0.25,False
O60341_CHEMBL5433416,0.243,False
O60341_CHEMBL5396850,0.2476,False
O60341_CHEMBL5434190,0.2524,False
O60341_CHEMBL5430614,0.2476,False
O60341_CHEMBL5438843,0.2695,False
O60341_CHEMBL5432041,0.243,False
O60341_CHEMBL5423712,0.2285,False
O60341_CHEMBL5401491,0.2159,False
O60341_CHEMBL5432465,0.2233,False
O60341_CHEMBL5439259,0.3445,False
O60341_CHEMBL5438431,0.2479,False
O60341_CHEMBL5410672,0.3086,False
O60341_CHEMBL5430017,0.4285,False
O60341_CHEMBL5406479,0.3125,False
O60341_CHEMBL5413049,0.3201,False
O60341_CHEMBL5434915,0.3157,False
O60341_CHEMBL5432927,0.3416,False
O60341_CHEMBL5437604,0.408,False
O60341_CHEMBL5405904,0.3667,False
O60341_CHEMBL5420365,0.3999,False
O60341_CHEMBL5421422,0.4058,False
O60341_CHEMBL5422216,0.293,False
O60341_CHEMBL5433323,0.3206,False
O60341_CHEMBL5409970,0.3296,False
O60341_CHEMBL5426797,0.3333,False
O60341_CHEMBL5434546,0.4688,False
O60341_CHEMBL5429228,0.4092,False
O60341_CHEMBL5435026,0.4126,False
O60341_CHEMBL5407947,0.4226,False
O60341_CHEMBL5440105,0.3735,False
O60341_CHEMBL5406671,0.4626,False
O60341_CHEMBL5429994,0.2715,False
O60341_CHEMBL5419169,0.4697,False
O60341_CHEMBL5440680,0.4697,False
O60341_CHEMBL5409400,0.3872,False
O60341_CHEMBL5420493,0.4561,False
O60341_CHEMBL5411051,0.4546,False
O60341_CHEMBL5428732,0.3196,False
O60341_CHEMBL5415964,0.4133,False
O60341_CHEMBL5399635,0.3152,False
O60341_CHEMBL5406759,0.3381,False
O60341_CHEMBL5413744,0.365,False
O60341_CHEMBL5428176,0.3965,False
O60341_CHEMBL5440196,0.3965,False
O60341_CHEMBL5428924,0.4036,False
O60341_CHEMBL5396510,0.3562,False
O60341_CHEMBL5397056,0.2913,False
O60341_CHEMBL5416718,0.3076,False
O60341_CHEMBL5422540,0.301,False
O60341_CHEMBL5435872,0.3264,False
O60341_CHEMBL5434343,0.3086,False
O60341_CHEMBL5399692,0.3069,False
O60341_CHEMBL5410411,0.3201,False
O60341_CHEMBL5435978,0.2964,False
O60341_CHEMBL5436412,0.3384,False
O60341_CHEMBL5407104,0.3333,False
O60341_CHEMBL5406892,0.3635,False
O60341_CHEMBL5426980,0.3108,False
O60341_CHEMBL5397316,0.3132,False
O60341_CHEMBL5437172,0.3406,False
O60341_CHEMBL5430058,0.3948,False
O60341_CHEMBL5406132,0.3333,False
O60341_CHEMBL5409890,0.3684,False
O60341_CHEMBL5406521,0.3057,False
O60341_CHEMBL5435173,0.3206,False
O60341_CHEMBL5404495,0.3572,False
O60341_CHEMBL5410286,0.3677,False
O60341_CHEMBL5425391,0.3193,False
O60341_CHEMBL5423330,0.3086,False
O60341_CHEMBL5428936,0.3247,False
O60341_CHEMBL5413148,0.3125,False
O60341_CHEMBL5428788,0.2856,False
O60341_CHEMBL5436427,0.3093,False
O60341_CHEMBL5425120,0.3076,False
O60341_CHEMBL5423110,0.3201,False
O60341_CHEMBL5431790,0.3142,False
O60341_CHEMBL5399676,0.3108,False
O60341_CHEMBL5440601,0.3491,False
O60341_CHEMBL5413316,0.3728,False
O60341_CHEMBL5440032,0.3728,False
O60341_CHEMBL5405377,0.3164,False
O60341_CHEMBL5400631,0.3057,False
O60341_CHEMBL5416905,0.3386,False
O60341_CHEMBL5413825,0.3899,False
O60341_CHEMBL5416497,0.3625,False
O60341_CHEMBL5415883,0.3289,False
O60341_CHEMBL5394389,0.2927,False
O60341_CHEMBL5405788,0.3049,False
O60341_CHEMBL5419993,0.3125,False
O60341_CHEMBL5417682,0.397,False
O60341_CHEMBL5408302,0.3733,False
O60341_CHEMBL5435117,0.322,False
O60341_CHEMBL5408598,0.3647,False
O60341_CHEMBL5398801,0.3552,False
O60341_CHEMBL5400344,0.2986,False
O60341_CHEMBL5414185,0.3293,False
O60341_CHEMBL5439488,0.3647,False
O60341_CHEMBL5416264,0.394,False
O60341_CHEMBL5406191,0.3928,False
O60341_CHEMBL5433364,0.4929,False
O60341_CHEMBL5403602,0.4106,False
O60341_CHEMBL5429412,0.446,False
O60341_CHEMBL5436035,0.4126,False
O60341_CHEMBL5403862,0.4102,False
O60341_CHEMBL5419295,0.4783,False
O60341_CHEMBL5424948,0.4465,False
O60341_CHEMBL5418093,0.3999,False
O60341_CHEMBL5401496,0.4075,False
O60341_CHEMBL5404895,0.3506,False
O60341_CHEMBL5424591,0.3555,False
O60341_CHEMBL5403548,0.3835,False
O60341_CHEMBL5435587,0.3799,False
O60341_CHEMBL5396414,0.3691,False
O60341_CHEMBL5396152,0.3064,False
O60341_CHEMBL5418619,0.3513,False
O60341_CHEMBL5416406,0.3052,False
O60341_CHEMBL5438908,0.3286,False
O60674_CHEMBL5412815,0.4856,False
O60674_CHEMBL5424439,0.457,False
O60674_CHEMBL5398468,0.3521,False
O60674_CHEMBL5429688,0.3333,False
O60674_CHEMBL5408539,0.3215,False
O60674_CHEMBL5417474,0.4507,False
O60674_CHEMBL5395839,0.457,False
O60674_CHEMBL5403897,0.4639,False
O60674_CHEMBL5420083,0.4783,False
O60674_CHEMBL5420971,0.4775,False
O60674_CHEMBL5424098,0.3333,False
O60674_CHEMBL5423387,0.3374,False
O60674_CHEMBL5430795,0.3293,False
O60674_CHEMBL5405043,0.3293,False
O60674_CHEMBL5410919,0.3293,False
O60674_CHEMBL5435417,0.3293,False
O60674_CHEMBL5439582,0.3545,False
O60674_CHEMBL5427932,0.3457,False
O60674_CHEMBL5405140,0.3501,False
O60674_CHEMBL5404261,0.3416,False
O60674_CHEMBL5441087,0.3372,False
O60674_CHEMBL5440017,0.3218,False
O60674_CHEMBL5434116,0.366,False
O60674_CHEMBL5396523,0.3333,False
O60674_CHEMBL5423894,0.3416,False
O60674_CHEMBL5424497,0.3691,False
O60674_CHEMBL5409953,0.4849,False
O60674_CHEMBL5422886,0.4856,False
O60674_CHEMBL5412967,0.446,False
O60674_CHEMBL5419117,0.3972,False
O60674_CHEMBL5402252,0.3601,False
O60674_CHEMBL5436068,0.3247,False
O60674_CHEMBL5435274,0.4033,False
O60674_CHEMBL5407329,0.5078,False
O60674_CHEMBL5407260,0.4231,False
O60674_CHEMBL5396554,0.4231,False
O60674_CHEMBL5415586,0.4844,False
O60674_CHEMBL5409666,0.5332,False
O60674_CHEMBL5433426,0.4844,False
O60674_CHEMBL5395378,0.4058,False
O60674_CHEMBL5420468,0.5952,False
O60674_CHEMBL5403288,0.3037,False
O60674_CHEMBL5430060,0.2666,False
O60674_CHEMBL5432029,0.2637,False
O60674_CHEMBL5436997,0.2396,False
O60674_CHEMBL5417435,0.2705,False
O60674_CHEMBL5432284,0.2651,False
O60674_CHEMBL5402797,0.2727,False
O60674_CHEMBL5405344,0.281,False
O60674_CHEMBL5410239,0.281,False
O60674_CHEMBL5404765,0.2888,False
O60674_CHEMBL5434965,0.2791,False
O60674_CHEMBL5429675,0.2581,False
O60674_CHEMBL5402554,0.3115,False
O60674_CHEMBL5415481,0.2581,False
O60674_CHEMBL5408994,0.375,False
O60674_CHEMBL5419978,0.3206,False
O60674_CHEMBL5435482,0.425,False
O60674_CHEMBL5408205,0.6851,False
O60674_CHEMBL5436744,0.7026,False
O60674_CHEMBL5440510,0.3972,False
O60674_CHEMBL5438892,0.375,False
O60674_CHEMBL5414095,0.3767,False
O60674_CHEMBL5412619,0.3718,False
O60674_CHEMBL5437653,0.5635,False
O60674_CHEMBL5400209,0.5635,False
O60674_CHEMBL5437261,0.4126,False
O60674_CHEMBL5419271,0.3462,False
O60674_CHEMBL5436383,0.3601,False
O60674_CHEMBL5431257,0.4844,False
O60674_CHEMBL5440264,0.366,False
O60674_CHEMBL5420928,0.325,False
O60674_CHEMBL5413489,0.2988,False
O60674_CHEMBL5429461,0.3572,False
O60674_CHEMBL5421116,0.623,False
O60674_CHEMBL5422793,0.623,False
O60674_CHEMBL5430869,0.4038,False
O60885_CHEMBL5437203,0.344,False
O60885_CHEMBL5416784,0.3472,False
O60885_CHEMBL5407959,0.6768,False
O60885_CHEMBL5394534,0.3037,False
O60885_CHEMBL5414323,0.3167,False
O60885_CHEMBL5401408,0.2095,False
O60885_CHEMBL5440275,0.2817,False
O60885_CHEMBL5436620,0.3943,False
O60885_CHEMBL5401812,0.3999,False
O60885_CHEMBL5432311,0.3193,False
O60885_CHEMBL5394840,0.3027,False
O60885_CHEMBL5414143,0.2949,False
O60885_CHEMBL5424895,0.3108,False
O60885_CHEMBL5439894,0.2913,False
O60885_CHEMBL5435639,0.3076,False
O60885_CHEMBL5431833,0.3118,False
