compound_id,simstd_davis3d,ik1_davis3d
O00444_CHEMBL5413470,0.2362,False
O00444_CHEMBL5435948,0.2362,False
O00444_CHEMBL5438512,0.2482,False
O00444_CHEMBL5431008,0.2482,False
O00444_CHEMBL5396799,0.2482,False
O00444_CHEMBL5401859,0.2482,False
O00444_CHEMBL5436294,0.2482,False
O00444_CHEMBL5397574,0.2482,False
O00444_CHEMBL5422161,0.2482,False
O00444_CHEMBL5396625,0.2482,False
O00444_CHEMBL5407696,0.25,False
O00444_CHEMBL5408998,0.252,False
O00444_CHEMBL5402930,0.2446,False
O00444_CHEMBL5440306,0.2374,False
O00444_CHEMBL5430793,0.2482,False
O00444_CHEMBL5430165,0.25,False
O00444_CHEMBL5405221,0.2482,False
O00444_CHEMBL5432601,0.2441,False
O00444_CHEMBL5434881,0.229,False
O00444_CHEMBL5404385,0.223,False
O00444_CHEMBL5438607,0.2249,False
O00444_CHEMBL5422518,0.224,False
O00444_CHEMBL5397330,0.2284,False
O00444_CHEMBL5394971,0.2174,False
O00444_CHEMBL5430972,0.2285,False
O00444_CHEMBL5412525,0.243,False
O00444_CHEMBL5420791,0.2661,False
O00444_CHEMBL5435316,0.2366,False
O00444_CHEMBL5424478,0.2386,False
O00444_CHEMBL5432853,0.2197,False
O00444_CHEMBL5413962,0.2222,False
O00444_CHEMBL5414664,0.238,False
O00444_CHEMBL5408822,0.2771,False
O00444_CHEMBL5410643,0.2405,False
O00444_CHEMBL5402575,0.2473,False
O00444_CHEMBL5395263,0.2532,False
O00444_CHEMBL5416874,0.238,False
O00444_CHEMBL5400742,0.261,False
O00444_CHEMBL5432922,0.3103,False
O00444_CHEMBL5434779,0.3103,False
O00444_CHEMBL5407687,0.2325,False
O00444_CHEMBL5399061,0.2472,False
O00444_CHEMBL5394505,0.2333,False
O00444_CHEMBL5402720,0.2247,False
O00444_CHEMBL5429145,0.2273,False
O00444_CHEMBL5417800,0.2325,False
O00444_CHEMBL5430526,0.2184,False
O00444_CHEMBL5409014,0.2827,False
O00444_CHEMBL5401427,0.2556,False
O00444_CHEMBL5412717,0.2285,False
O00444_CHEMBL5431580,0.2279,False
O00444_CHEMBL5401007,0.2803,False
O00444_CHEMBL5404382,0.2617,False
O00444_CHEMBL5410562,0.2473,False
O00444_CHEMBL5440788,0.2949,False
O00444_CHEMBL5415559,0.24,False
O00444_CHEMBL5420027,0.2727,False
O14757_CHEMBL5413462,0.2654,False
O14757_CHEMBL5409504,0.2627,False
O14757_CHEMBL5420872,0.2654,False
O14757_CHEMBL5421825,0.2627,False
O14757_CHEMBL5428033,0.2222,False
O14757_CHEMBL5439250,0.2637,False
O14757_CHEMBL5420001,0.2571,False
O14757_CHEMBL5421001,0.2805,False
O14757_CHEMBL5431016,0.2673,False
O14757_CHEMBL5427282,0.2673,False
O14757_CHEMBL5407292,0.219,False
O14757_CHEMBL5408927,0.2654,False
O14757_CHEMBL5409205,0.2595,False
O14757_CHEMBL5401396,0.2546,False
O14757_CHEMBL5408938,0.2788,False
O14757_CHEMBL5398690,0.2686,False
O14757_CHEMBL5394796,0.2686,False
O14757_CHEMBL5430670,0.2737,False
O14757_CHEMBL5398934,0.2737,False
O14757_CHEMBL5419654,0.2744,False
O14757_CHEMBL5403690,0.2717,False
O14757_CHEMBL5432385,0.2761,False
O14757_CHEMBL5425583,0.2717,False
O14757_CHEMBL5427417,0.2717,False
O14757_CHEMBL5433681,0.2242,False
O14757_CHEMBL5433322,0.27,False
O14757_CHEMBL5439325,0.2595,False
O14757_CHEMBL5395135,0.2673,False
O14757_CHEMBL5429443,0.25,False
O14757_CHEMBL5433344,0.2646,False
O14757_CHEMBL5424522,0.27,False
O14757_CHEMBL5430680,0.2991,False
O14757_CHEMBL5424287,0.2917,False
O14757_CHEMBL5438311,0.2681,False
O14757_CHEMBL5409206,0.2812,False
O14757_CHEMBL5410542,0.2646,False
O14757_CHEMBL5406425,0.302,False
O14757_CHEMBL5408190,0.2856,False
O14757_CHEMBL5408027,0.2947,False
O14757_CHEMBL5401267,0.2917,False
O14757_CHEMBL5411672,0.2903,False
O14757_CHEMBL5411251,0.2524,False
O14757_CHEMBL5428756,0.2524,False
O14757_CHEMBL5432487,0.2708,False
O14757_CHEMBL5433221,0.2737,False
O14757_CHEMBL5406086,0.2644,False
O14757_CHEMBL5428278,0.2585,False
O14757_CHEMBL5398258,0.2856,False
O14757_CHEMBL5411719,0.3164,False
O14757_CHEMBL5424476,0.2783,False
O14757_CHEMBL5438542,0.2856,False
O14757_CHEMBL5398244,0.3062,False
O14757_CHEMBL5405689,0.2421,False
O14757_CHEMBL5401305,0.2727,False
O14757_CHEMBL5434637,0.2391,False
O14757_CHEMBL5411252,0.2417,False
O14757_CHEMBL5396674,0.2417,False
O14757_CHEMBL5410841,0.2573,False
O14757_CHEMBL5426241,0.2581,False
O43570_CHEMBL5433200,0.1333,False
O43570_CHEMBL5418092,0.1333,False
O43570_CHEMBL5431609,0.1296,False
O43570_CHEMBL5434405,0.1296,False
O43570_CHEMBL5399412,0.1844,False
O43570_CHEMBL5410769,0.1844,False
O43570_CHEMBL5430974,0.1505,False
O43570_CHEMBL5420563,0.1505,False
O43570_CHEMBL5394374,0.1349,False
O43570_CHEMBL5439211,0.1349,False
O43570_CHEMBL5420568,0.1511,False
O43570_CHEMBL5429492,0.1379,False
O43570_CHEMBL5406311,0.1511,False
O43570_CHEMBL5395028,0.1704,False
O43570_CHEMBL5408660,0.1818,False
O43570_CHEMBL5394136,0.2128,False
O43570_CHEMBL5428616,0.1951,False
O43570_CHEMBL5411236,0.2135,False
O43570_CHEMBL5434644,0.1882,False
O43570_CHEMBL5418325,0.2065,False
O43570_CHEMBL5418448,0.1932,False
O43570_CHEMBL5396521,0.2,False
O43570_CHEMBL5406454,0.1927,False
O43570_CHEMBL5415157,0.2135,False
O43570_CHEMBL5430687,0.184,False
O43570_CHEMBL5402415,0.2195,False
O43570_CHEMBL5403443,0.2051,False
O43570_CHEMBL5423785,0.2094,False
O43570_CHEMBL5420806,0.2236,False
O43570_CHEMBL5408282,0.2236,False
O43570_CHEMBL5403015,0.2417,False
O43570_CHEMBL5418584,0.1649,False
O43570_CHEMBL5408039,0.1729,False
O43570_CHEMBL5417623,0.179,False
O43570_CHEMBL5419120,0.2134,False
O43570_CHEMBL5419562,0.175,False
O43570_CHEMBL5409839,0.1609,False
O43570_CHEMBL5406763,0.1666,False
O43570_CHEMBL5398527,0.1765,False
O43570_CHEMBL5398482,0.1515,False
O43570_CHEMBL5404478,0.1866,False
O43570_CHEMBL5430744,0.1781,False
O43570_CHEMBL5404207,0.1505,False
O43570_CHEMBL5432122,0.172,False
O43570_CHEMBL5400096,0.2142,False
O43570_CHEMBL5427772,0.1666,False
O43570_CHEMBL5439825,0.1467,False
O43570_CHEMBL5424006,0.1827,False
O43570_CHEMBL5419432,0.1538,False
O43570_CHEMBL5436128,0.1915,False
O43570_CHEMBL5411012,0.1855,False
O43570_CHEMBL5427767,0.2258,False
O43570_CHEMBL5412673,0.1954,False
O43570_CHEMBL5413719,0.191,False
O43570_CHEMBL5434757,0.1758,False
O43570_CHEMBL5398809,0.2094,False
O43570_CHEMBL5423264,0.202,False
O43570_CHEMBL5431226,0.1899,False
O43570_CHEMBL5400438,0.2,False
O43570_CHEMBL5422561,0.1798,False
O43570_CHEMBL5422492,0.2,False
O43570_CHEMBL5438275,0.2,False
O43570_CHEMBL5411466,0.2041,False
O43570_CHEMBL5419182,0.1895,False
O43570_CHEMBL5428815,0.2078,False
O43570_CHEMBL5406041,0.1895,False
O43570_CHEMBL5439068,0.2222,False
O43570_CHEMBL5401486,0.2062,False
O43570_CHEMBL5424643,0.2467,False
O43570_CHEMBL5402861,0.2754,False
O43570_CHEMBL5422807,0.2754,False
O43570_CHEMBL5415701,0.1918,False
O43570_CHEMBL5417652,0.2368,False
O43570_CHEMBL5430843,0.1927,False
O43570_CHEMBL5415971,0.2235,False
O43570_CHEMBL5434579,0.241,False
O43570_CHEMBL5427495,0.2118,False
O43570_CHEMBL5396279,0.2354,False
O43570_CHEMBL5427064,0.2,False
O43570_CHEMBL5434717,0.2307,False
O43570_CHEMBL5405313,0.2433,False
O43570_CHEMBL5428119,0.2297,False
O43570_CHEMBL5406828,0.2233,False
O43570_CHEMBL5421787,0.2568,False
O43570_CHEMBL5410832,0.2433,False
O43570_CHEMBL5396229,0.1666,False
O43570_CHEMBL5400915,0.1595,False
O43570_CHEMBL5423723,0.191,False
O43570_CHEMBL5409485,0.174,False
O43570_CHEMBL5411876,0.1781,False
O43570_CHEMBL5430806,0.1852,False
O43570_CHEMBL5427215,0.1852,False
O43570_CHEMBL5418987,0.1904,False
O43570_CHEMBL5417966,0.1489,False
O43570_CHEMBL5427397,0.1848,False
O43570_CHEMBL5393899,0.1482,False
O43570_CHEMBL5416640,0.1449,False
O43570_CHEMBL5399753,0.2639,False
O43570_CHEMBL5432003,0.2576,False
O43570_CHEMBL5399026,0.2162,False
O43570_CHEMBL5413773,0.2319,False
O43570_CHEMBL5416330,0.2208,False
O43570_CHEMBL5429247,0.2354,False
O43570_CHEMBL5438146,0.2571,False
O43570_CHEMBL5400590,0.2297,False
O43570_CHEMBL5423705,0.2715,False
O43570_CHEMBL5420340,0.2603,False
O43570_CHEMBL5418256,0.1753,False
O43570_CHEMBL5408414,0.1753,False
O43570_CHEMBL5422630,0.1492,False
O43570_CHEMBL5412024,0.1404,False
O43570_CHEMBL5424738,0.1443,False
O43570_CHEMBL5423986,0.1459,False
O43570_CHEMBL5423626,0.1523,False
O43570_CHEMBL5407099,0.156,False
O43570_CHEMBL5439232,0.1578,False
O43570_CHEMBL5412326,0.1554,False
O43570_CHEMBL5404854,0.1604,False
O43570_CHEMBL5434475,0.1578,False
O43570_CHEMBL5398061,0.2179,False
O43570_CHEMBL5422153,0.2659,False
O43570_CHEMBL5395857,0.2371,False
O43570_CHEMBL5397659,0.234,False
O43570_CHEMBL5419752,0.25,False
O43570_CHEMBL5404038,0.375,False
O43570_CHEMBL5439318,0.2563,False
O43570_CHEMBL5405279,0.2527,False
O43570_CHEMBL5437142,0.2739,False
O43570_CHEMBL5420020,0.2128,False
O43570_CHEMBL5432770,0.2084,False
O43570_CHEMBL5395679,0.3066,False
O43570_CHEMBL5424727,0.2405,False
O43570_CHEMBL5425125,0.1875,False
O43570_CHEMBL5412351,0.2366,False
O43570_CHEMBL5424664,0.2179,False
O43570_CHEMBL5420931,0.2222,False
O43570_CHEMBL5417084,0.2659,False
O43570_CHEMBL5430482,0.2371,False
O43570_CHEMBL5414077,0.234,False
O43570_CHEMBL5402143,0.25,False
O43570_CHEMBL5426216,0.375,False
O43570_CHEMBL5413021,0.2563,False
O43570_CHEMBL5402145,0.2527,False
O43570_CHEMBL5438010,0.2739,False
O43570_CHEMBL5421531,0.2128,False
O43570_CHEMBL5411936,0.2084,False
O43570_CHEMBL5419447,0.3066,False
O43570_CHEMBL5396393,0.2405,False
O43570_CHEMBL5409658,0.1875,False
O43570_CHEMBL5413693,0.2366,False
O43570_CHEMBL5429073,0.2179,False
O43570_CHEMBL5401434,0.2222,False
O43570_CHEMBL5402497,0.2023,False
O43570_CHEMBL5412870,0.1578,False
O43570_CHEMBL5422706,0.2366,False
O43570_CHEMBL5425202,0.2258,False
O43570_CHEMBL5433765,0.2247,False
O43570_CHEMBL5420539,0.2366,False
O43570_CHEMBL5395423,0.2258,False
O43570_CHEMBL5407842,0.1979,False
O43570_CHEMBL5396530,0.2087,False
O43570_CHEMBL5397521,0.1979,False
O43570_CHEMBL5439370,0.1428,False
O43570_CHEMBL5415949,0.1428,False
O43570_CHEMBL5395274,0.1595,False
O43570_CHEMBL5407876,0.1932,False
O43570_CHEMBL5430374,0.1628,False
O43570_CHEMBL5403578,0.2094,False
O43570_CHEMBL5439016,0.1666,False
O43570_CHEMBL5430474,0.1686,False
O43570_CHEMBL5439521,0.1724,False
O43570_CHEMBL5433722,0.1282,False
O43570_CHEMBL5416307,0.1235,False
O43570_CHEMBL5402383,0.1235,False
O43570_CHEMBL5397739,0.1235,False
O43570_CHEMBL5399974,0.1904,False
O43570_CHEMBL5422102,0.1971,False
O43570_CHEMBL5406077,0.1869,False
O43570_CHEMBL5440906,0.2268,False
O43570_CHEMBL5440763,0.2122,False
O43570_CHEMBL5436282,0.2125,False
O43570_CHEMBL5411702,0.2268,False
O43570_CHEMBL5414836,0.2122,False
O43570_CHEMBL5399204,0.22,False
O43570_CHEMBL5433154,0.198,False
O43570_CHEMBL5409881,0.2084,False
O43570_CHEMBL5403938,0.22,False
O43570_CHEMBL5421790,0.198,False
O43570_CHEMBL5432812,0.1573,False
O43570_CHEMBL5408885,0.1346,False
O43570_CHEMBL5403077,0.151,False
O43570_CHEMBL5420858,0.183,False
O43570_CHEMBL5396677,0.165,False
O43570_CHEMBL5413403,0.1486,False
O43570_CHEMBL5410282,0.1511,False
O43570_CHEMBL5417595,0.1875,False
O60341_CHEMBL5439389,0.178,False
O60341_CHEMBL5408271,0.2122,False
O60341_CHEMBL5416205,0.261,False
O60341_CHEMBL5423159,0.1848,False
O60341_CHEMBL5425308,0.188,False
O60341_CHEMBL5433416,0.1721,False
O60341_CHEMBL5396850,0.1848,False
O60341_CHEMBL5434190,0.188,False
O60341_CHEMBL5430614,0.1848,False
O60341_CHEMBL5438843,0.1803,False
O60341_CHEMBL5432041,0.1917,False
O60341_CHEMBL5423712,0.1697,False
O60341_CHEMBL5401491,0.1512,False
O60341_CHEMBL5432465,0.1526,False
O60341_CHEMBL5439259,0.2424,False
O60341_CHEMBL5438431,0.1428,False
O60341_CHEMBL5410672,0.2472,False
O60341_CHEMBL5430017,0.2063,False
O60341_CHEMBL5406479,0.2222,False
O60341_CHEMBL5413049,0.1978,False
O60341_CHEMBL5434915,0.2898,False
O60341_CHEMBL5432927,0.25,False
O60341_CHEMBL5437604,0.3296,False
O60341_CHEMBL5405904,0.2627,False
O60341_CHEMBL5420365,0.2234,False
O60341_CHEMBL5421422,0.2812,False
O60341_CHEMBL5422216,0.1923,False
O60341_CHEMBL5433323,0.2245,False
O60341_CHEMBL5409970,0.1976,False
O60341_CHEMBL5426797,0.194,False
O60341_CHEMBL5434546,0.2856,False
O60341_CHEMBL5429228,0.2433,False
O60341_CHEMBL5435026,0.2473,False
O60341_CHEMBL5407947,0.2466,False
O60341_CHEMBL5440105,0.2268,False
O60341_CHEMBL5406671,0.2472,False
O60341_CHEMBL5429994,0.1555,False
O60341_CHEMBL5419169,0.2747,False
O60341_CHEMBL5440680,0.2747,False
O60341_CHEMBL5409400,0.2211,False
O60341_CHEMBL5420493,0.2417,False
O60341_CHEMBL5411051,0.2363,False
O60341_CHEMBL5428732,0.236,False
O60341_CHEMBL5415964,0.2683,False
O60341_CHEMBL5399635,0.2935,False
O60341_CHEMBL5406759,0.3103,False
O60341_CHEMBL5413744,0.2472,False
O60341_CHEMBL5428176,0.2615,False
O60341_CHEMBL5440196,0.2444,False
O60341_CHEMBL5428924,0.2705,False
O60341_CHEMBL5396510,0.2472,False
O60341_CHEMBL5397056,0.2391,False
O60341_CHEMBL5416718,0.2258,False
O60341_CHEMBL5422540,0.2417,False
O60341_CHEMBL5435872,0.2413,False
O60341_CHEMBL5434343,0.2333,False
O60341_CHEMBL5399692,0.2258,False
O60341_CHEMBL5410411,0.2258,False
O60341_CHEMBL5435978,0.2556,False
O60341_CHEMBL5436412,0.2222,False
O60341_CHEMBL5407104,0.2285,False
O60341_CHEMBL5406892,0.2162,False
O60341_CHEMBL5426980,0.2134,False
O60341_CHEMBL5397316,0.2585,False
O60341_CHEMBL5437172,0.2739,False
O60341_CHEMBL5430058,0.2024,False
O60341_CHEMBL5406132,0.2375,False
O60341_CHEMBL5409890,0.2375,False
O60341_CHEMBL5406521,0.2764,False
O60341_CHEMBL5435173,0.2135,False
O60341_CHEMBL5404495,0.238,False
O60341_CHEMBL5410286,0.2439,False
O60341_CHEMBL5425391,0.2184,False
O60341_CHEMBL5423330,0.2065,False
O60341_CHEMBL5428936,0.2159,False
O60341_CHEMBL5413148,0.2087,False
O60341_CHEMBL5428788,0.2041,False
O60341_CHEMBL5436427,0.2222,False
O60341_CHEMBL5425120,0.198,False
O60341_CHEMBL5423110,0.2041,False
O60341_CHEMBL5431790,0.2,False
O60341_CHEMBL5399676,0.1899,False
O60341_CHEMBL5440601,0.2727,False
O60341_CHEMBL5413316,0.2874,False
O60341_CHEMBL5440032,0.2698,False
O60341_CHEMBL5405377,0.2062,False
O60341_CHEMBL5400631,0.2151,False
O60341_CHEMBL5416905,0.2683,False
O60341_CHEMBL5413825,0.2134,False
O60341_CHEMBL5416497,0.2559,False
O60341_CHEMBL5415883,0.1938,False
O60341_CHEMBL5394389,0.2197,False
O60341_CHEMBL5405788,0.2174,False
O60341_CHEMBL5419993,0.25,False
O60341_CHEMBL5417682,0.2333,False
O60341_CHEMBL5408302,0.191,False
O60341_CHEMBL5435117,0.2024,False
O60341_CHEMBL5408598,0.2094,False
O60341_CHEMBL5398801,0.2046,False
O60341_CHEMBL5400344,0.1855,False
O60341_CHEMBL5414185,0.2195,False
O60341_CHEMBL5439488,0.2421,False
O60341_CHEMBL5416264,0.2637,False
O60341_CHEMBL5406191,0.2605,False
O60341_CHEMBL5433364,0.2625,False
O60341_CHEMBL5403602,0.2441,False
O60341_CHEMBL5429412,0.3506,False
O60341_CHEMBL5436035,0.2474,False
O60341_CHEMBL5403862,0.2964,False
O60341_CHEMBL5419295,0.2644,False
O60341_CHEMBL5424948,0.2529,False
O60341_CHEMBL5418093,0.2391,False
O60341_CHEMBL5401496,0.2644,False
O60341_CHEMBL5404895,0.2294,False
O60341_CHEMBL5424591,0.2181,False
O60341_CHEMBL5403548,0.2615,False
O60341_CHEMBL5435587,0.2346,False
O60341_CHEMBL5396414,0.2247,False
O60341_CHEMBL5396152,0.1954,False
O60341_CHEMBL5418619,0.1888,False
O60341_CHEMBL5416406,0.1948,False
O60341_CHEMBL5438908,0.179,False
O60674_CHEMBL5412815,0.28,False
O60674_CHEMBL5424439,0.2258,False
O60674_CHEMBL5398468,0.3252,False
O60674_CHEMBL5429688,0.2605,False
O60674_CHEMBL5408539,0.2659,False
O60674_CHEMBL5417474,0.2234,False
O60674_CHEMBL5395839,0.2314,False
O60674_CHEMBL5403897,0.2283,False
O60674_CHEMBL5420083,0.2136,False
O60674_CHEMBL5420971,0.2333,False
O60674_CHEMBL5424098,0.2747,False
O60674_CHEMBL5423387,0.3076,False
O60674_CHEMBL5430795,0.3186,False
O60674_CHEMBL5405043,0.3044,False
O60674_CHEMBL5410919,0.2632,False
O60674_CHEMBL5435417,0.2632,False
O60674_CHEMBL5439582,0.2778,False
O60674_CHEMBL5427932,0.2747,False
O60674_CHEMBL5405140,0.2778,False
O60674_CHEMBL5404261,0.2688,False
O60674_CHEMBL5441087,0.2947,False
O60674_CHEMBL5440017,0.2979,False
O60674_CHEMBL5434116,0.2632,False
O60674_CHEMBL5396523,0.2659,False
O60674_CHEMBL5423894,0.2717,False
O60674_CHEMBL5424497,0.2188,False
O60674_CHEMBL5409953,0.236,False
O60674_CHEMBL5422886,0.2095,False
O60674_CHEMBL5412967,0.217,False
O60674_CHEMBL5419117,0.2222,False
O60674_CHEMBL5402252,0.236,False
O60674_CHEMBL5436068,0.2157,False
O60674_CHEMBL5435274,0.2471,False
O60674_CHEMBL5407329,0.2208,False
O60674_CHEMBL5407260,0.2661,False
O60674_CHEMBL5396554,0.2661,False
O60674_CHEMBL5415586,0.2316,False
O60674_CHEMBL5409666,0.25,False
O60674_CHEMBL5433426,0.241,False
O60674_CHEMBL5395378,0.2471,False
O60674_CHEMBL5420468,0.3237,False
O60674_CHEMBL5403288,0.2258,False
O60674_CHEMBL5430060,0.2316,False
O60674_CHEMBL5432029,0.2291,False
O60674_CHEMBL5436997,0.2079,False
O60674_CHEMBL5417435,0.2065,False
O60674_CHEMBL5432284,0.2021,False
O60674_CHEMBL5402797,0.22,False
O60674_CHEMBL5405344,0.24,False
O60674_CHEMBL5410239,0.24,False
O60674_CHEMBL5404765,0.26,False
O60674_CHEMBL5434965,0.2222,False
O60674_CHEMBL5429675,0.2136,False
O60674_CHEMBL5402554,0.2417,False
O60674_CHEMBL5415481,0.2136,False
O60674_CHEMBL5408994,0.2708,False
O60674_CHEMBL5419978,0.2766,False
O60674_CHEMBL5435482,0.2766,False
O60674_CHEMBL5408205,0.6851,False
O60674_CHEMBL5436744,0.7026,False
O60674_CHEMBL5440510,0.2791,False
O60674_CHEMBL5438892,0.236,False
O60674_CHEMBL5414095,0.2449,False
O60674_CHEMBL5412619,0.2551,False
O60674_CHEMBL5437653,0.2273,False
O60674_CHEMBL5400209,0.2273,False
O60674_CHEMBL5437261,0.3022,False
O60674_CHEMBL5419271,0.2825,False
O60674_CHEMBL5436383,0.2927,False
O60674_CHEMBL5431257,0.2159,False
O60674_CHEMBL5440264,0.2874,False
O60674_CHEMBL5420928,0.2444,False
O60674_CHEMBL5413489,0.2446,False
O60674_CHEMBL5429461,0.1683,False
O60674_CHEMBL5421116,0.191,False
O60674_CHEMBL5422793,0.191,False
O60674_CHEMBL5430869,0.2125,False
O60885_CHEMBL5437203,0.2151,False
O60885_CHEMBL5416784,0.2184,False
O60885_CHEMBL5407959,0.25,False
O60885_CHEMBL5394534,0.2444,False
O60885_CHEMBL5414323,0.2142,False
O60885_CHEMBL5401408,0.114,False
O60885_CHEMBL5440275,0.2197,False
O60885_CHEMBL5436620,0.2771,False
O60885_CHEMBL5401812,0.2291,False
O60885_CHEMBL5432311,0.1895,False
O60885_CHEMBL5394840,0.2,False
O60885_CHEMBL5414143,0.1959,False
O60885_CHEMBL5424895,0.2111,False
O60885_CHEMBL5439894,0.1936,False
O60885_CHEMBL5435639,0.2122,False
O60885_CHEMBL5431833,0.202,False
