compound_id,simstd_selfcontrol,ik1_selfcontrol
O00444_CHEMBL5433061,1.0,True
O00444_CHEMBL5439723,1.0,True
O00444_CHEMBL5434198,1.0,True
O00444_CHEMBL5424061,1.0,True
O00444_CHEMBL5401850,1.0,True
O00444_CHEMBL5432215,1.0,True
O00444_CHEMBL5437830,1.0,True
O00444_CHEMBL5438958,1.0,True
O00444_CHEMBL5423452,1.0,True
O00444_CHEMBL5404860,1.0,True
O00444_CHEMBL5440423,1.0,True
O00444_CHEMBL5437782,1.0,True
O00444_CHEMBL5421379,1.0,True
O00444_CHEMBL5410573,1.0,True
O00444_CHEMBL5410589,1.0,True
O00444_CHEMBL5395499,1.0,True
O00444_CHEMBL5411283,1.0,True
O00444_CHEMBL5394214,1.0,True
O00444_CHEMBL5424982,1.0,True
O00444_CHEMBL5409586,1.0,True
O00444_CHEMBL5430398,1.0,True
O00444_CHEMBL5415639,1.0,True
O00444_CHEMBL5431124,1.0,True
O00444_CHEMBL5440224,1.0,True
O00444_CHEMBL5420676,1.0,True
O00444_CHEMBL5439579,1.0,True
O00444_CHEMBL5421662,1.0,True
O00444_CHEMBL5424261,1.0,True
O00444_CHEMBL5420664,1.0,True
O00444_CHEMBL5418913,1.0,True
O00444_CHEMBL5407522,1.0,True
O00444_CHEMBL5397303,1.0,True
O00444_CHEMBL5432162,1.0,True
O00444_CHEMBL5400736,1.0,True
O00444_CHEMBL5426828,1.0,True
O00444_CHEMBL5404983,1.0,True
O00444_CHEMBL5432542,1.0,True
O00444_CHEMBL5399648,1.0,True
O00444_CHEMBL5420150,1.0,True
O00444_CHEMBL5402864,1.0,True
O00444_CHEMBL5439790,1.0,True
O00444_CHEMBL5423111,1.0,True
O00444_CHEMBL5408496,1.0,True
O00444_CHEMBL5425999,1.0,True
O00444_CHEMBL5424704,1.0,True
O00444_CHEMBL5439446,1.0,True
O00444_CHEMBL5420852,1.0,True
O00444_CHEMBL5435158,1.0,True
O00444_CHEMBL5424463,1.0,True
O00444_CHEMBL5429187,1.0,True
O00444_CHEMBL5429940,1.0,True
O00444_CHEMBL5397250,1.0,True
O00444_CHEMBL5435416,1.0,True
O00444_CHEMBL5409434,1.0,True
O00444_CHEMBL5438019,1.0,True
O00444_CHEMBL5430106,1.0,True
O00444_CHEMBL5418250,1.0,True
O00444_CHEMBL5429009,1.0,True
O00444_CHEMBL5396416,1.0,True
O00444_CHEMBL5425790,1.0,True
O00444_CHEMBL5405656,1.0,True
O00444_CHEMBL5420682,1.0,True
O00444_CHEMBL5433109,1.0,True
O00444_CHEMBL5410922,1.0,True
O00444_CHEMBL5435903,1.0,True
O00444_CHEMBL5423103,1.0,True
O00444_CHEMBL5434630,1.0,True
O00444_CHEMBL5413470,1.0,True
O00444_CHEMBL5435948,1.0,True
O00444_CHEMBL5438512,1.0,True
O00444_CHEMBL5431008,1.0,True
O00444_CHEMBL5396799,1.0,True
O00444_CHEMBL5401859,1.0,True
O00444_CHEMBL5436294,1.0,True
O00444_CHEMBL5397574,1.0,True
O00444_CHEMBL5422161,1.0,True
O00444_CHEMBL5396625,1.0,True
O00444_CHEMBL5407696,1.0,True
O00444_CHEMBL5408998,1.0,True
O00444_CHEMBL5402930,1.0,True
O00444_CHEMBL5440306,1.0,True
O00444_CHEMBL5430793,1.0,True
O00444_CHEMBL5430165,1.0,True
O00444_CHEMBL5405221,1.0,True
O00444_CHEMBL5432601,1.0,True
O00444_CHEMBL5434881,1.0,True
O00444_CHEMBL5404385,1.0,True
O00444_CHEMBL5438607,1.0,True
O00444_CHEMBL5422518,1.0,True
O00444_CHEMBL5397330,1.0,True
O00444_CHEMBL5394971,1.0,True
O00444_CHEMBL5430972,1.0,True
O00444_CHEMBL5412525,1.0,True
O00444_CHEMBL5420791,1.0,True
O00444_CHEMBL5435316,1.0,True
O00444_CHEMBL5424478,1.0,True
O00444_CHEMBL5432853,1.0,True
O00444_CHEMBL5413962,1.0,True
O00444_CHEMBL5414664,1.0,True
O00444_CHEMBL5408822,1.0,True
O00444_CHEMBL5410643,1.0,True
O00444_CHEMBL5402575,1.0,True
O00444_CHEMBL5395263,1.0,True
O00444_CHEMBL5416874,1.0,True
O00444_CHEMBL5400742,1.0,True
O00444_CHEMBL5432922,1.0,True
O00444_CHEMBL5434779,1.0,True
O00444_CHEMBL5407687,1.0,True
O00444_CHEMBL5399061,1.0,True
O00444_CHEMBL5394505,1.0,True
O00444_CHEMBL5402720,1.0,True
O00444_CHEMBL5429145,1.0,True
O00444_CHEMBL5417800,1.0,True
O00444_CHEMBL5430526,1.0,True
O00444_CHEMBL5409014,1.0,True
O00444_CHEMBL5401427,1.0,True
O00444_CHEMBL5412717,1.0,True
O00444_CHEMBL5431580,1.0,True
O00444_CHEMBL5401007,1.0,True
O00444_CHEMBL5404382,1.0,True
O00444_CHEMBL5410562,1.0,True
O00444_CHEMBL5440788,1.0,True
O00444_CHEMBL5415559,1.0,True
O00444_CHEMBL5420027,1.0,True
O14757_CHEMBL5413462,1.0,True
O14757_CHEMBL5409504,1.0,True
O14757_CHEMBL5420872,1.0,True
O14757_CHEMBL5421825,1.0,True
O14757_CHEMBL5428033,1.0,True
O14757_CHEMBL5439250,1.0,True
O14757_CHEMBL5420001,1.0,True
O14757_CHEMBL5421001,1.0,True
O14757_CHEMBL5431016,1.0,True
O14757_CHEMBL5427282,1.0,True
O14757_CHEMBL5407292,1.0,True
O14757_CHEMBL5408927,1.0,True
O14757_CHEMBL5409205,1.0,True
O14757_CHEMBL5401396,1.0,True
O14757_CHEMBL5408938,1.0,True
O14757_CHEMBL5398690,1.0,True
O14757_CHEMBL5394796,1.0,True
O14757_CHEMBL5430670,1.0,True
O14757_CHEMBL5398934,1.0,True
O14757_CHEMBL5419654,1.0,True
O14757_CHEMBL5403690,1.0,True
O14757_CHEMBL5432385,1.0,True
O14757_CHEMBL5425583,1.0,True
O14757_CHEMBL5427417,1.0,True
O14757_CHEMBL5433681,1.0,True
O14757_CHEMBL5433322,1.0,True
O14757_CHEMBL5439325,1.0,True
O14757_CHEMBL5395135,1.0,True
O14757_CHEMBL5429443,1.0,True
O14757_CHEMBL5433344,1.0,True
O14757_CHEMBL5424522,1.0,True
O14757_CHEMBL5430680,1.0,True
O14757_CHEMBL5424287,1.0,True
O14757_CHEMBL5438311,1.0,True
O14757_CHEMBL5409206,1.0,True
O14757_CHEMBL5410542,1.0,True
O14757_CHEMBL5406425,1.0,True
O14757_CHEMBL5408190,1.0,True
O14757_CHEMBL5408027,1.0,True
O14757_CHEMBL5401267,1.0,True
O14757_CHEMBL5411672,1.0,True
O14757_CHEMBL5411251,1.0,True
O14757_CHEMBL5428756,1.0,True
O14757_CHEMBL5432487,1.0,True
O14757_CHEMBL5433221,1.0,True
O14757_CHEMBL5406086,1.0,True
O14757_CHEMBL5428278,1.0,True
O14757_CHEMBL5398258,1.0,True
O14757_CHEMBL5411719,1.0,True
O14757_CHEMBL5424476,1.0,True
O14757_CHEMBL5438542,1.0,True
O14757_CHEMBL5398244,1.0,True
O14757_CHEMBL5405689,1.0,True
O14757_CHEMBL5401305,1.0,True
O14757_CHEMBL5434637,1.0,True
O14757_CHEMBL5411252,1.0,True
O14757_CHEMBL5396674,1.0,True
O14757_CHEMBL5410841,1.0,True
O14757_CHEMBL5426241,1.0,True
O43570_CHEMBL5433200,1.0,True
O43570_CHEMBL5418092,1.0,True
O43570_CHEMBL5431609,1.0,True
O43570_CHEMBL5434405,1.0,True
O43570_CHEMBL5399412,1.0,True
O43570_CHEMBL5410769,1.0,True
O43570_CHEMBL5430974,1.0,True
O43570_CHEMBL5420563,1.0,True
O43570_CHEMBL5394374,1.0,True
O43570_CHEMBL5439211,1.0,True
O43570_CHEMBL5420568,1.0,True
O43570_CHEMBL5429492,1.0,True
O43570_CHEMBL5406311,1.0,True
O43570_CHEMBL5395028,1.0,True
O43570_CHEMBL5408660,1.0,True
O43570_CHEMBL5394136,1.0,True
O43570_CHEMBL5428616,1.0,True
O43570_CHEMBL5411236,1.0,True
O43570_CHEMBL5434644,1.0,True
O43570_CHEMBL5418325,1.0,True
O43570_CHEMBL5418448,1.0,True
O43570_CHEMBL5396521,1.0,True
O43570_CHEMBL5406454,1.0,True
O43570_CHEMBL5415157,1.0,True
O43570_CHEMBL5430687,1.0,True
O43570_CHEMBL5402415,1.0,True
O43570_CHEMBL5403443,1.0,True
O43570_CHEMBL5423785,1.0,True
O43570_CHEMBL5420806,1.0,True
O43570_CHEMBL5408282,1.0,True
O43570_CHEMBL5403015,1.0,True
O43570_CHEMBL5418584,1.0,True
O43570_CHEMBL5408039,1.0,True
O43570_CHEMBL5417623,1.0,True
O43570_CHEMBL5419120,1.0,True
O43570_CHEMBL5419562,1.0,True
O43570_CHEMBL5409839,1.0,True
O43570_CHEMBL5406763,1.0,True
O43570_CHEMBL5398527,1.0,True
O43570_CHEMBL5398482,1.0,True
O43570_CHEMBL5404478,1.0,True
O43570_CHEMBL5430744,1.0,True
O43570_CHEMBL5404207,1.0,True
O43570_CHEMBL5432122,1.0,True
O43570_CHEMBL5400096,1.0,True
O43570_CHEMBL5427772,1.0,True
O43570_CHEMBL5439825,1.0,True
O43570_CHEMBL5424006,1.0,True
O43570_CHEMBL5419432,1.0,True
O43570_CHEMBL5436128,1.0,True
O43570_CHEMBL5411012,1.0,True
O43570_CHEMBL5427767,1.0,True
O43570_CHEMBL5412673,1.0,True
O43570_CHEMBL5413719,1.0,True
O43570_CHEMBL5434757,1.0,True
O43570_CHEMBL5398809,1.0,True
O43570_CHEMBL5423264,1.0,True
O43570_CHEMBL5431226,1.0,True
O43570_CHEMBL5400438,1.0,True
O43570_CHEMBL5422561,1.0,True
O43570_CHEMBL5422492,1.0,True
O43570_CHEMBL5438275,1.0,True
O43570_CHEMBL5411466,1.0,True
O43570_CHEMBL5419182,1.0,True
O43570_CHEMBL5428815,1.0,True
O43570_CHEMBL5406041,1.0,True
O43570_CHEMBL5439068,1.0,True
O43570_CHEMBL5401486,1.0,True
O43570_CHEMBL5424643,1.0,True
O43570_CHEMBL5402861,1.0,True
O43570_CHEMBL5422807,1.0,True
O43570_CHEMBL5415701,1.0,True
O43570_CHEMBL5417652,1.0,True
O43570_CHEMBL5430843,1.0,True
O43570_CHEMBL5415971,1.0,True
O43570_CHEMBL5434579,1.0,True
O43570_CHEMBL5427495,1.0,True
O43570_CHEMBL5396279,1.0,True
O43570_CHEMBL5427064,1.0,True
O43570_CHEMBL5434717,1.0,True
O43570_CHEMBL5405313,1.0,True
O43570_CHEMBL5428119,1.0,True
O43570_CHEMBL5406828,1.0,True
O43570_CHEMBL5421787,1.0,True
O43570_CHEMBL5410832,1.0,True
O43570_CHEMBL5396229,1.0,True
O43570_CHEMBL5400915,1.0,True
O43570_CHEMBL5423723,1.0,True
O43570_CHEMBL5409485,1.0,True
O43570_CHEMBL5411876,1.0,True
O43570_CHEMBL5430806,1.0,True
O43570_CHEMBL5427215,1.0,True
O43570_CHEMBL5418987,1.0,True
O43570_CHEMBL5417966,1.0,True
O43570_CHEMBL5427397,1.0,True
O43570_CHEMBL5393899,1.0,True
O43570_CHEMBL5416640,1.0,True
O43570_CHEMBL5399753,1.0,True
O43570_CHEMBL5432003,1.0,True
O43570_CHEMBL5399026,1.0,True
O43570_CHEMBL5413773,1.0,True
O43570_CHEMBL5416330,1.0,True
O43570_CHEMBL5429247,1.0,True
O43570_CHEMBL5438146,1.0,True
O43570_CHEMBL5400590,1.0,True
O43570_CHEMBL5423705,1.0,True
O43570_CHEMBL5420340,1.0,True
O43570_CHEMBL5418256,1.0,True
O43570_CHEMBL5408414,1.0,True
O43570_CHEMBL5422630,1.0,True
O43570_CHEMBL5412024,1.0,True
O43570_CHEMBL5424738,1.0,True
O43570_CHEMBL5423986,1.0,True
O43570_CHEMBL5423626,1.0,True
O43570_CHEMBL5407099,1.0,True
O43570_CHEMBL5439232,1.0,True
O43570_CHEMBL5412326,1.0,True
O43570_CHEMBL5404854,1.0,True
O43570_CHEMBL5434475,1.0,True
O43570_CHEMBL5398061,1.0,True
O43570_CHEMBL5422153,1.0,True
O43570_CHEMBL5395857,1.0,True
O43570_CHEMBL5397659,1.0,True
O43570_CHEMBL5419752,1.0,True
O43570_CHEMBL5404038,1.0,True
O43570_CHEMBL5439318,1.0,True
O43570_CHEMBL5405279,1.0,True
O43570_CHEMBL5437142,1.0,True
O43570_CHEMBL5420020,1.0,True
O43570_CHEMBL5432770,1.0,True
O43570_CHEMBL5395679,1.0,True
O43570_CHEMBL5424727,1.0,True
O43570_CHEMBL5425125,1.0,True
O43570_CHEMBL5412351,1.0,True
O43570_CHEMBL5424664,1.0,True
O43570_CHEMBL5420931,1.0,True
O43570_CHEMBL5417084,1.0,True
O43570_CHEMBL5430482,1.0,True
O43570_CHEMBL5414077,1.0,True
O43570_CHEMBL5402143,1.0,True
O43570_CHEMBL5426216,1.0,True
O43570_CHEMBL5413021,1.0,True
O43570_CHEMBL5402145,1.0,True
O43570_CHEMBL5438010,1.0,True
O43570_CHEMBL5421531,1.0,True
O43570_CHEMBL5411936,1.0,True
O43570_CHEMBL5419447,1.0,True
O43570_CHEMBL5396393,1.0,True
O43570_CHEMBL5409658,1.0,True
O43570_CHEMBL5413693,1.0,True
O43570_CHEMBL5429073,1.0,True
O43570_CHEMBL5401434,1.0,True
O43570_CHEMBL5402497,1.0,True
O43570_CHEMBL5412870,1.0,True
O43570_CHEMBL5422706,1.0,True
O43570_CHEMBL5425202,1.0,True
O43570_CHEMBL5433765,1.0,True
O43570_CHEMBL5420539,1.0,True
O43570_CHEMBL5395423,1.0,True
O43570_CHEMBL5407842,1.0,True
O43570_CHEMBL5396530,1.0,True
O43570_CHEMBL5397521,1.0,True
O43570_CHEMBL5439370,1.0,True
O43570_CHEMBL5415949,1.0,True
O43570_CHEMBL5395274,1.0,True
O43570_CHEMBL5407876,1.0,True
O43570_CHEMBL5430374,1.0,True
O43570_CHEMBL5403578,1.0,True
O43570_CHEMBL5439016,1.0,True
O43570_CHEMBL5430474,1.0,True
O43570_CHEMBL5439521,1.0,True
O43570_CHEMBL5433722,1.0,True
O43570_CHEMBL5416307,1.0,True
O43570_CHEMBL5402383,1.0,True
O43570_CHEMBL5397739,1.0,True
O43570_CHEMBL5399974,1.0,True
O43570_CHEMBL5422102,1.0,True
O43570_CHEMBL5406077,1.0,True
O43570_CHEMBL5440906,1.0,True
O43570_CHEMBL5440763,1.0,True
O43570_CHEMBL5436282,1.0,True
O43570_CHEMBL5411702,1.0,True
O43570_CHEMBL5414836,1.0,True
O43570_CHEMBL5399204,1.0,True
O43570_CHEMBL5433154,1.0,True
O43570_CHEMBL5409881,1.0,True
O43570_CHEMBL5403938,1.0,True
O43570_CHEMBL5421790,1.0,True
O43570_CHEMBL5432812,1.0,True
O43570_CHEMBL5408885,1.0,True
O43570_CHEMBL5403077,1.0,True
O43570_CHEMBL5420858,1.0,True
O43570_CHEMBL5396677,1.0,True
O43570_CHEMBL5413403,1.0,True
O43570_CHEMBL5410282,1.0,True
O43570_CHEMBL5417595,1.0,True
O60341_CHEMBL5439389,1.0,True
O60341_CHEMBL5408271,1.0,True
O60341_CHEMBL5416205,1.0,True
O60341_CHEMBL5423159,1.0,True
O60341_CHEMBL5425308,1.0,True
O60341_CHEMBL5433416,1.0,True
O60341_CHEMBL5396850,1.0,True
O60341_CHEMBL5434190,1.0,True
O60341_CHEMBL5430614,1.0,True
O60341_CHEMBL5438843,1.0,True
O60341_CHEMBL5432041,1.0,True
O60341_CHEMBL5423712,1.0,True
O60341_CHEMBL5401491,1.0,True
O60341_CHEMBL5432465,1.0,True
O60341_CHEMBL5439259,1.0,True
O60341_CHEMBL5438431,1.0,True
O60341_CHEMBL5410672,1.0,True
O60341_CHEMBL5430017,1.0,True
O60341_CHEMBL5406479,1.0,True
O60341_CHEMBL5413049,1.0,True
O60341_CHEMBL5434915,1.0,True
O60341_CHEMBL5432927,1.0,True
O60341_CHEMBL5437604,1.0,True
O60341_CHEMBL5405904,1.0,True
O60341_CHEMBL5420365,1.0,True
O60341_CHEMBL5421422,1.0,True
O60341_CHEMBL5422216,1.0,True
O60341_CHEMBL5433323,1.0,True
O60341_CHEMBL5409970,1.0,True
O60341_CHEMBL5426797,1.0,True
O60341_CHEMBL5434546,1.0,True
O60341_CHEMBL5429228,1.0,True
O60341_CHEMBL5435026,1.0,True
O60341_CHEMBL5407947,1.0,True
O60341_CHEMBL5440105,1.0,True
O60341_CHEMBL5406671,1.0,True
O60341_CHEMBL5429994,1.0,True
O60341_CHEMBL5419169,1.0,True
O60341_CHEMBL5440680,1.0,True
O60341_CHEMBL5409400,1.0,True
O60341_CHEMBL5420493,1.0,True
O60341_CHEMBL5411051,1.0,True
O60341_CHEMBL5428732,1.0,True
O60341_CHEMBL5415964,1.0,True
O60341_CHEMBL5399635,1.0,True
O60341_CHEMBL5406759,1.0,True
O60341_CHEMBL5413744,1.0,True
O60341_CHEMBL5428176,1.0,True
O60341_CHEMBL5440196,1.0,True
O60341_CHEMBL5428924,1.0,True
O60341_CHEMBL5396510,1.0,True
O60341_CHEMBL5397056,1.0,True
O60341_CHEMBL5416718,1.0,True
O60341_CHEMBL5422540,1.0,True
O60341_CHEMBL5435872,1.0,True
O60341_CHEMBL5434343,1.0,True
O60341_CHEMBL5399692,1.0,True
O60341_CHEMBL5410411,1.0,True
O60341_CHEMBL5435978,1.0,True
O60341_CHEMBL5436412,1.0,True
O60341_CHEMBL5407104,1.0,True
O60341_CHEMBL5406892,1.0,True
O60341_CHEMBL5426980,1.0,True
O60341_CHEMBL5397316,1.0,True
O60341_CHEMBL5437172,1.0,True
O60341_CHEMBL5430058,1.0,True
O60341_CHEMBL5406132,1.0,True
O60341_CHEMBL5409890,1.0,True
O60341_CHEMBL5406521,1.0,True
O60341_CHEMBL5435173,1.0,True
O60341_CHEMBL5404495,1.0,True
O60341_CHEMBL5410286,1.0,True
O60341_CHEMBL5425391,1.0,True
O60341_CHEMBL5423330,1.0,True
O60341_CHEMBL5428936,1.0,True
O60341_CHEMBL5413148,1.0,True
O60341_CHEMBL5428788,1.0,True
O60341_CHEMBL5436427,1.0,True
O60341_CHEMBL5425120,1.0,True
O60341_CHEMBL5423110,1.0,True
O60341_CHEMBL5431790,1.0,True
O60341_CHEMBL5399676,1.0,True
O60341_CHEMBL5440601,1.0,True
O60341_CHEMBL5413316,1.0,True
O60341_CHEMBL5440032,1.0,True
O60341_CHEMBL5405377,1.0,True
O60341_CHEMBL5400631,1.0,True
O60341_CHEMBL5416905,1.0,True
O60341_CHEMBL5413825,1.0,True
O60341_CHEMBL5416497,1.0,True
O60341_CHEMBL5415883,1.0,True
O60341_CHEMBL5394389,1.0,True
O60341_CHEMBL5405788,1.0,True
O60341_CHEMBL5419993,1.0,True
O60341_CHEMBL5417682,1.0,True
O60341_CHEMBL5408302,1.0,True
O60341_CHEMBL5435117,1.0,True
O60341_CHEMBL5408598,1.0,True
O60341_CHEMBL5398801,1.0,True
O60341_CHEMBL5400344,1.0,True
O60341_CHEMBL5414185,1.0,True
O60341_CHEMBL5439488,1.0,True
O60341_CHEMBL5416264,1.0,True
O60341_CHEMBL5406191,1.0,True
O60341_CHEMBL5433364,1.0,True
O60341_CHEMBL5403602,1.0,True
O60341_CHEMBL5429412,1.0,True
O60341_CHEMBL5436035,1.0,True
O60341_CHEMBL5403862,1.0,True
O60341_CHEMBL5419295,1.0,True
O60341_CHEMBL5424948,1.0,True
O60341_CHEMBL5418093,1.0,True
O60341_CHEMBL5401496,1.0,True
O60341_CHEMBL5404895,1.0,True
O60341_CHEMBL5424591,1.0,True
O60341_CHEMBL5403548,1.0,True
O60341_CHEMBL5435587,1.0,True
O60341_CHEMBL5396414,1.0,True
O60341_CHEMBL5396152,1.0,True
O60341_CHEMBL5418619,1.0,True
O60341_CHEMBL5416406,1.0,True
O60341_CHEMBL5438908,1.0,True
O60674_CHEMBL5412815,1.0,True
O60674_CHEMBL5424439,1.0,True
O60674_CHEMBL5398468,1.0,True
O60674_CHEMBL5429688,1.0,True
O60674_CHEMBL5408539,1.0,True
O60674_CHEMBL5417474,1.0,True
O60674_CHEMBL5395839,1.0,True
O60674_CHEMBL5403897,1.0,True
O60674_CHEMBL5420083,1.0,True
O60674_CHEMBL5420971,1.0,True
O60674_CHEMBL5424098,1.0,True
O60674_CHEMBL5423387,1.0,True
O60674_CHEMBL5430795,1.0,True
O60674_CHEMBL5405043,1.0,True
O60674_CHEMBL5410919,1.0,True
O60674_CHEMBL5435417,1.0,True
O60674_CHEMBL5439582,1.0,True
O60674_CHEMBL5427932,1.0,True
O60674_CHEMBL5405140,1.0,True
O60674_CHEMBL5404261,1.0,True
O60674_CHEMBL5441087,1.0,True
O60674_CHEMBL5440017,1.0,True
O60674_CHEMBL5434116,1.0,True
O60674_CHEMBL5396523,1.0,True
O60674_CHEMBL5423894,1.0,True
O60674_CHEMBL5424497,1.0,True
O60674_CHEMBL5409953,1.0,True
O60674_CHEMBL5422886,1.0,True
O60674_CHEMBL5412967,1.0,True
O60674_CHEMBL5419117,1.0,True
O60674_CHEMBL5402252,1.0,True
O60674_CHEMBL5436068,1.0,True
O60674_CHEMBL5435274,1.0,True
O60674_CHEMBL5407329,1.0,True
O60674_CHEMBL5407260,1.0,True
O60674_CHEMBL5396554,1.0,True
O60674_CHEMBL5415586,1.0,True
O60674_CHEMBL5409666,1.0,True
O60674_CHEMBL5433426,1.0,True
O60674_CHEMBL5395378,1.0,True
O60674_CHEMBL5420468,1.0,True
O60674_CHEMBL5403288,1.0,True
O60674_CHEMBL5430060,1.0,True
O60674_CHEMBL5432029,1.0,True
O60674_CHEMBL5436997,1.0,True
O60674_CHEMBL5417435,1.0,True
O60674_CHEMBL5432284,1.0,True
O60674_CHEMBL5402797,1.0,True
O60674_CHEMBL5405344,1.0,True
O60674_CHEMBL5410239,1.0,True
O60674_CHEMBL5404765,1.0,True
O60674_CHEMBL5434965,1.0,True
O60674_CHEMBL5429675,1.0,True
O60674_CHEMBL5402554,1.0,True
O60674_CHEMBL5415481,1.0,True
O60674_CHEMBL5408994,1.0,True
O60674_CHEMBL5419978,1.0,True
O60674_CHEMBL5435482,1.0,True
O60674_CHEMBL5408205,1.0,True
O60674_CHEMBL5436744,1.0,True
O60674_CHEMBL5440510,1.0,True
O60674_CHEMBL5438892,1.0,True
O60674_CHEMBL5414095,1.0,True
O60674_CHEMBL5412619,1.0,True
O60674_CHEMBL5437653,1.0,True
O60674_CHEMBL5400209,1.0,True
O60674_CHEMBL5437261,1.0,True
O60674_CHEMBL5419271,1.0,True
O60674_CHEMBL5436383,1.0,True
O60674_CHEMBL5431257,1.0,True
O60674_CHEMBL5440264,1.0,True
O60674_CHEMBL5420928,1.0,True
O60674_CHEMBL5413489,1.0,True
O60674_CHEMBL5429461,1.0,True
O60674_CHEMBL5421116,1.0,True
O60674_CHEMBL5422793,1.0,True
O60674_CHEMBL5430869,1.0,True
O60885_CHEMBL5437203,1.0,True
O60885_CHEMBL5416784,1.0,True
O60885_CHEMBL5407959,1.0,True
O60885_CHEMBL5394534,1.0,True
O60885_CHEMBL5414323,1.0,True
O60885_CHEMBL5401408,1.0,True
O60885_CHEMBL5440275,1.0,True
O60885_CHEMBL5436620,1.0,True
O60885_CHEMBL5401812,1.0,True
O60885_CHEMBL5432311,1.0,True
O60885_CHEMBL5394840,1.0,True
O60885_CHEMBL5414143,1.0,True
O60885_CHEMBL5424895,1.0,True
O60885_CHEMBL5439894,1.0,True
O60885_CHEMBL5435639,1.0,True
O60885_CHEMBL5431833,1.0,True
O60885_CHEMBL5435025,1.0,True
O60885_CHEMBL5411975,1.0,True
O60885_CHEMBL5405537,1.0,True
O60885_CHEMBL5419237,1.0,True
O60885_CHEMBL5400204,1.0,True
O60885_CHEMBL5409544,1.0,True
O60885_CHEMBL5420313,1.0,True
O60885_CHEMBL5412097,1.0,True
O60885_CHEMBL5406544,1.0,True
O60885_CHEMBL5429382,1.0,True
O60885_CHEMBL5435156,1.0,True
O60885_CHEMBL5437305,1.0,True
O60885_CHEMBL5417286,1.0,True
O60885_CHEMBL5427202,1.0,True
O60885_CHEMBL5419274,1.0,True
O60885_CHEMBL5426703,1.0,True
O60885_CHEMBL5429376,1.0,True
O60885_CHEMBL5423707,1.0,True
O60885_CHEMBL5440150,1.0,True
O60885_CHEMBL5438020,1.0,True
O60885_CHEMBL5420638,1.0,True
O60885_CHEMBL5406585,1.0,True
O60885_CHEMBL5404986,1.0,True
O60885_CHEMBL5416229,1.0,True
O60885_CHEMBL5427136,1.0,True
O60885_CHEMBL5430730,1.0,True
O60885_CHEMBL5396885,1.0,True
O60885_CHEMBL5403013,1.0,True
