Model,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
boltz2,P49841,Kinase,16,1.754,3.076,-0.174,-0.336,-0.226,0.387,0.009
boltz2,P50406,Family A G protein-coupled receptor,76,0.896,0.803,0.221,0.302,0.195,0.598,0.028
boltz2,P51449,Transcription factor,59,0.907,0.823,-0.103,0.104,0.074,0.537,0.002
boltz2,P52333,Kinase,20,0.729,0.532,0.835,0.464,0.349,0.676,0.694
boltz2,Q00987,Other nuclear protein,88,1.272,1.619,0.801,0.803,0.607,0.804,0.481
boltz2,Q03111,Epigenetic regulator,45,0.928,0.86,0.471,0.29,0.22,0.61,0.181
boltz2,Q03181,Transcription factor,18,0.636,0.404,0.271,0.298,0.229,0.614,0.05
boltz2,Q06124,Phosphatase,32,0.716,0.513,0.335,0.354,0.259,0.63,0.058
boltz2,Q12809,Ion channel,95,1.653,2.731,0.293,0.296,0.202,0.601,0.04
boltz2,Q13546,Kinase,47,1.339,1.794,0.445,0.359,0.244,0.623,-0.173
boltz2,Q13547,Epigenetic regulator,31,1.018,1.037,0.671,0.672,0.461,0.731,0.394
boltz2,Q13627,Kinase,18,1.364,1.861,0.218,0.234,0.176,0.588,-0.01
boltz2,Q15910,Epigenetic regulator,36,0.899,0.809,0.387,0.4,0.307,0.654,0.043
boltz2,Q16790,Lyase,203,0.826,0.682,0.281,0.21,0.141,0.57,0.036
boltz2,Q72547,Hydrolase,23,1.29,1.664,0.252,0.381,0.214,0.607,0.037
boltz2,Q92918,Kinase,132,1.722,2.964,0.397,0.345,0.242,0.622,0.039
boltz2,Q96P20,Unclassified protein,69,1.694,2.869,0.094,-0.002,0.002,0.501,0.004
boltz2,Q96SW2,Unclassified protein,21,0.515,0.265,0.069,0.042,-0.014,0.493,-0.0
boltz2,Q99538,Protease,40,1.784,3.183,0.305,0.315,0.239,0.62,0.027
boltz2,Q9NXA8,Epigenetic regulator,36,0.662,0.438,0.239,0.323,0.188,0.594,0.015
flowr_root,C7C422,Hydrolase,22,0.87,0.757,0.571,0.38,0.226,0.613,0.265
flowr_root,O00444,Kinase,92,0.795,0.632,0.424,0.38,0.242,0.621,0.148
flowr_root,O43570,Lyase,189,0.901,0.811,0.182,0.195,0.131,0.566,0.02
flowr_root,O60341,Epigenetic regulator,70,0.9,0.811,0.137,0.107,0.066,0.533,0.01
flowr_root,O60674,Kinase,22,0.665,0.442,0.477,0.594,0.418,0.711,0.197
flowr_root,O60885,Epigenetic regulator,175,0.923,0.853,0.511,0.527,0.357,0.679,0.215
flowr_root,O75116,Kinase,43,1.075,1.155,0.356,0.29,0.191,0.596,0.117
flowr_root,O75874,Oxidoreductase,27,1.013,1.027,0.458,0.384,0.266,0.633,0.172
flowr_root,O94925,Hydrolase,73,0.603,0.364,0.48,0.466,0.323,0.662,0.092
flowr_root,O96028,Epigenetic regulator,30,0.919,0.845,-0.167,-0.185,-0.15,0.425,0.008
flowr_root,P00533,Kinase,102,0.904,0.817,0.22,0.33,0.215,0.608,0.025
flowr_root,P00915,Lyase,240,0.599,0.359,0.696,0.661,0.477,0.739,0.454
flowr_root,P00918,Lyase,256,0.752,0.566,0.546,0.592,0.425,0.713,0.22
flowr_root,P01116,Hydrolase,32,2.007,4.026,0.213,0.235,0.158,0.579,0.025
flowr_root,P03372,Transcription factor,64,0.988,0.976,-0.154,-0.442,-0.285,0.357,0.005
flowr_root,P04629,Kinase,19,0.77,0.593,0.518,0.481,0.392,0.696,0.231
flowr_root,P06276,Hydrolase,112,0.974,0.949,0.415,0.37,0.252,0.627,0.11
flowr_root,P07333,Kinase,25,1.113,1.24,0.212,0.172,0.137,0.569,0.03
flowr_root,P08183,Transporter,83,0.85,0.722,0.263,0.293,0.187,0.594,0.031
flowr_root,P08684,Cytochrome p450,36,1.277,1.631,-0.373,-0.361,-0.245,0.377,-0.005
flowr_root,P08908,Family A G protein-coupled receptor,46,0.743,0.551,0.823,0.801,0.58,0.79,0.53
flowr_root,P0DTD1,Transferase,698,1.179,1.39,0.321,0.325,0.22,0.61,0.073
flowr_root,P10275,Transcription factor,36,0.97,0.942,0.054,0.042,0.024,0.512,0.0
flowr_root,P14416,Family A G protein-coupled receptor,126,0.753,0.567,0.712,0.685,0.507,0.754,0.473
flowr_root,P17931,Unclassified protein,37,0.851,0.725,-0.202,-0.355,-0.251,0.374,-0.031
flowr_root,P21728,Family A G protein-coupled receptor,18,0.793,0.629,0.669,0.699,0.516,0.758,0.32
flowr_root,P22303,Hydrolase,102,0.977,0.954,0.655,0.535,0.384,0.692,0.377
flowr_root,P23458,Kinase,43,1.316,1.731,0.522,0.521,0.37,0.685,0.225
flowr_root,P24941,Kinase,30,0.668,0.446,0.475,0.571,0.416,0.708,0.192
flowr_root,P27338,Oxidoreductase,91,1.015,1.03,0.452,0.471,0.322,0.661,0.181
flowr_root,P28223,Family A G protein-coupled receptor,54,0.948,0.899,0.478,0.412,0.276,0.638,0.221
flowr_root,P28335,Family A G protein-coupled receptor,22,0.651,0.424,0.458,0.43,0.326,0.664,0.2
flowr_root,P28907,Hydrolase|Transferase,12,1.186,1.406,-0.185,-0.046,-0.092,0.453,0.016
flowr_root,P29274,Family A G protein-coupled receptor,40,1.04,1.081,0.245,0.23,0.168,0.584,0.012
flowr_root,P29597,Kinase,21,0.947,0.897,0.337,0.247,0.145,0.574,0.093
flowr_root,P31153,Transferase,33,0.765,0.585,0.386,0.494,0.392,0.697,0.119
flowr_root,P34972,Family A G protein-coupled receptor,27,1.099,1.208,0.464,0.396,0.282,0.641,0.211
flowr_root,P35372,Family A G protein-coupled receptor,34,0.787,0.62,0.573,0.546,0.357,0.679,0.238
flowr_root,P35408,Family A G protein-coupled receptor,54,1.413,1.995,-0.119,-0.079,-0.065,0.467,0.009
flowr_root,P35462,Family A G protein-coupled receptor,65,0.631,0.399,0.882,0.844,0.67,0.835,0.603
flowr_root,P36544,Ion channel,31,0.771,0.595,0.209,0.173,0.11,0.555,0.0
flowr_root,P37231,Transcription factor,15,0.554,0.307,0.691,0.698,0.529,0.767,0.349
flowr_root,P41143,Family A G protein-coupled receptor,41,0.68,0.463,0.591,0.468,0.296,0.649,0.26
flowr_root,P41145,Family A G protein-coupled receptor,34,1.159,1.344,0.552,0.462,0.333,0.667,0.295
flowr_root,P42330,Oxidoreductase,60,0.603,0.363,0.571,0.481,0.346,0.674,0.175
flowr_root,P42336,Transferase,38,0.802,0.642,0.472,0.496,0.372,0.687,0.196
flowr_root,P42345,Kinase,52,0.937,0.878,0.33,0.325,0.21,0.606,0.065
flowr_root,P42866,Family A G protein-coupled receptor,32,0.502,0.252,-0.05,-0.026,0.008,0.504,0.0
flowr_root,P43166,Lyase,116,0.974,0.949,0.591,0.555,0.406,0.704,0.234
flowr_root,P43490,Unclassified protein,17,0.669,0.448,0.858,0.481,0.328,0.667,0.586
flowr_root,P49759,Kinase,20,0.725,0.525,0.006,0.066,0.021,0.511,0.0
flowr_root,P49841,Kinase,16,1.722,2.965,0.123,0.078,0.075,0.538,0.006
flowr_root,P50406,Family A G protein-coupled receptor,76,0.883,0.78,0.26,0.32,0.218,0.609,0.049
flowr_root,P51449,Transcription factor,59,0.874,0.763,-0.101,-0.067,-0.043,0.478,0.004
flowr_root,P52333,Kinase,20,0.617,0.38,0.845,0.619,0.434,0.718,0.591
flowr_root,Q00987,Other nuclear protein,88,0.725,0.526,0.886,0.876,0.7,0.851,0.711
flowr_root,Q03111,Epigenetic regulator,45,0.669,0.448,0.693,0.674,0.481,0.741,0.413
flowr_root,Q03181,Transcription factor,18,0.521,0.272,0.654,0.569,0.399,0.699,0.329
flowr_root,Q06124,Phosphatase,32,0.726,0.527,0.319,0.373,0.275,0.638,0.048
flowr_root,Q12809,Ion channel,95,1.494,2.233,0.105,0.051,0.04,0.52,0.003
flowr_root,Q13546,Kinase,47,0.833,0.693,0.564,0.521,0.362,0.682,0.007
flowr_root,Q13547,Epigenetic regulator,31,0.777,0.604,0.753,0.698,0.517,0.759,0.417
flowr_root,Q13627,Kinase,18,1.221,1.492,-0.5,-0.48,-0.346,0.327,-0.008
flowr_root,Q15910,Epigenetic regulator,36,0.572,0.328,0.28,0.242,0.173,0.587,0.052
flowr_root,Q16790,Lyase,203,0.75,0.563,0.515,0.469,0.327,0.664,0.188
flowr_root,Q72547,Hydrolase,23,1.152,1.327,0.362,0.26,0.143,0.571,0.106
flowr_root,Q92918,Kinase,132,0.782,0.611,0.362,0.328,0.226,0.613,0.082
flowr_root,Q96P20,Unclassified protein,69,1.657,2.747,0.02,-0.012,-0.028,0.486,0.0
flowr_root,Q96SW2,Unclassified protein,21,0.326,0.106,0.336,0.398,0.275,0.639,0.062
flowr_root,Q99538,Protease,40,1.714,2.938,0.306,0.315,0.211,0.605,0.045
flowr_root,Q9NXA8,Epigenetic regulator,36,0.754,0.568,-0.201,-0.302,-0.185,0.407,-0.016
flowdock,C7C422,Hydrolase,22,1.284,1.649,-0.032,-0.016,-0.043,0.478,0.0
flowdock,O00444,Kinase,92,1.339,1.793,0.402,0.464,0.302,0.651,0.154
flowdock,O43570,Lyase,189,0.851,0.724,0.019,-0.001,-0.002,0.499,0.0
flowdock,O60341,Epigenetic regulator,70,0.944,0.891,0.054,-0.064,-0.051,0.475,0.002
flowdock,O60674,Kinase,22,1.153,1.33,-0.076,-0.075,-0.07,0.465,0.002
flowdock,O60885,Epigenetic regulator,175,0.9,0.81,0.522,0.535,0.367,0.684,0.228
flowdock,O75116,Kinase,43,1.268,1.609,-0.007,0.066,0.047,0.523,0.0
flowdock,O75874,Oxidoreductase,27,0.944,0.891,0.32,0.214,0.151,0.576,0.03
flowdock,O94925,Hydrolase,73,0.891,0.794,0.52,0.452,0.306,0.653,0.043
flowdock,O96028,Epigenetic regulator,30,0.616,0.38,0.352,0.347,0.247,0.624,0.027
flowdock,P00533,Kinase,102,1.09,1.188,0.127,0.192,0.132,0.566,0.01
flowdock,P00915,Lyase,240,1.219,1.485,0.216,0.213,0.147,0.574,0.028
flowdock,P00918,Lyase,256,1.072,1.149,0.203,0.141,0.099,0.55,0.024
flowdock,P01116,Hydrolase,32,1.38,1.904,0.187,0.004,0.004,0.502,0.021
flowdock,P03372,Transcription factor,64,2.924,8.547,-0.13,-0.121,-0.076,0.462,0.007
flowdock,P04629,Kinase,19,0.748,0.56,0.581,0.609,0.427,0.713,0.332
flowdock,P06276,Hydrolase,112,1.81,3.274,0.146,0.228,0.156,0.578,0.012
flowdock,P07333,Kinase,25,1.039,1.081,0.057,0.033,0.037,0.519,0.002
flowdock,P08183,Transporter,83,1.508,2.275,0.436,0.388,0.271,0.636,0.141
flowdock,P08684,Cytochrome p450,36,2.266,5.136,-0.722,-0.648,-0.41,0.295,-0.459
flowdock,P08908,Family A G protein-coupled receptor,46,2.329,5.426,-0.354,-0.314,-0.22,0.39,0.036
flowdock,P0DTD1,Transferase,698,1.08,1.167,0.183,0.176,0.119,0.56,0.019
flowdock,P10275,Transcription factor,36,1.93,3.725,-0.064,-0.173,-0.113,0.443,0.0
flowdock,P14416,Family A G protein-coupled receptor,126,2.339,5.473,0.026,0.015,0.005,0.503,0.0
flowdock,P17931,Unclassified protein,37,1.328,1.763,-0.001,0.064,0.047,0.523,-0.0
flowdock,P21728,Family A G protein-coupled receptor,18,2.183,4.766,-0.379,-0.181,-0.098,0.451,0.04
flowdock,P22303,Hydrolase,102,2.703,7.305,0.442,0.36,0.249,0.624,0.155
flowdock,P23458,Kinase,43,2.031,4.125,0.447,0.425,0.307,0.654,0.158
flowdock,P24941,Kinase,30,0.827,0.684,0.51,0.382,0.237,0.618,0.186
flowdock,P27338,Oxidoreductase,91,1.12,1.254,0.263,0.239,0.159,0.58,0.052
flowdock,P28223,Family A G protein-coupled receptor,54,2.618,6.853,0.229,0.243,0.169,0.584,0.045
flowdock,P28335,Family A G protein-coupled receptor,22,2.547,6.488,0.323,0.294,0.196,0.598,0.063
flowdock,P28907,Hydrolase|Transferase,12,2.874,8.258,-0.394,-0.319,-0.277,0.359,0.018
flowdock,P29274,Family A G protein-coupled receptor,40,2.285,5.222,0.325,0.294,0.225,0.613,0.074
flowdock,P29597,Kinase,21,1.312,1.72,0.17,0.061,0.039,0.52,0.017
flowdock,P31153,Transferase,33,1.246,1.552,0.529,0.554,0.388,0.695,0.118
flowdock,P34972,Family A G protein-coupled receptor,27,1.92,3.687,0.355,0.454,0.305,0.652,0.106
flowdock,P35372,Family A G protein-coupled receptor,34,2.58,6.658,0.034,-0.075,-0.057,0.471,0.0
flowdock,P35408,Family A G protein-coupled receptor,54,1.396,1.95,0.056,0.017,0.032,0.517,0.002
flowdock,P35462,Family A G protein-coupled receptor,65,2.448,5.992,0.032,-0.004,-0.006,0.497,0.001
flowdock,P36544,Ion channel,31,1.114,1.24,-0.054,-0.127,-0.097,0.451,-0.0
flowdock,P37231,Transcription factor,15,1.734,3.006,0.493,0.433,0.337,0.67,0.192
flowdock,P41143,Family A G protein-coupled receptor,41,2.455,6.025,0.596,0.148,0.095,0.548,0.328
flowdock,P41145,Family A G protein-coupled receptor,34,2.928,8.573,-0.361,-0.233,-0.155,0.422,0.041
flowdock,P42330,Oxidoreductase,60,0.956,0.915,0.161,0.143,0.107,0.554,0.007
flowdock,P42336,Transferase,38,1.09,1.188,0.248,0.181,0.113,0.557,0.044
flowdock,P42345,Kinase,52,1.458,2.126,0.255,0.156,0.111,0.555,0.019
flowdock,P42866,Family A G protein-coupled receptor,32,1.339,1.793,-0.173,-0.088,-0.061,0.47,0.021
flowdock,P43166,Lyase,116,0.759,0.575,0.358,0.341,0.24,0.62,0.061
flowdock,P43490,Unclassified protein,17,1.55,2.402,0.549,0.577,0.463,0.735,0.267
flowdock,P49759,Kinase,20,1.061,1.125,-0.688,-0.636,-0.455,0.271,-0.206
flowdock,P49841,Kinase,16,1.081,1.168,0.462,0.23,0.209,0.605,0.205
flowdock,P50406,Family A G protein-coupled receptor,76,1.74,3.027,-0.147,-0.094,-0.057,0.472,0.006
flowdock,P51449,Transcription factor,59,0.729,0.531,0.296,0.368,0.243,0.622,0.052
flowdock,P52333,Kinase,20,0.824,0.679,0.696,0.15,0.116,0.559,0.349
flowdock,Q00987,Other nuclear protein,88,1.374,1.889,0.75,0.787,0.592,0.797,0.372
flowdock,Q03111,Epigenetic regulator,45,0.783,0.612,0.609,0.553,0.4,0.701,0.211
flowdock,Q03181,Transcription factor,18,1.016,1.032,0.493,0.569,0.386,0.693,0.226
flowdock,Q06124,Phosphatase,32,1.5,2.249,0.413,0.44,0.323,0.662,0.101
flowdock,Q12809,Ion channel,95,2.248,5.052,-0.017,-0.033,-0.017,0.492,0.0
flowdock,Q13546,Kinase,47,0.74,0.548,0.562,0.466,0.339,0.67,0.117
flowdock,Q13547,Epigenetic regulator,31,1.564,2.445,-0.496,-0.445,-0.297,0.351,0.007
flowdock,Q13627,Kinase,18,1.556,2.421,-0.052,-0.067,-0.046,0.477,0.0
flowdock,Q15910,Epigenetic regulator,36,0.884,0.781,0.288,0.295,0.208,0.604,0.032
flowdock,Q16790,Lyase,203,1.175,1.38,0.054,0.058,0.037,0.519,-0.0
flowdock,Q72547,Hydrolase,23,0.881,0.776,0.475,0.512,0.325,0.663,0.205
flowdock,Q92918,Kinase,132,0.767,0.588,0.158,0.181,0.12,0.56,0.019
flowdock,Q96P20,Unclassified protein,69,2.115,4.473,-0.108,-0.218,-0.135,0.432,0.001
flowdock,Q96SW2,Unclassified protein,21,0.656,0.431,-0.007,0.168,0.092,0.546,-0.0
flowdock,Q99538,Protease,40,1.622,2.63,0.108,0.081,0.059,0.53,0.006
flowdock,Q9NXA8,Epigenetic regulator,36,0.472,0.223,0.374,0.308,0.201,0.601,0.095
haiping,C7C422,Hydrolase,22,1.845,3.403,-0.333,-0.233,-0.182,0.409,0.009
haiping,O00444,Kinase,92,1.345,1.81,0.388,0.365,0.238,0.619,0.096
haiping,O43570,Lyase,189,0.901,0.813,0.056,-0.006,-0.009,0.495,0.0
haiping,O60341,Epigenetic regulator,70,1.22,1.489,0.115,0.104,0.065,0.532,0.003
haiping,O60674,Kinase,22,2.175,4.73,-0.04,0.074,0.066,0.533,-0.001
haiping,O60885,Epigenetic regulator,175,1.019,1.039,0.385,0.375,0.253,0.626,0.1
haiping,O75116,Kinase,43,0.94,0.884,0.311,0.363,0.252,0.626,0.091
haiping,O75874,Oxidoreductase,27,1.719,2.953,0.208,0.196,0.117,0.559,0.029
haiping,O94925,Hydrolase,73,1.199,1.437,0.267,0.142,0.105,0.553,-0.025
haiping,O96028,Epigenetic regulator,30,1.017,1.034,0.452,0.453,0.329,0.665,0.052
haiping,P00533,Kinase,102,1.204,1.449,-0.104,-0.095,-0.069,0.465,-0.0
haiping,P00915,Lyase,240,1.063,1.131,0.41,0.361,0.248,0.624,0.113
haiping,P00918,Lyase,256,0.98,0.961,0.253,0.207,0.146,0.573,0.022
haiping,P01116,Hydrolase,32,2.186,4.777,0.298,0.271,0.17,0.585,0.065
haiping,P03372,Transcription factor,64,1.465,2.146,-0.337,-0.352,-0.25,0.374,0.018
haiping,P04629,Kinase,19,1.05,1.103,0.09,0.172,0.146,0.573,0.004
haiping,P06276,Hydrolase,112,1.431,2.048,-0.204,-0.156,-0.105,0.448,-0.002
haiping,P07333,Kinase,25,1.662,2.761,0.087,0.051,0.05,0.525,-0.001
haiping,P08183,Transporter,83,1.066,1.136,0.126,0.065,0.048,0.524,0.004
haiping,P08684,Cytochrome p450,36,1.883,3.546,-0.656,-0.613,-0.41,0.295,-0.279
haiping,P08908,Family A G protein-coupled receptor,46,1.468,2.154,-0.089,-0.121,-0.087,0.456,0.003
haiping,P0DTD1,Transferase,698,1.913,3.659,0.187,0.181,0.122,0.561,0.023
haiping,P10275,Transcription factor,36,1.167,1.363,0.004,-0.046,-0.03,0.485,-0.0
haiping,P14416,Family A G protein-coupled receptor,126,1.16,1.345,-0.01,0.033,0.008,0.504,0.0
haiping,P17931,Unclassified protein,37,2.204,4.858,-0.159,-0.285,-0.164,0.418,-0.023
haiping,P21728,Family A G protein-coupled receptor,18,1.123,1.261,-0.071,0.046,0.059,0.529,0.003
haiping,P22303,Hydrolase,102,2.108,4.445,0.09,0.008,-0.008,0.496,0.003
haiping,P23458,Kinase,43,1.666,2.777,0.353,0.312,0.205,0.603,0.121
haiping,P24941,Kinase,30,0.994,0.987,0.293,0.184,0.131,0.566,0.064
haiping,P27338,Oxidoreductase,91,1.427,2.037,0.065,0.037,0.032,0.516,0.002
haiping,P28223,Family A G protein-coupled receptor,54,1.365,1.863,0.274,0.224,0.153,0.576,0.056
haiping,P28335,Family A G protein-coupled receptor,22,1.574,2.476,0.026,0.018,0.035,0.517,0.0
haiping,P28907,Hydrolase|Transferase,12,1.281,1.64,-0.166,-0.095,0.0,0.5,-0.001
haiping,P29274,Family A G protein-coupled receptor,40,1.691,2.859,0.335,0.342,0.245,0.623,0.087
haiping,P29597,Kinase,21,0.95,0.903,0.489,0.442,0.358,0.681,0.191
haiping,P31153,Transferase,33,0.922,0.85,0.441,0.402,0.262,0.632,0.173
haiping,P34972,Family A G protein-coupled receptor,27,1.862,3.468,-0.202,-0.165,-0.1,0.45,0.008
haiping,P35372,Family A G protein-coupled receptor,34,1.432,2.051,0.13,0.117,0.091,0.546,0.01
haiping,P35408,Family A G protein-coupled receptor,54,1.337,1.789,0.319,0.202,0.138,0.571,0.09
haiping,P35462,Family A G protein-coupled receptor,65,1.287,1.657,0.112,0.067,0.039,0.52,0.007
haiping,P36544,Ion channel,31,1.1,1.209,-0.135,-0.169,-0.11,0.445,-0.012
haiping,P37231,Transcription factor,15,2.341,5.482,0.923,0.948,0.837,0.922,0.627
haiping,P41143,Family A G protein-coupled receptor,41,1.172,1.374,0.635,0.634,0.458,0.73,0.383
haiping,P41145,Family A G protein-coupled receptor,34,1.67,2.788,-0.189,-0.225,-0.166,0.417,0.016
haiping,P42330,Oxidoreductase,60,1.029,1.059,0.13,0.032,0.027,0.513,-0.006
haiping,P42336,Transferase,38,1.298,1.685,-0.003,-0.017,-0.01,0.495,0.0
haiping,P42345,Kinase,52,0.865,0.747,0.5,0.408,0.288,0.644,0.112
haiping,P42866,Family A G protein-coupled receptor,32,0.519,0.269,0.034,0.06,0.051,0.525,0.0
haiping,P43166,Lyase,116,1.075,1.156,-0.131,-0.018,0.002,0.501,-0.002
haiping,P43490,Unclassified protein,17,1.394,1.943,0.565,0.255,0.18,0.591,0.308
haiping,P49759,Kinase,20,1.11,1.233,-0.359,-0.345,-0.212,0.394,-0.055
haiping,P49841,Kinase,16,1.922,3.695,0.024,0.043,0.059,0.529,0.0
haiping,P50406,Family A G protein-coupled receptor,76,1.147,1.315,0.059,0.1,0.063,0.532,0.0
haiping,P51449,Transcription factor,59,0.966,0.933,0.03,0.041,0.02,0.51,0.0
haiping,P52333,Kinase,20,0.871,0.759,0.668,0.479,0.349,0.676,0.381
haiping,Q00987,Other nuclear protein,88,1.65,2.721,0.431,0.391,0.271,0.636,0.167
haiping,Q03111,Epigenetic regulator,45,0.906,0.821,0.284,0.207,0.155,0.578,0.065
haiping,Q03181,Transcription factor,18,1.277,1.631,0.659,0.523,0.386,0.693,0.316
haiping,Q06124,Phosphatase,32,0.891,0.794,0.056,0.098,0.061,0.53,0.001
haiping,Q12809,Ion channel,95,2.324,5.402,0.116,0.057,0.042,0.521,0.005
haiping,Q13546,Kinase,47,0.903,0.815,0.496,0.493,0.334,0.668,0.087
haiping,Q13547,Epigenetic regulator,31,1.345,1.809,-0.022,0.046,0.026,0.513,0.0
haiping,Q13627,Kinase,18,2.007,4.028,-0.214,0.011,-0.02,0.49,-0.024
haiping,Q15910,Epigenetic regulator,36,1.186,1.407,0.036,0.03,0.033,0.517,-0.0
haiping,Q16790,Lyase,203,0.838,0.702,0.266,0.209,0.14,0.57,0.022
haiping,Q72547,Hydrolase,23,1.708,2.916,-0.583,-0.519,-0.341,0.329,-0.041
haiping,Q92918,Kinase,132,0.944,0.891,0.014,0.077,0.051,0.526,0.0
haiping,Q96P20,Unclassified protein,69,1.342,1.802,0.222,0.223,0.152,0.576,0.036
haiping,Q96SW2,Unclassified protein,21,0.758,0.575,-0.421,-0.544,-0.419,0.288,-0.166
haiping,Q99538,Protease,40,1.069,1.142,0.042,0.066,0.048,0.524,0.001
haiping,Q9NXA8,Epigenetic regulator,36,1.224,1.498,-0.369,-0.389,-0.258,0.371,-0.073
mfe,C7C422,Hydrolase,22,1.204,1.45,-0.237,-0.109,-0.078,0.461,0.015
mfe,O00444,Kinase,92,1.412,1.994,-0.08,-0.099,-0.049,0.475,0.002
mfe,O43570,Lyase,189,0.709,0.503,0.075,0.01,0.012,0.506,0.003
mfe,O60341,Epigenetic regulator,70,0.952,0.907,0.275,0.301,0.218,0.609,0.054
