threshold,model,n_pairs,n_targets,pearson,pearson_lo,pearson_hi,spearman,spearman_lo,spearman_hi,kendall,kendall_lo,kendall_hi,ci,ci_lo,ci_hi,mae,mae_lo,mae_hi
<0.80,deepdta,7178,84,0.1207,0.0514,0.1871,0.1228,0.0652,0.1826,0.0868,0.0455,0.1299,0.5435,0.5223,0.5651,1.2991,1.1873,1.4175
<0.70,boltz2,6105,83,0.3037,0.2401,0.3633,0.2748,0.2089,0.3407,0.1947,0.1492,0.2416,0.5977,0.5731,0.6222,1.1303,1.0394,1.2343
<0.70,flowr_root,6105,83,0.4107,0.3485,0.4712,0.3821,0.3142,0.4453,0.2802,0.234,0.3287,0.6405,0.6176,0.6637,0.7317,0.68,0.7853
<0.70,flowdock,6105,83,0.1499,0.0851,0.2154,0.1295,0.071,0.191,0.0914,0.0496,0.1349,0.5459,0.5254,0.5674,1.2976,1.1631,1.4436
<0.70,haiping,6105,83,0.097,0.0313,0.1597,0.0685,0.0079,0.1283,0.0534,0.0104,0.0982,0.5268,0.5048,0.5501,1.1397,1.056,1.2272
<0.70,mfe,6105,83,0.1244,0.0615,0.1895,0.1013,0.0338,0.1664,0.0697,0.0229,0.1181,0.5349,0.51,0.5589,1.1478,1.0556,1.2419
<0.70,bapred,6105,83,0.0856,0.0204,0.1554,0.0836,0.0236,0.1458,0.0599,0.0154,0.102,0.5301,0.5079,0.5524,1.127,1.0381,1.2231
<0.70,llf,6105,83,0.1895,0.1355,0.2452,0.1642,0.1111,0.2153,0.112,0.0758,0.1478,0.5561,0.5384,0.5735,1.3424,1.1975,1.4969
<0.70,mixingdta,6105,83,0.1125,0.0397,0.1855,0.1052,0.0343,0.1741,0.0744,0.0243,0.1216,0.5373,0.5139,0.5627,1.1204,1.0281,1.2187
<0.70,deepdta,6105,83,0.1011,0.0357,0.1704,0.0993,0.0395,0.1648,0.0699,0.0257,0.1148,0.535,0.5125,0.5566,1.3192,1.2069,1.44
