compound_id,uniprot,affinity,in_sair
O00444_CHEMBL5440423,O00444,6.25,False
O00444_CHEMBL5437782,O00444,5.73,False
O00444_CHEMBL5421379,O00444,6.14,False
O00444_CHEMBL5410573,O00444,6.44,False
O00444_CHEMBL5410589,O00444,6.49,False
O00444_CHEMBL5395499,O00444,6.41,False
O00444_CHEMBL5411283,O00444,6.68,False
O00444_CHEMBL5394214,O00444,5.61,False
O00444_CHEMBL5424982,O00444,5.2,False
O00444_CHEMBL5409586,O00444,5.41,False
O00444_CHEMBL5430398,O00444,5.57,False
O00444_CHEMBL5415639,O00444,6.06,False
O00444_CHEMBL5431124,O00444,7.03,False
O00444_CHEMBL5440224,O00444,6.6,False
O00444_CHEMBL5420676,O00444,6.48,False
O00444_CHEMBL5439579,O00444,6.66,False
O00444_CHEMBL5421662,O00444,7.58,False
O00444_CHEMBL5424261,O00444,4.83,False
O00444_CHEMBL5420664,O00444,6.38,False
O00444_CHEMBL5418913,O00444,5.78,False
O00444_CHEMBL5407522,O00444,8.12,False
O00444_CHEMBL5397303,O00444,8.07,False
O00444_CHEMBL5432162,O00444,7.74,False
O00444_CHEMBL5400736,O00444,6.38,False
O00444_CHEMBL5426828,O00444,8.43,False
O00444_CHEMBL5404983,O00444,9.52,False
O00444_CHEMBL5432542,O00444,8.92,False
O00444_CHEMBL5399648,O00444,6.29,False
O00444_CHEMBL5420150,O00444,9.0,False
O00444_CHEMBL5402864,O00444,9.05,False
O00444_CHEMBL5439790,O00444,9.4,False
O00444_CHEMBL5423111,O00444,6.45,False
O00444_CHEMBL5408496,O00444,6.73,False
O00444_CHEMBL5425999,O00444,7.67,False
O00444_CHEMBL5424704,O00444,7.63,False
O00444_CHEMBL5439446,O00444,7.21,False
O00444_CHEMBL5420852,O00444,6.67,False
O00444_CHEMBL5435158,O00444,8.17,False
O00444_CHEMBL5424463,O00444,8.68,False
O00444_CHEMBL5429187,O00444,7.98,False
O00444_CHEMBL5429940,O00444,6.61,False
O00444_CHEMBL5397250,O00444,8.27,False
O00444_CHEMBL5435416,O00444,6.91,False
O00444_CHEMBL5409434,O00444,7.71,False
O00444_CHEMBL5438019,O00444,8.03,False
O00444_CHEMBL5430106,O00444,8.05,False
O00444_CHEMBL5418250,O00444,7.8,False
O00444_CHEMBL5429009,O00444,7.12,False
O00444_CHEMBL5396416,O00444,7.07,False
O00444_CHEMBL5425790,O00444,7.62,False
O00444_CHEMBL5405656,O00444,7.49,False
O00444_CHEMBL5420682,O00444,7.12,False
O00444_CHEMBL5433109,O00444,8.26,False
O00444_CHEMBL5410922,O00444,8.08,False
O00444_CHEMBL5435903,O00444,7.72,False
O00444_CHEMBL5423103,O00444,7.21,False
O00444_CHEMBL5434630,O00444,8.09,False
O00444_CHEMBL5413470,O00444,7.72,False
O00444_CHEMBL5435948,O00444,7.89,False
O00444_CHEMBL5438512,O00444,7.71,False
O00444_CHEMBL5431008,O00444,6.92,False
O00444_CHEMBL5396799,O00444,6.81,False
O00444_CHEMBL5401859,O00444,6.27,False
O00444_CHEMBL5436294,O00444,5.97,False
O00444_CHEMBL5397574,O00444,7.38,False
O00444_CHEMBL5422161,O00444,8.04,False
O00444_CHEMBL5396625,O00444,8.26,False
O00444_CHEMBL5407696,O00444,8.59,False
O00444_CHEMBL5408998,O00444,8.82,False
O00444_CHEMBL5402930,O00444,7.42,False
O00444_CHEMBL5440306,O00444,8.44,False
O00444_CHEMBL5430793,O00444,8.03,False
O00444_CHEMBL5430165,O00444,8.72,False
O00444_CHEMBL5405221,O00444,8.25,False
O00444_CHEMBL5432601,O00444,6.67,False
O00444_CHEMBL5434881,O00444,7.08,False
O00444_CHEMBL5404385,O00444,7.37,False
O00444_CHEMBL5438607,O00444,7.87,False
O00444_CHEMBL5422518,O00444,8.51,False
O00444_CHEMBL5397330,O00444,8.0,False
O00444_CHEMBL5394971,O00444,6.97,False
O00444_CHEMBL5430972,O00444,7.42,False
O00444_CHEMBL5412525,O00444,7.48,False
O00444_CHEMBL5420791,O00444,7.29,False
O00444_CHEMBL5435316,O00444,6.97,False
O00444_CHEMBL5424478,O00444,5.74,False
O00444_CHEMBL5432853,O00444,6.21,False
O00444_CHEMBL5413962,O00444,7.14,False
O00444_CHEMBL5414664,O00444,6.83,False
O00444_CHEMBL5408822,O00444,5.85,False
O00444_CHEMBL5410643,O00444,6.85,False
O00444_CHEMBL5402575,O00444,6.7,False
O00444_CHEMBL5395263,O00444,7.1,False
O00444_CHEMBL5416874,O00444,6.87,False
O00444_CHEMBL5400742,O00444,7.41,False
O00444_CHEMBL5432922,O00444,6.42,False
O00444_CHEMBL5434779,O00444,7.19,False
O00444_CHEMBL5407687,O00444,6.86,False
O00444_CHEMBL5399061,O00444,7.46,False
O00444_CHEMBL5394505,O00444,7.25,False
O00444_CHEMBL5402720,O00444,5.96,False
O00444_CHEMBL5429145,O00444,7.1,False
O00444_CHEMBL5417800,O00444,7.24,False
O00444_CHEMBL5430526,O00444,8.15,False
O00444_CHEMBL5409014,O00444,6.86,False
O00444_CHEMBL5401427,O00444,7.35,False
O00444_CHEMBL5412717,O00444,6.29,False
O00444_CHEMBL5431580,O00444,6.53,False
O00444_CHEMBL5401007,O00444,7.46,False
O00444_CHEMBL5404382,O00444,7.18,False
O00444_CHEMBL5410562,O00444,6.9,False
O00444_CHEMBL5440788,O00444,7.34,False
O00444_CHEMBL5415559,O00444,7.09,False
O00444_CHEMBL5420027,O00444,6.75,False
O14757_CHEMBL5413462,O14757,7.97,True
O14757_CHEMBL5409504,O14757,8.12,True
O14757_CHEMBL5420872,O14757,7.24,True
O14757_CHEMBL5421825,O14757,8.12,True
O14757_CHEMBL5428033,O14757,6.52,True
O14757_CHEMBL5439250,O14757,7.88,True
O14757_CHEMBL5420001,O14757,5.96,True
O14757_CHEMBL5421001,O14757,7.05,True
O14757_CHEMBL5431016,O14757,8.07,True
O14757_CHEMBL5427282,O14757,7.86,True
O14757_CHEMBL5407292,O14757,6.6,True
O14757_CHEMBL5408927,O14757,7.87,True
O14757_CHEMBL5409205,O14757,6.64,True
O14757_CHEMBL5401396,O14757,7.06,True
O14757_CHEMBL5408938,O14757,5.71,True
O14757_CHEMBL5398690,O14757,6.47,True
O14757_CHEMBL5394796,O14757,7.06,True
O14757_CHEMBL5430670,O14757,7.45,True
O14757_CHEMBL5398934,O14757,6.02,True
O14757_CHEMBL5419654,O14757,7.72,True
O14757_CHEMBL5403690,O14757,8.01,True
O14757_CHEMBL5432385,O14757,6.08,True
O14757_CHEMBL5425583,O14757,7.02,True
O14757_CHEMBL5427417,O14757,8.0,True
O14757_CHEMBL5433681,O14757,6.44,True
O14757_CHEMBL5433322,O14757,7.9,True
O14757_CHEMBL5439325,O14757,7.1,True
O14757_CHEMBL5395135,O14757,6.91,True
O14757_CHEMBL5429443,O14757,5.7,True
O14757_CHEMBL5433344,O14757,6.69,True
O14757_CHEMBL5424522,O14757,7.17,True
O14757_CHEMBL5430680,O14757,7.15,True
O14757_CHEMBL5424287,O14757,7.05,True
O14757_CHEMBL5438311,O14757,7.57,True
O14757_CHEMBL5409206,O14757,7.93,True
O14757_CHEMBL5410542,O14757,7.21,True
O14757_CHEMBL5406425,O14757,7.54,True
O14757_CHEMBL5408190,O14757,6.74,True
O14757_CHEMBL5408027,O14757,7.49,True
O14757_CHEMBL5401267,O14757,7.59,True
O14757_CHEMBL5411672,O14757,7.45,True
O14757_CHEMBL5411251,O14757,7.97,True
O14757_CHEMBL5428756,O14757,8.29,False
O14757_CHEMBL5432487,O14757,6.65,True
O14757_CHEMBL5433221,O14757,7.23,True
O14757_CHEMBL5406086,O14757,6.84,True
O14757_CHEMBL5428278,O14757,7.41,True
O14757_CHEMBL5398258,O14757,7.02,True
O14757_CHEMBL5411719,O14757,6.78,True
O14757_CHEMBL5424476,O14757,7.17,True
O14757_CHEMBL5438542,O14757,7.0,True
O14757_CHEMBL5398244,O14757,6.88,True
O14757_CHEMBL5405689,O14757,6.98,True
O14757_CHEMBL5401305,O14757,7.03,True
O14757_CHEMBL5434637,O14757,7.21,True
O14757_CHEMBL5411252,O14757,6.75,True
O14757_CHEMBL5396674,O14757,6.63,True
O14757_CHEMBL5410841,O14757,7.75,True
O14757_CHEMBL5426241,O14757,8.12,True
O43570_CHEMBL5433200,O43570,8.08,False
O43570_CHEMBL5418092,O43570,6.86,False
O43570_CHEMBL5431609,O43570,6.05,False
O43570_CHEMBL5434405,O43570,6.05,False
O43570_CHEMBL5399412,O43570,8.03,False
O43570_CHEMBL5410769,O43570,8.25,False
O43570_CHEMBL5430974,O43570,7.25,False
O43570_CHEMBL5420563,O43570,7.47,False
O43570_CHEMBL5394374,O43570,5.03,False
O43570_CHEMBL5439211,O43570,6.09,False
O43570_CHEMBL5420568,O43570,8.23,False
O43570_CHEMBL5429492,O43570,5.31,False
O43570_CHEMBL5406311,O43570,7.37,False
O43570_CHEMBL5395028,O43570,7.21,False
O43570_CHEMBL5408660,O43570,8.04,False
O43570_CHEMBL5394136,O43570,8.41,False
O43570_CHEMBL5428616,O43570,7.18,False
O43570_CHEMBL5411236,O43570,7.39,False
O43570_CHEMBL5434644,O43570,7.61,False
O43570_CHEMBL5418325,O43570,7.04,False
O43570_CHEMBL5418448,O43570,8.17,False
O43570_CHEMBL5396521,O43570,6.56,False
O43570_CHEMBL5406454,O43570,7.31,False
O43570_CHEMBL5415157,O43570,7.27,False
O43570_CHEMBL5430687,O43570,7.13,False
O43570_CHEMBL5402415,O43570,6.91,False
O43570_CHEMBL5403443,O43570,6.79,False
O43570_CHEMBL5423785,O43570,7.06,False
O43570_CHEMBL5420806,O43570,8.17,False
O43570_CHEMBL5408282,O43570,7.73,False
O43570_CHEMBL5403015,O43570,8.17,False
O43570_CHEMBL5418584,O43570,8.04,False
O43570_CHEMBL5408039,O43570,6.7,False
O43570_CHEMBL5417623,O43570,6.85,False
O43570_CHEMBL5419120,O43570,7.23,False
O43570_CHEMBL5419562,O43570,7.56,False
O43570_CHEMBL5409839,O43570,6.62,False
O43570_CHEMBL5406763,O43570,7.51,False
O43570_CHEMBL5398527,O43570,7.14,False
O43570_CHEMBL5398482,O43570,7.34,False
O43570_CHEMBL5404478,O43570,7.42,False
O43570_CHEMBL5430744,O43570,7.83,False
O43570_CHEMBL5404207,O43570,7.87,False
O43570_CHEMBL5432122,O43570,6.55,False
O43570_CHEMBL5400096,O43570,7.06,False
O43570_CHEMBL5427772,O43570,7.14,False
O43570_CHEMBL5439825,O43570,7.31,False
O43570_CHEMBL5424006,O43570,7.94,False
O43570_CHEMBL5419432,O43570,7.47,False
O43570_CHEMBL5436128,O43570,7.94,False
O43570_CHEMBL5411012,O43570,7.67,False
O43570_CHEMBL5427767,O43570,6.37,False
O43570_CHEMBL5412673,O43570,7.78,False
O43570_CHEMBL5413719,O43570,7.24,False
O43570_CHEMBL5434757,O43570,7.54,False
O43570_CHEMBL5398809,O43570,5.92,False
O43570_CHEMBL5423264,O43570,6.0,False
O43570_CHEMBL5431226,O43570,7.7,False
O43570_CHEMBL5400438,O43570,7.77,False
O43570_CHEMBL5422561,O43570,7.44,False
O43570_CHEMBL5422492,O43570,7.66,False
O43570_CHEMBL5438275,O43570,7.19,False
O43570_CHEMBL5411466,O43570,7.18,False
O43570_CHEMBL5419182,O43570,7.3,False
O43570_CHEMBL5428815,O43570,8.21,False
O43570_CHEMBL5406041,O43570,7.33,False
O43570_CHEMBL5439068,O43570,8.04,False
O43570_CHEMBL5401486,O43570,7.13,False
O43570_CHEMBL5424643,O43570,7.48,False
O43570_CHEMBL5402861,O43570,7.14,False
O43570_CHEMBL5422807,O43570,7.42,False
O43570_CHEMBL5415701,O43570,6.09,False
O43570_CHEMBL5417652,O43570,6.61,False
O43570_CHEMBL5430843,O43570,6.67,False
O43570_CHEMBL5415971,O43570,7.1,False
O43570_CHEMBL5434579,O43570,7.38,False
O43570_CHEMBL5427495,O43570,6.67,False
O43570_CHEMBL5396279,O43570,6.8,False
O43570_CHEMBL5427064,O43570,6.41,False
O43570_CHEMBL5434717,O43570,6.35,False
O43570_CHEMBL5405313,O43570,7.02,False
O43570_CHEMBL5428119,O43570,7.1,False
O43570_CHEMBL5406828,O43570,8.41,False
O43570_CHEMBL5421787,O43570,8.16,False
O43570_CHEMBL5410832,O43570,8.03,False
O43570_CHEMBL5396229,O43570,8.68,False
O43570_CHEMBL5400915,O43570,7.13,False
O43570_CHEMBL5423723,O43570,7.05,False
O43570_CHEMBL5409485,O43570,6.3,False
O43570_CHEMBL5411876,O43570,6.25,False
O43570_CHEMBL5430806,O43570,6.26,False
O43570_CHEMBL5427215,O43570,7.14,False
O43570_CHEMBL5418987,O43570,7.29,False
O43570_CHEMBL5417966,O43570,7.23,False
O43570_CHEMBL5427397,O43570,7.28,False
O43570_CHEMBL5393899,O43570,8.01,False
O43570_CHEMBL5416640,O43570,7.33,False
O43570_CHEMBL5399753,O43570,8.57,False
O43570_CHEMBL5432003,O43570,8.12,False
O43570_CHEMBL5399026,O43570,8.15,False
O43570_CHEMBL5413773,O43570,8.18,False
O43570_CHEMBL5416330,O43570,7.12,False
O43570_CHEMBL5429247,O43570,7.12,False
O43570_CHEMBL5438146,O43570,7.18,False
O43570_CHEMBL5400590,O43570,8.59,False
O43570_CHEMBL5423705,O43570,8.44,False
O43570_CHEMBL5420340,O43570,7.29,False
O43570_CHEMBL5418256,O43570,8.14,False
O43570_CHEMBL5408414,O43570,7.04,False
O43570_CHEMBL5422630,O43570,7.62,False
O43570_CHEMBL5412024,O43570,8.17,False
O43570_CHEMBL5424738,O43570,7.66,False
O43570_CHEMBL5423986,O43570,7.89,False
O43570_CHEMBL5423626,O43570,7.54,False
O43570_CHEMBL5407099,O43570,7.43,False
O43570_CHEMBL5439232,O43570,8.3,False
O43570_CHEMBL5412326,O43570,7.28,False
O43570_CHEMBL5404854,O43570,6.91,False
O43570_CHEMBL5434475,O43570,7.19,False
O43570_CHEMBL5398061,O43570,7.31,False
O43570_CHEMBL5422153,O43570,6.55,False
O43570_CHEMBL5395857,O43570,8.09,False
O43570_CHEMBL5397659,O43570,7.42,False
O43570_CHEMBL5419752,O43570,7.36,False
O43570_CHEMBL5404038,O43570,7.17,False
O43570_CHEMBL5439318,O43570,8.14,False
O43570_CHEMBL5405279,O43570,7.23,False
O43570_CHEMBL5437142,O43570,6.39,False
O43570_CHEMBL5420020,O43570,7.24,False
O43570_CHEMBL5432770,O43570,8.17,False
O43570_CHEMBL5395679,O43570,7.08,False
O43570_CHEMBL5424727,O43570,7.14,False
O43570_CHEMBL5425125,O43570,8.41,False
O43570_CHEMBL5412351,O43570,7.4,False
O43570_CHEMBL5424664,O43570,7.23,False
O43570_CHEMBL5420931,O43570,8.08,False
O43570_CHEMBL5417084,O43570,6.51,False
O43570_CHEMBL5430482,O43570,8.09,False
O43570_CHEMBL5414077,O43570,8.03,False
O43570_CHEMBL5402143,O43570,7.31,False
O43570_CHEMBL5426216,O43570,8.12,False
O43570_CHEMBL5413021,O43570,7.35,False
O43570_CHEMBL5402145,O43570,7.3,False
O43570_CHEMBL5438010,O43570,7.05,False
O43570_CHEMBL5421531,O43570,8.07,False
O43570_CHEMBL5411936,O43570,7.2,False
O43570_CHEMBL5419447,O43570,7.38,False
O43570_CHEMBL5396393,O43570,7.36,False
O43570_CHEMBL5409658,O43570,7.56,False
O43570_CHEMBL5413693,O43570,7.45,False
O43570_CHEMBL5429073,O43570,7.63,False
O43570_CHEMBL5401434,O43570,7.39,False
O43570_CHEMBL5402497,O43570,7.28,False
O43570_CHEMBL5412870,O43570,8.07,False
O43570_CHEMBL5422706,O43570,8.2,False
O43570_CHEMBL5425202,O43570,7.08,False
O43570_CHEMBL5433765,O43570,7.5,False
O43570_CHEMBL5420539,O43570,8.07,False
O43570_CHEMBL5395423,O43570,8.04,False
O43570_CHEMBL5407842,O43570,7.2,False
O43570_CHEMBL5396530,O43570,8.05,False
O43570_CHEMBL5397521,O43570,8.03,False
O43570_CHEMBL5439370,O43570,8.04,False
O43570_CHEMBL5415949,O43570,7.7,False
O43570_CHEMBL5395274,O43570,8.07,False
O43570_CHEMBL5407876,O43570,7.13,False
O43570_CHEMBL5430374,O43570,7.04,False
O43570_CHEMBL5403578,O43570,7.42,False
O43570_CHEMBL5439016,O43570,8.09,False
O43570_CHEMBL5430474,O43570,7.78,False
O43570_CHEMBL5439521,O43570,8.23,False
O43570_CHEMBL5433722,O43570,6.45,False
O43570_CHEMBL5416307,O43570,7.51,False
O43570_CHEMBL5402383,O43570,6.23,False
O43570_CHEMBL5397739,O43570,7.08,False
O43570_CHEMBL5399974,O43570,7.1,False
O43570_CHEMBL5422102,O43570,6.25,False
O43570_CHEMBL5406077,O43570,7.72,False
O43570_CHEMBL5440906,O43570,8.18,False
O43570_CHEMBL5440763,O43570,7.42,False
O43570_CHEMBL5436282,O43570,8.09,False
O43570_CHEMBL5411702,O43570,8.05,False
O43570_CHEMBL5414836,O43570,7.32,False
O43570_CHEMBL5399204,O43570,7.53,False
O43570_CHEMBL5433154,O43570,6.62,False
O43570_CHEMBL5409881,O43570,7.11,False
O43570_CHEMBL5403938,O43570,8.02,False
O43570_CHEMBL5421790,O43570,8.03,False
O43570_CHEMBL5432812,O43570,8.08,False
O43570_CHEMBL5408885,O43570,7.52,False
O43570_CHEMBL5403077,O43570,7.21,False
O43570_CHEMBL5420858,O43570,7.35,False
O43570_CHEMBL5396677,O43570,7.44,False
O43570_CHEMBL5413403,O43570,7.5,False
O43570_CHEMBL5410282,O43570,5.59,False
O43570_CHEMBL5417595,O43570,8.35,False
O60341_CHEMBL5439389,O60341,6.97,False
O60341_CHEMBL5408271,O60341,6.78,True
O60341_CHEMBL5416205,O60341,6.64,False
O60341_CHEMBL5423159,O60341,6.69,False
O60341_CHEMBL5425308,O60341,7.375,False
O60341_CHEMBL5433416,O60341,7.02,False
O60341_CHEMBL5396850,O60341,7.07,False
O60341_CHEMBL5434190,O60341,7.05,False
O60341_CHEMBL5430614,O60341,7.22,False
O60341_CHEMBL5438843,O60341,7.43,False
O60341_CHEMBL5432041,O60341,7.16,False
O60341_CHEMBL5423712,O60341,6.98,False
O60341_CHEMBL5401491,O60341,6.74,False
O60341_CHEMBL5432465,O60341,6.7,False
O60341_CHEMBL5439259,O60341,7.37,False
O60341_CHEMBL5438431,O60341,6.71,False
O60341_CHEMBL5410672,O60341,6.91,False
O60341_CHEMBL5430017,O60341,6.16,False
O60341_CHEMBL5406479,O60341,7.55,True
O60341_CHEMBL5413049,O60341,7.38,False
O60341_CHEMBL5434915,O60341,6.65,True
O60341_CHEMBL5432927,O60341,6.49,False
O60341_CHEMBL5437604,O60341,5.34,False
O60341_CHEMBL5405904,O60341,6.6,False
O60341_CHEMBL5420365,O60341,5.22,False
O60341_CHEMBL5421422,O60341,6.55,False
O60341_CHEMBL5422216,O60341,6.64,False
O60341_CHEMBL5433323,O60341,7.49,False
O60341_CHEMBL5409970,O60341,6.64,False
O60341_CHEMBL5426797,O60341,5.77,True
O60341_CHEMBL5434546,O60341,5.55,False
O60341_CHEMBL5429228,O60341,5.39,True
O60341_CHEMBL5435026,O60341,5.58,False
O60341_CHEMBL5407947,O60341,5.32,True
O60341_CHEMBL5440105,O60341,6.68,False
O60341_CHEMBL5406671,O60341,5.68,False
O60341_CHEMBL5429994,O60341,6.02,False
O60341_CHEMBL5419169,O60341,6.85,False
O60341_CHEMBL5440680,O60341,6.64,False
O60341_CHEMBL5409400,O60341,5.27,False
O60341_CHEMBL5420493,O60341,5.41,False
O60341_CHEMBL5411051,O60341,6.13,False
O60341_CHEMBL5428732,O60341,7.21,True
O60341_CHEMBL5415964,O60341,7.07,False
O60341_CHEMBL5399635,O60341,5.08,False
O60341_CHEMBL5406759,O60341,5.37,False
O60341_CHEMBL5413744,O60341,5.5,True
O60341_CHEMBL5428176,O60341,5.28,False
O60341_CHEMBL5440196,O60341,5.3,False
O60341_CHEMBL5428924,O60341,5.19,False
O60341_CHEMBL5396510,O60341,6.87,True
O60341_CHEMBL5397056,O60341,7.06,True
O60341_CHEMBL5416718,O60341,6.93,False
O60341_CHEMBL5422540,O60341,7.2,True
O60341_CHEMBL5435872,O60341,7.28,False
O60341_CHEMBL5434343,O60341,7.3,True
O60341_CHEMBL5399692,O60341,6.99,True
O60341_CHEMBL5410411,O60341,6.22,False
O60341_CHEMBL5435978,O60341,6.94,False
O60341_CHEMBL5436412,O60341,4.66,False
O60341_CHEMBL5407104,O60341,5.3,False
O60341_CHEMBL5406892,O60341,4.64,False
O60341_CHEMBL5426980,O60341,4.7,False
O60341_CHEMBL5397316,O60341,6.47,False
O60341_CHEMBL5437172,O60341,7.21,False
O60341_CHEMBL5430058,O60341,6.4,False
O60341_CHEMBL5406132,O60341,6.43,False
O60341_CHEMBL5409890,O60341,4.62,False
O60341_CHEMBL5406521,O60341,6.47,True
O60341_CHEMBL5435173,O60341,6.68,True
O60341_CHEMBL5404495,O60341,6.82,False
O60341_CHEMBL5410286,O60341,6.75,False
O60341_CHEMBL5425391,O60341,6.19,False
O60341_CHEMBL5423330,O60341,7.82,True
O60341_CHEMBL5428936,O60341,7.92,True
O60341_CHEMBL5413148,O60341,7.75,True
O60341_CHEMBL5428788,O60341,6.0,False
O60341_CHEMBL5436427,O60341,6.16,False
O60341_CHEMBL5425120,O60341,6.26,False
O60341_CHEMBL5423110,O60341,6.79,False
O60341_CHEMBL5431790,O60341,6.96,True
O60341_CHEMBL5399676,O60341,7.055,True
O60341_CHEMBL5440601,O60341,4.7,False
O60341_CHEMBL5413316,O60341,5.37,False
O60341_CHEMBL5440032,O60341,5.32,False
O60341_CHEMBL5405377,O60341,5.76,True
O60341_CHEMBL5400631,O60341,6.07,False
O60341_CHEMBL5416905,O60341,7.44,False
O60341_CHEMBL5413825,O60341,5.41,False
O60341_CHEMBL5416497,O60341,7.0,False
O60341_CHEMBL5415883,O60341,6.15,False
O60341_CHEMBL5394389,O60341,6.05,False
O60341_CHEMBL5405788,O60341,6.01,True
O60341_CHEMBL5419993,O60341,6.02,True
O60341_CHEMBL5417682,O60341,5.47,True
O60341_CHEMBL5408302,O60341,6.97,False
O60341_CHEMBL5435117,O60341,6.97,True
O60341_CHEMBL5408598,O60341,6.17,True
O60341_CHEMBL5398801,O60341,6.74,False
O60341_CHEMBL5400344,O60341,6.94,False
O60341_CHEMBL5414185,O60341,6.76,False
O60341_CHEMBL5439488,O60341,5.27,True
O60341_CHEMBL5416264,O60341,5.17,False
O60341_CHEMBL5406191,O60341,5.29,False
O60341_CHEMBL5433364,O60341,5.62,False
O60341_CHEMBL5403602,O60341,5.57,False
O60341_CHEMBL5429412,O60341,5.31,False
O60341_CHEMBL5436035,O60341,5.71,False
O60341_CHEMBL5403862,O60341,5.61,True
O60341_CHEMBL5419295,O60341,5.31,True
O60341_CHEMBL5424948,O60341,5.48,False
O60341_CHEMBL5418093,O60341,5.47,False
O60341_CHEMBL5401496,O60341,5.29,True
O60341_CHEMBL5404895,O60341,6.6,False
O60341_CHEMBL5424591,O60341,7.49,False
O60341_CHEMBL5403548,O60341,5.77,False
O60341_CHEMBL5435587,O60341,6.29,False
O60341_CHEMBL5396414,O60341,6.32,False
O60341_CHEMBL5396152,O60341,7.24,False
O60341_CHEMBL5418619,O60341,6.85,False
O60341_CHEMBL5416406,O60341,7.25,False
O60341_CHEMBL5438908,O60341,7.58,False
O60674_CHEMBL5412815,O60674,8.74,False
O60674_CHEMBL5424439,O60674,7.57,False
O60674_CHEMBL5398468,O60674,8.42,True
O60674_CHEMBL5429688,O60674,6.38,True
