compound_id,target,sim_same_target,std_union
O00444_CHEMBL5430165,O00444,0.5547,0.5547
O00444_CHEMBL5405221,O00444,0.5771,0.5771
O00444_CHEMBL5432601,O00444,0.5586,0.5586
O00444_CHEMBL5434881,O00444,0.5332,0.5332
O00444_CHEMBL5404385,O00444,0.5601,0.5601
O00444_CHEMBL5438607,O00444,0.5654,0.5654
O00444_CHEMBL5422518,O00444,0.5771,0.5771
O00444_CHEMBL5397330,O00444,0.5771,0.5771
O00444_CHEMBL5394971,O00444,0.5435,0.5435
O00444_CHEMBL5430972,O00444,0.7065,1.0
O00444_CHEMBL5412525,O00444,0.6362,1.0
O00444_CHEMBL5420791,O00444,0.6709,1.0
O00444_CHEMBL5435316,O00444,0.3835,0.7534
O00444_CHEMBL5424478,O00444,0.3635,0.7729
O00444_CHEMBL5432853,O00444,0.3555,0.6763
O00444_CHEMBL5413962,O00444,0.3977,1.0
O00444_CHEMBL5414664,O00444,0.4839,0.5894
O00444_CHEMBL5408822,O00444,0.4478,0.5645
O00444_CHEMBL5410643,O00444,0.4614,0.6431
O00444_CHEMBL5402575,O00444,0.4839,0.5771
O00444_CHEMBL5395263,O00444,0.4478,0.5347
O00444_CHEMBL5416874,O00444,0.4614,0.582
O00444_CHEMBL5400742,O00444,0.3948,0.5225
O00444_CHEMBL5432922,O00444,0.3103,0.4595
O00444_CHEMBL5434779,O00444,0.3857,0.5312
O00444_CHEMBL5407687,O00444,0.4031,0.5083
O00444_CHEMBL5399061,O00444,0.4775,0.5645
O00444_CHEMBL5394505,O00444,0.4775,0.5225
O00444_CHEMBL5402720,O00444,0.4243,0.4429
O00444_CHEMBL5429145,O00444,0.2974,0.4465
O00444_CHEMBL5417800,O00444,0.3201,0.426
O00444_CHEMBL5430526,O00444,0.3428,0.5332
O00444_CHEMBL5409014,O00444,0.3289,0.5415
O00444_CHEMBL5401427,O00444,0.4204,0.5483
O00444_CHEMBL5412717,O00444,0.3999,0.5112
O00444_CHEMBL5431580,O00444,0.5078,0.582
O00444_CHEMBL5401007,O00444,0.3301,1.0
O00444_CHEMBL5404382,O00444,0.3572,0.8452
O00444_CHEMBL5410562,O00444,0.4285,0.6289
O00444_CHEMBL5440788,O00444,0.4348,0.5229
O00444_CHEMBL5415559,O00444,0.4917,0.6602
O00444_CHEMBL5420027,O00444,0.4546,0.5713
O14757_CHEMBL5413462,O14757,1.0,1.0
O14757_CHEMBL5409504,O14757,1.0,1.0
O14757_CHEMBL5420872,O14757,1.0,1.0
O14757_CHEMBL5421825,O14757,1.0,1.0
O14757_CHEMBL5428033,O14757,1.0,1.0
O14757_CHEMBL5439250,O14757,1.0,1.0
O14757_CHEMBL5420001,O14757,1.0,1.0
O14757_CHEMBL5421001,O14757,1.0,1.0
O14757_CHEMBL5431016,O14757,1.0,1.0
O14757_CHEMBL5427282,O14757,1.0,1.0
O14757_CHEMBL5407292,O14757,1.0,1.0
O14757_CHEMBL5408927,O14757,1.0,1.0
O14757_CHEMBL5409205,O14757,1.0,1.0
O14757_CHEMBL5401396,O14757,1.0,1.0
O14757_CHEMBL5408938,O14757,1.0,1.0
O14757_CHEMBL5398690,O14757,1.0,1.0
O14757_CHEMBL5394796,O14757,1.0,1.0
O14757_CHEMBL5430670,O14757,1.0,1.0
O14757_CHEMBL5398934,O14757,1.0,1.0
O14757_CHEMBL5419654,O14757,1.0,1.0
O14757_CHEMBL5403690,O14757,1.0,1.0
O14757_CHEMBL5432385,O14757,1.0,1.0
O14757_CHEMBL5425583,O14757,1.0,1.0
O14757_CHEMBL5427417,O14757,1.0,1.0
O14757_CHEMBL5433681,O14757,1.0,1.0
O14757_CHEMBL5433322,O14757,1.0,1.0
O14757_CHEMBL5439325,O14757,1.0,1.0
O14757_CHEMBL5395135,O14757,1.0,1.0
O14757_CHEMBL5429443,O14757,1.0,1.0
O14757_CHEMBL5433344,O14757,1.0,1.0
O14757_CHEMBL5424522,O14757,1.0,1.0
O14757_CHEMBL5430680,O14757,1.0,1.0
O14757_CHEMBL5424287,O14757,1.0,1.0
O14757_CHEMBL5438311,O14757,1.0,1.0
O14757_CHEMBL5409206,O14757,1.0,1.0
O14757_CHEMBL5410542,O14757,1.0,1.0
O14757_CHEMBL5406425,O14757,1.0,1.0
O14757_CHEMBL5408190,O14757,1.0,1.0
O14757_CHEMBL5408027,O14757,1.0,1.0
O14757_CHEMBL5401267,O14757,1.0,1.0
O14757_CHEMBL5411672,O14757,1.0,1.0
O14757_CHEMBL5411251,O14757,1.0,1.0
O14757_CHEMBL5428756,O14757,1.0,1.0
O14757_CHEMBL5432487,O14757,1.0,1.0
O14757_CHEMBL5433221,O14757,1.0,1.0
O14757_CHEMBL5406086,O14757,1.0,1.0
O14757_CHEMBL5428278,O14757,1.0,1.0
O14757_CHEMBL5398258,O14757,1.0,1.0
O14757_CHEMBL5411719,O14757,1.0,1.0
O14757_CHEMBL5424476,O14757,1.0,1.0
O14757_CHEMBL5438542,O14757,1.0,1.0
O14757_CHEMBL5398244,O14757,1.0,1.0
O14757_CHEMBL5405689,O14757,1.0,1.0
O14757_CHEMBL5401305,O14757,1.0,1.0
O14757_CHEMBL5434637,O14757,1.0,1.0
O14757_CHEMBL5411252,O14757,1.0,1.0
O14757_CHEMBL5396674,O14757,1.0,1.0
O14757_CHEMBL5410841,O14757,1.0,1.0
O14757_CHEMBL5426241,O14757,1.0,1.0
O43570_CHEMBL5433200,O43570,0.7222,0.7222
O43570_CHEMBL5418092,O43570,0.7222,0.7222
O43570_CHEMBL5431609,O43570,0.7144,0.7598
O43570_CHEMBL5434405,O43570,0.7144,0.7598
O43570_CHEMBL5399412,O43570,0.603,0.603
O43570_CHEMBL5410769,O43570,0.603,0.603
O43570_CHEMBL5430974,O43570,0.7144,0.7144
O43570_CHEMBL5420563,O43570,0.7144,0.7144
O43570_CHEMBL5394374,O43570,0.6001,0.7202
O43570_CHEMBL5439211,O43570,0.6001,0.7202
O43570_CHEMBL5420568,O43570,0.4688,0.5557
O43570_CHEMBL5429492,O43570,0.5669,0.5928
O43570_CHEMBL5406311,O43570,0.4688,0.5557
O43570_CHEMBL5395028,O43570,0.4529,0.7451
O43570_CHEMBL5408660,O43570,0.4517,0.8296
O43570_CHEMBL5394136,O43570,0.3784,0.6362
O43570_CHEMBL5428616,O43570,0.5,0.9512
O43570_CHEMBL5411236,O43570,0.4546,0.7144
O43570_CHEMBL5434644,O43570,0.5537,0.8862
O43570_CHEMBL5418325,O43570,0.5,0.6729
O43570_CHEMBL5418448,O43570,0.625,0.6729
O43570_CHEMBL5396521,O43570,0.4919,0.5254
O43570_CHEMBL5406454,O43570,0.5474,0.8838
O43570_CHEMBL5415157,O43570,0.4167,0.6958
O43570_CHEMBL5430687,O43570,0.5635,0.7271
O43570_CHEMBL5402415,O43570,0.4355,0.5806
O43570_CHEMBL5403443,O43570,0.5625,0.5835
O43570_CHEMBL5423785,O43570,0.4363,0.5254
O43570_CHEMBL5420806,O43570,0.5474,0.5474
O43570_CHEMBL5408282,O43570,0.5474,0.5474
O43570_CHEMBL5403015,O43570,0.52,0.6909
O43570_CHEMBL5418584,O43570,0.5,0.6909
O43570_CHEMBL5408039,O43570,0.4307,0.5322
O43570_CHEMBL5417623,O43570,0.5,0.5864
O43570_CHEMBL5419120,O43570,0.4761,0.731
O43570_CHEMBL5419562,O43570,0.4814,0.6665
O43570_CHEMBL5409839,O43570,0.4707,0.5869
O43570_CHEMBL5406763,O43570,0.5103,0.6001
O43570_CHEMBL5398527,O43570,0.5962,0.7021
O43570_CHEMBL5398482,O43570,0.4707,0.7021
O43570_CHEMBL5404478,O43570,0.625,0.7222
O43570_CHEMBL5430744,O43570,0.5264,0.7021
O43570_CHEMBL5404207,O43570,0.4529,0.5625
O43570_CHEMBL5432122,O43570,0.4363,0.6143
O43570_CHEMBL5400096,O43570,0.4363,0.6348
O43570_CHEMBL5427772,O43570,0.4546,0.5557
O43570_CHEMBL5439825,O43570,0.4561,0.625
O43570_CHEMBL5424006,O43570,0.5225,0.6035
O43570_CHEMBL5419432,O43570,0.4692,0.4707
O43570_CHEMBL5436128,O43570,0.5,0.7446
O43570_CHEMBL5411012,O43570,0.4395,0.7256
O43570_CHEMBL5427767,O43570,0.3708,0.7349
O43570_CHEMBL5412673,O43570,0.4443,0.6143
O43570_CHEMBL5413719,O43570,0.4285,0.541
O43570_CHEMBL5434757,O43570,0.4028,0.769
O43570_CHEMBL5398809,O43570,0.3572,0.5254
O43570_CHEMBL5423264,O43570,0.3621,0.7549
O43570_CHEMBL5431226,O43570,0.4143,0.6313
O43570_CHEMBL5400438,O43570,0.4084,0.7319
O43570_CHEMBL5422561,O43570,0.4119,0.4517
O43570_CHEMBL5422492,O43570,0.5972,0.625
O43570_CHEMBL5438275,O43570,0.4084,0.6489
O43570_CHEMBL5411466,O43570,0.4204,0.769
O43570_CHEMBL5419182,O43570,0.4878,0.5249
O43570_CHEMBL5428815,O43570,0.6938,0.8164
O43570_CHEMBL5406041,O43570,0.4092,0.5762
O43570_CHEMBL5439068,O43570,0.6729,0.6729
O43570_CHEMBL5401486,O43570,0.4922,0.625
O43570_CHEMBL5424643,O43570,0.5864,0.6377
O43570_CHEMBL5402861,O43570,0.5,0.5908
O43570_CHEMBL5422807,O43570,0.5,0.5908
O43570_CHEMBL5415701,O43570,0.5366,0.5366
O43570_CHEMBL5417652,O43570,0.52,0.5762
O43570_CHEMBL5430843,O43570,0.4482,0.5166
O43570_CHEMBL5415971,O43570,0.3794,0.7456
O43570_CHEMBL5434579,O43570,0.386,0.6377
O43570_CHEMBL5427495,O43570,0.4426,0.7593
O43570_CHEMBL5396279,O43570,0.3965,0.8652
O43570_CHEMBL5427064,O43570,0.4546,0.4912
O43570_CHEMBL5434717,O43570,0.3928,0.5835
O43570_CHEMBL5405313,O43570,0.5576,0.5635
O43570_CHEMBL5428119,O43570,0.5688,0.6348
O43570_CHEMBL5406828,O43570,0.5371,0.6113
O43570_CHEMBL5421787,O43570,0.5474,0.6128
O43570_CHEMBL5410832,O43570,0.5659,0.5962
O43570_CHEMBL5396229,O43570,0.5078,0.5762
O43570_CHEMBL5400915,O43570,0.4529,0.7451
O43570_CHEMBL5423723,O43570,0.3999,0.5425
O43570_CHEMBL5409485,O43570,0.5806,0.5806
O43570_CHEMBL5411876,O43570,0.52,0.52
O43570_CHEMBL5430806,O43570,0.4878,0.522
O43570_CHEMBL5427215,O43570,0.3965,0.6924
O43570_CHEMBL5418987,O43570,0.3936,0.5591
O43570_CHEMBL5417966,O43570,0.5479,0.5479
O43570_CHEMBL5427397,O43570,0.5,0.5293
O43570_CHEMBL5393899,O43570,0.4861,0.5923
O43570_CHEMBL5416640,O43570,0.5898,0.6943
O43570_CHEMBL5399753,O43570,0.8086,0.8086
O43570_CHEMBL5432003,O43570,0.6738,0.6738
O43570_CHEMBL5399026,O43570,0.6738,0.7002
O43570_CHEMBL5413773,O43570,0.5488,0.6538
O43570_CHEMBL5416330,O43570,0.5093,0.6294
O43570_CHEMBL5429247,O43570,0.625,0.8086
O43570_CHEMBL5438146,O43570,0.5474,0.75
O43570_CHEMBL5400590,O43570,0.625,0.686
O43570_CHEMBL5423705,O43570,0.6665,0.7349
O43570_CHEMBL5420340,O43570,0.5742,0.7358
O43570_CHEMBL5418256,O43570,0.5332,0.5894
O43570_CHEMBL5408414,O43570,0.5332,0.5894
O43570_CHEMBL5422630,O43570,0.5454,0.5454
O43570_CHEMBL5412024,O43570,0.4133,0.4558
O43570_CHEMBL5424738,O43570,0.4626,0.623
O43570_CHEMBL5423986,O43570,0.4546,0.5312
O43570_CHEMBL5423626,O43570,0.3777,0.5767
O43570_CHEMBL5407099,O43570,0.4478,0.5254
O43570_CHEMBL5439232,O43570,0.4761,0.5537
O43570_CHEMBL5412326,O43570,0.3865,0.625
O43570_CHEMBL5404854,O43570,0.375,0.5083
O43570_CHEMBL5434475,O43570,0.3845,0.5542
O43570_CHEMBL5398061,O43570,0.4194,0.5156
O43570_CHEMBL5422153,O43570,0.4478,0.5254
O43570_CHEMBL5395857,O43570,0.4143,0.5073
O43570_CHEMBL5397659,O43570,0.5083,0.625
O43570_CHEMBL5419752,O43570,0.5693,0.7168
O43570_CHEMBL5404038,O43570,0.446,0.7231
O43570_CHEMBL5439318,O43570,0.4575,0.5586
O43570_CHEMBL5405279,O43570,0.5,0.6948
O43570_CHEMBL5437142,O43570,0.5347,0.5625
O43570_CHEMBL5420020,O43570,0.4746,0.5371
O43570_CHEMBL5432770,O43570,0.4395,0.5352
O43570_CHEMBL5395679,O43570,0.459,0.645
O43570_CHEMBL5424727,O43570,0.4746,0.6128
O43570_CHEMBL5425125,O43570,0.3486,0.5679
O43570_CHEMBL5412351,O43570,0.4285,0.5972
O43570_CHEMBL5424664,O43570,0.4167,0.6152
O43570_CHEMBL5420931,O43570,0.4153,0.5137
O43570_CHEMBL5417084,O43570,0.4478,0.5254
O43570_CHEMBL5430482,O43570,0.4143,0.5073
O43570_CHEMBL5414077,O43570,0.5083,0.625
O43570_CHEMBL5402143,O43570,0.5693,0.7168
O43570_CHEMBL5426216,O43570,0.446,0.7231
O43570_CHEMBL5413021,O43570,0.4575,0.5586
O43570_CHEMBL5402145,O43570,0.5,0.6948
O43570_CHEMBL5438010,O43570,0.5347,0.5625
O43570_CHEMBL5421531,O43570,0.4746,0.5371
O43570_CHEMBL5411936,O43570,0.4395,0.5352
O43570_CHEMBL5419447,O43570,0.459,0.645
O43570_CHEMBL5396393,O43570,0.4746,0.6128
O43570_CHEMBL5409658,O43570,0.3486,0.5679
O43570_CHEMBL5413693,O43570,0.4285,0.5972
O43570_CHEMBL5429073,O43570,0.4167,0.6152
O43570_CHEMBL5401434,O43570,0.4153,0.5137
O43570_CHEMBL5402497,O43570,0.446,0.6001
O43570_CHEMBL5412870,O43570,0.491,0.7666
O43570_CHEMBL5422706,O43570,0.645,0.7759
O43570_CHEMBL5425202,O43570,0.5,0.8169
O43570_CHEMBL5433765,O43570,0.6143,0.7407
O43570_CHEMBL5420539,O43570,0.645,0.7759
O43570_CHEMBL5395423,O43570,0.5,0.8169
O43570_CHEMBL5407842,O43570,0.6094,0.625
O43570_CHEMBL5396530,O43570,0.5762,0.6934
O43570_CHEMBL5397521,O43570,0.6094,0.625
O43570_CHEMBL5439370,O43570,0.6665,0.6665
O43570_CHEMBL5415949,O43570,0.6665,0.6665
O43570_CHEMBL5395274,O43570,0.4062,0.5347
O43570_CHEMBL5407876,O43570,0.4465,0.6982
O43570_CHEMBL5430374,O43570,0.4199,0.7915
O43570_CHEMBL5403578,O43570,0.4529,0.7798
O43570_CHEMBL5439016,O43570,0.4443,0.6729
O43570_CHEMBL5430474,O43570,0.4167,0.7871
O43570_CHEMBL5439521,O43570,0.3584,0.6294
O43570_CHEMBL5433722,O43570,0.6665,0.6904
O43570_CHEMBL5416307,O43570,0.5439,1.0
O43570_CHEMBL5402383,O43570,0.5293,0.6089
O43570_CHEMBL5397739,O43570,0.5293,0.6089
O43570_CHEMBL5399974,O43570,0.3425,0.6724
O43570_CHEMBL5422102,O43570,0.5278,0.5557
O43570_CHEMBL5406077,O43570,0.4092,0.6416
O43570_CHEMBL5440906,O43570,0.5161,0.6719
O43570_CHEMBL5440763,O43570,0.4919,0.6968
O43570_CHEMBL5436282,O43570,0.491,0.644
O43570_CHEMBL5411702,O43570,0.5161,0.6719
O43570_CHEMBL5414836,O43570,0.4919,0.6968
O43570_CHEMBL5399204,O43570,0.4861,0.603
O43570_CHEMBL5433154,O43570,0.4487,0.8525
O43570_CHEMBL5409881,O43570,0.4546,0.5884
O43570_CHEMBL5403938,O43570,0.4861,0.603
O43570_CHEMBL5421790,O43570,0.4487,0.8525
O43570_CHEMBL5432812,O43570,0.5537,0.6069
O43570_CHEMBL5408885,O43570,0.6826,0.7896
O43570_CHEMBL5403077,O43570,0.5864,0.6562
O43570_CHEMBL5420858,O43570,0.5508,0.5903
O43570_CHEMBL5396677,O43570,0.5278,0.6001
O43570_CHEMBL5413403,O43570,0.5361,0.6152
O43570_CHEMBL5410282,O43570,0.3958,0.4363
O43570_CHEMBL5417595,O43570,0.408,0.5166
O60341_CHEMBL5439389,O60341,0.4934,0.5464
O60341_CHEMBL5408271,O60341,1.0,1.0
O60341_CHEMBL5416205,O60341,0.418,0.7661
O60341_CHEMBL5423159,O60341,0.729,0.729
O60341_CHEMBL5425308,O60341,0.4556,0.5229
O60341_CHEMBL5433416,O60341,0.5107,0.5171
O60341_CHEMBL5396850,O60341,0.4805,0.4805
O60341_CHEMBL5434190,O60341,0.4934,0.4934
O60341_CHEMBL5430614,O60341,0.5,0.5
O60341_CHEMBL5438843,O60341,0.4893,0.5112
O60341_CHEMBL5432041,O60341,0.5063,0.5063
O60341_CHEMBL5423712,O60341,0.5127,0.5127
O60341_CHEMBL5401491,O60341,0.4875,0.4875
O60341_CHEMBL5432465,O60341,0.4937,0.4937
O60341_CHEMBL5439259,O60341,0.5835,0.5835
O60341_CHEMBL5438431,O60341,1.0,1.0
O60341_CHEMBL5410672,O60341,0.7905,0.7905
O60341_CHEMBL5430017,O60341,0.2834,0.5454
O60341_CHEMBL5406479,O60341,1.0,1.0
O60341_CHEMBL5413049,O60341,0.625,0.625
O60341_CHEMBL5434915,O60341,1.0,1.0
O60341_CHEMBL5432927,O60341,0.6479,0.6479
O60341_CHEMBL5437604,O60341,0.6719,1.0
O60341_CHEMBL5405904,O60341,0.6968,0.6968
O60341_CHEMBL5420365,O60341,0.4031,0.7446
O60341_CHEMBL5421422,O60341,0.4307,0.7998
O60341_CHEMBL5422216,O60341,0.8193,0.8193
O60341_CHEMBL5433323,O60341,0.6406,0.6406
O60341_CHEMBL5409970,O60341,0.729,0.729
O60341_CHEMBL5426797,O60341,1.0,1.0
O60341_CHEMBL5434546,O60341,0.5669,1.0
O60341_CHEMBL5429228,O60341,1.0,1.0
O60341_CHEMBL5435026,O60341,0.627,1.0
O60341_CHEMBL5407947,O60341,1.0,1.0
O60341_CHEMBL5440105,O60341,0.8115,0.8115
O60341_CHEMBL5406671,O60341,0.6982,1.0
O60341_CHEMBL5429994,O60341,0.2771,0.3835
O60341_CHEMBL5419169,O60341,0.4189,0.7661
O60341_CHEMBL5440680,O60341,0.4189,0.7817
O60341_CHEMBL5409400,O60341,0.6948,0.707
O60341_CHEMBL5420493,O60341,0.6431,1.0
O60341_CHEMBL5411051,O60341,0.302,0.6772
O60341_CHEMBL5428732,O60341,1.0,1.0
O60341_CHEMBL5415964,O60341,0.4375,0.8184
O60341_CHEMBL5399635,O60341,0.5645,1.0
O60341_CHEMBL5406759,O60341,0.5439,0.8037
O60341_CHEMBL5413744,O60341,1.0,1.0
O60341_CHEMBL5428176,O60341,0.5967,1.0
O60341_CHEMBL5440196,O60341,0.6362,1.0
O60341_CHEMBL5428924,O60341,0.6924,1.0
O60341_CHEMBL5396510,O60341,1.0,1.0
O60341_CHEMBL5397056,O60341,1.0,1.0
O60341_CHEMBL5416718,O60341,0.8462,0.8462
O60341_CHEMBL5422540,O60341,1.0,1.0
O60341_CHEMBL5435872,O60341,0.8945,0.8945
O60341_CHEMBL5434343,O60341,1.0,1.0
