compound_id,uniprot,affinity,ex_label,fl_label,sim_union
O00444_CHEMBL5440186,O00444,6.99,,,0.5908
O00444_CHEMBL5407899,O00444,6.47,,,0.4917
O00444_CHEMBL5399219,O00444,7.15,,,0.5659
O00444_CHEMBL5439296,O00444,5.18,,,0.3896
O00444_CHEMBL5401624,O00444,7.62,,,0.7051
O00444_CHEMBL5433061,O00444,6.29,,,0.606
O00444_CHEMBL5439723,O00444,5.79,,,0.5361
O00444_CHEMBL5434198,O00444,7.59,,,0.647
O00444_CHEMBL5424061,O00444,6.4,,,0.5068
O00444_CHEMBL5401850,O00444,8.01,,,0.6396
O00444_CHEMBL5432215,O00444,7.09,,,0.4626
O00444_CHEMBL5437830,O00444,5.13,,,0.5059
O00444_CHEMBL5438958,O00444,5.35,,,0.4761
O00444_CHEMBL5423452,O00444,5.89,,,0.5752
O00444_CHEMBL5404860,O00444,6.29,,,0.4939
O00444_CHEMBL5440423,O00444,6.25,,,0.4939
O00444_CHEMBL5437782,O00444,5.73,,,0.4761
O00444_CHEMBL5421379,O00444,6.14,,,0.5059
O00444_CHEMBL5410573,O00444,6.44,,,0.6074
O00444_CHEMBL5410589,O00444,6.49,,,0.5244
O00444_CHEMBL5395499,O00444,6.41,,,0.5386
O00444_CHEMBL5411283,O00444,6.68,,,0.5059
O00444_CHEMBL5394214,O00444,5.61,,,0.5127
O00444_CHEMBL5424982,O00444,5.2,,,0.488
O00444_CHEMBL5409586,O00444,5.41,,,0.488
O00444_CHEMBL5430398,O00444,5.57,,,0.5308
O00444_CHEMBL5415639,O00444,6.06,,,0.4768
O00444_CHEMBL5431124,O00444,7.03,,,0.488
O00444_CHEMBL5440224,O00444,6.6,,,0.4546
O00444_CHEMBL5420676,O00444,6.48,,,0.4819
O00444_CHEMBL5439579,O00444,6.66,,,0.4707
O00444_CHEMBL5421662,O00444,7.58,,,0.4819
O00444_CHEMBL5424261,O00444,4.83,,,0.5444
O00444_CHEMBL5420664,O00444,6.38,,,0.5332
O00444_CHEMBL5418913,O00444,5.78,,,0.5635
O00444_CHEMBL5407522,O00444,8.12,,,0.875
O00444_CHEMBL5397303,O00444,8.07,,,0.5542
O00444_CHEMBL5432162,O00444,7.74,,,0.625
O00444_CHEMBL5400736,O00444,6.38,,,0.6709
O00444_CHEMBL5426828,O00444,8.43,,,0.6875
O00444_CHEMBL5404983,O00444,9.52,,,0.6616
O00444_CHEMBL5432542,O00444,8.92,,,0.6528
O00444_CHEMBL5399648,O00444,6.29,,,0.5444
O00444_CHEMBL5420150,O00444,9.0,,,0.5933
O00444_CHEMBL5402864,O00444,9.05,,,0.6914
O00444_CHEMBL5439790,O00444,9.4,,,0.6001
O00444_CHEMBL5423111,O00444,6.45,,,0.6792
O00444_CHEMBL5408496,O00444,6.73,,,0.7632
O00444_CHEMBL5425999,O00444,7.67,,,0.6831
O00444_CHEMBL5424704,O00444,7.63,,,0.6875
O00444_CHEMBL5439446,O00444,7.21,,,0.6548
O00444_CHEMBL5420852,O00444,6.67,,,0.6323
O00444_CHEMBL5435158,O00444,8.17,,,0.6914
O00444_CHEMBL5424463,O00444,8.68,,,0.6626
O00444_CHEMBL5429187,O00444,7.98,,,0.6548
O00444_CHEMBL5429940,O00444,6.61,,,0.6113
O00444_CHEMBL5397250,O00444,8.27,,,0.6963
O00444_CHEMBL5435416,O00444,6.91,,,0.6709
O00444_CHEMBL5409434,O00444,7.71,,,0.6963
O00444_CHEMBL5438019,O00444,8.03,,,0.6709
O00444_CHEMBL5430106,O00444,8.05,,,0.7236
O00444_CHEMBL5418250,O00444,7.8,,,0.7432
O00444_CHEMBL5429009,O00444,7.12,,,0.75
O00444_CHEMBL5396416,O00444,7.07,,,0.7104
O00444_CHEMBL5425790,O00444,7.62,,,0.7012
O00444_CHEMBL5405656,O00444,7.49,,,0.7295
O00444_CHEMBL5420682,O00444,7.12,,,0.5601
O00444_CHEMBL5433109,O00444,8.26,,,0.5654
O00444_CHEMBL5410922,O00444,8.08,,,0.5771
O00444_CHEMBL5435903,O00444,7.72,,,0.5771
O00444_CHEMBL5423103,O00444,7.21,,,0.5386
O00444_CHEMBL5434630,O00444,8.09,,,0.5435
O00444_CHEMBL5413470,O00444,7.72,,,0.5547
O00444_CHEMBL5435948,O00444,7.89,,,0.5547
O00444_CHEMBL5438512,O00444,7.71,,,0.5488
O00444_CHEMBL5431008,O00444,6.92,,,0.5488
O00444_CHEMBL5396799,O00444,6.81,,,0.5488
O00444_CHEMBL5401859,O00444,6.27,,,0.5488
O00444_CHEMBL5436294,O00444,5.97,,,0.5488
O00444_CHEMBL5397574,O00444,7.38,,,0.5488
O00444_CHEMBL5422161,O00444,8.04,,,0.5488
O00444_CHEMBL5396625,O00444,8.26,,,0.5488
O00444_CHEMBL5407696,O00444,8.59,,,0.5547
O00444_CHEMBL5408998,O00444,8.82,,,0.5601
O00444_CHEMBL5402930,O00444,7.42,,,0.5386
O00444_CHEMBL5440306,O00444,8.44,,,0.5435
O00444_CHEMBL5430793,O00444,8.03,,,0.5488
O00444_CHEMBL5430165,O00444,8.72,,,0.5547
O00444_CHEMBL5405221,O00444,8.25,,,0.5771
O00444_CHEMBL5432601,O00444,6.67,,,0.5586
O00444_CHEMBL5434881,O00444,7.08,,,0.5332
O00444_CHEMBL5404385,O00444,7.37,,,0.5601
O00444_CHEMBL5438607,O00444,7.87,,,0.5654
O00444_CHEMBL5422518,O00444,8.51,,,0.5771
O00444_CHEMBL5397330,O00444,8.0,,,0.5771
O00444_CHEMBL5394971,O00444,6.97,,,0.5435
O00444_CHEMBL5430972,O00444,7.42,,,0.7065
O00444_CHEMBL5412525,O00444,7.48,,,0.6362
O00444_CHEMBL5420791,O00444,7.29,,,0.6709
O00444_CHEMBL5435316,O00444,6.97,,,0.5415
O00444_CHEMBL5424478,O00444,5.74,,,0.5508
O00444_CHEMBL5432853,O00444,6.21,,,0.4343
O00444_CHEMBL5413962,O00444,7.14,,,0.4429
O00444_CHEMBL5414664,O00444,6.83,,,0.5894
O00444_CHEMBL5408822,O00444,5.85,,,0.5645
O00444_CHEMBL5410643,O00444,6.85,,,0.6431
O00444_CHEMBL5402575,O00444,6.7,,,0.5771
O00444_CHEMBL5395263,O00444,7.1,,,0.5347
O00444_CHEMBL5416874,O00444,6.87,,,0.582
O00444_CHEMBL5400742,O00444,7.41,,,0.5225
O00444_CHEMBL5432922,O00444,6.42,,,0.4333
O00444_CHEMBL5434779,O00444,7.19,,,0.5312
O00444_CHEMBL5407687,O00444,6.86,,,0.5083
O00444_CHEMBL5399061,O00444,7.46,,,0.5645
O00444_CHEMBL5394505,O00444,7.25,,,0.5225
O00444_CHEMBL5402720,O00444,5.96,,,0.4429
O00444_CHEMBL5429145,O00444,7.1,,,0.4465
O00444_CHEMBL5417800,O00444,7.24,,,0.426
O00444_CHEMBL5430526,O00444,8.15,,,0.5332
O00444_CHEMBL5409014,O00444,6.86,,,0.5415
O00444_CHEMBL5401427,O00444,7.35,,,0.5483
O00444_CHEMBL5412717,O00444,6.29,,,0.5112
O00444_CHEMBL5431580,O00444,6.53,,,0.582
O00444_CHEMBL5401007,O00444,7.46,,,0.4517
O00444_CHEMBL5404382,O00444,7.18,,,0.4839
O00444_CHEMBL5410562,O00444,6.9,,,0.6289
O00444_CHEMBL5440788,O00444,7.34,,,0.5229
O00444_CHEMBL5415559,O00444,7.09,,,0.6602
O00444_CHEMBL5420027,O00444,6.75,,,0.5713
O14757_CHEMBL5413462,O14757,7.97,7.97,7.97,0.6567
O14757_CHEMBL5409504,O14757,8.12,8.12,8.12,0.7759
O14757_CHEMBL5420872,O14757,7.24,7.24,7.24,0.6567
O14757_CHEMBL5421825,O14757,8.12,8.12,8.12,0.7246
O14757_CHEMBL5428033,O14757,6.52,6.52,6.52,0.5776
O14757_CHEMBL5439250,O14757,7.88,7.88,7.88,0.6914
O14757_CHEMBL5420001,O14757,5.96,5.96,5.96,0.7026
O14757_CHEMBL5421001,O14757,7.05,7.05,7.05,0.7168
O14757_CHEMBL5431016,O14757,8.07,8.07,8.07,0.7427
O14757_CHEMBL5427282,O14757,7.86,7.86,7.86,0.6943
O14757_CHEMBL5407292,O14757,6.6,6.6,6.6,0.5488
O14757_CHEMBL5408927,O14757,7.87,7.87,7.87,0.6621
O14757_CHEMBL5409205,O14757,6.64,6.64,6.64,0.689
O14757_CHEMBL5401396,O14757,7.06,7.06,7.06,0.6221
O14757_CHEMBL5408938,O14757,5.71,5.71,5.71,0.5347
O14757_CHEMBL5398690,O14757,6.47,6.47,6.765,0.5454
O14757_CHEMBL5394796,O14757,7.06,7.06,6.765,0.5454
O14757_CHEMBL5430670,O14757,7.45,7.45,6.734999999999999,0.6343
O14757_CHEMBL5398934,O14757,6.02,6.02,6.734999999999999,0.6343
O14757_CHEMBL5419654,O14757,7.72,7.72,7.72,0.6001
O14757_CHEMBL5403690,O14757,8.01,8.01,7.515,0.7124
O14757_CHEMBL5432385,O14757,6.08,6.08,6.08,0.6841
O14757_CHEMBL5425583,O14757,7.02,7.02,7.515,0.7124
O14757_CHEMBL5427417,O14757,8.0,8.0,8.0,0.6665
O14757_CHEMBL5433681,O14757,6.44,6.44,6.44,0.5317
O14757_CHEMBL5433322,O14757,7.9,7.9,7.9,0.6362
O14757_CHEMBL5439325,O14757,7.1,7.1,7.1,0.6172
O14757_CHEMBL5395135,O14757,6.91,6.91,6.91,0.8027
O14757_CHEMBL5429443,O14757,5.7,5.7,5.7,0.625
O14757_CHEMBL5433344,O14757,6.69,6.69,6.69,0.6538
O14757_CHEMBL5424522,O14757,7.17,7.17,7.17,0.6943
O14757_CHEMBL5430680,O14757,7.15,7.15,7.15,0.5864
O14757_CHEMBL5424287,O14757,7.05,7.05,7.05,0.6025
O14757_CHEMBL5438311,O14757,7.57,7.57,7.57,0.8486
O14757_CHEMBL5409206,O14757,7.93,7.93,7.93,0.8438
O14757_CHEMBL5410542,O14757,7.21,7.21,7.21,0.561
O14757_CHEMBL5406425,O14757,7.54,7.54,7.54,0.5947
O14757_CHEMBL5408190,O14757,6.74,6.74,6.74,0.5361
O14757_CHEMBL5408027,O14757,7.49,7.49,7.49,0.6113
O14757_CHEMBL5401267,O14757,7.59,7.59,7.59,0.6025
O14757_CHEMBL5411672,O14757,7.45,7.45,7.45,0.6143
O14757_CHEMBL5411251,O14757,7.97,7.97,7.97,0.7324
O14757_CHEMBL5428756,O14757,8.29,,7.97,0.7324
O14757_CHEMBL5432487,O14757,6.65,6.65,6.65,0.7729
O14757_CHEMBL5433221,O14757,7.23,7.23,7.23,0.7847
O14757_CHEMBL5406086,O14757,6.84,6.84,6.84,0.73
O14757_CHEMBL5428278,O14757,7.41,7.41,7.41,0.7539
O14757_CHEMBL5398258,O14757,7.02,7.02,7.02,0.5864
O14757_CHEMBL5411719,O14757,6.78,6.78,6.78,0.564
O14757_CHEMBL5424476,O14757,7.17,7.17,7.17,0.6025
O14757_CHEMBL5438542,O14757,7.0,7.0,7.0,0.5864
O14757_CHEMBL5398244,O14757,6.88,6.88,6.88,0.5713
O14757_CHEMBL5405689,O14757,6.98,6.98,6.98,0.6567
O14757_CHEMBL5401305,O14757,7.03,7.03,7.03,0.6567
O14757_CHEMBL5434637,O14757,7.21,7.21,7.21,0.6143
O14757_CHEMBL5411252,O14757,6.75,6.75,6.75,0.7319
O14757_CHEMBL5396674,O14757,6.63,6.63,6.63,0.7319
O14757_CHEMBL5410841,O14757,7.75,7.75,7.75,0.7534
O14757_CHEMBL5426241,O14757,8.12,8.12,8.12,0.6714
O43570_CHEMBL5433200,O43570,8.08,,,0.7222
O43570_CHEMBL5418092,O43570,6.86,,,0.7222
O43570_CHEMBL5431609,O43570,6.05,,,0.7598
O43570_CHEMBL5434405,O43570,6.05,,,0.7598
O43570_CHEMBL5399412,O43570,8.03,,,0.603
O43570_CHEMBL5410769,O43570,8.25,,,0.603
O43570_CHEMBL5430974,O43570,7.25,,,0.7144
O43570_CHEMBL5420563,O43570,7.47,,,0.7144
O43570_CHEMBL5394374,O43570,5.03,,,0.7202
O43570_CHEMBL5439211,O43570,6.09,,,0.7202
O43570_CHEMBL5420568,O43570,8.23,,,0.5557
O43570_CHEMBL5429492,O43570,5.31,,,0.5928
O43570_CHEMBL5406311,O43570,7.37,,,0.5557
O43570_CHEMBL5395028,O43570,7.21,,,0.7451
O43570_CHEMBL5408660,O43570,8.04,,,0.8296
O43570_CHEMBL5394136,O43570,8.41,,,0.6362
O43570_CHEMBL5428616,O43570,7.18,,,0.9512
O43570_CHEMBL5411236,O43570,7.39,,,0.7144
O43570_CHEMBL5434644,O43570,7.61,,,0.8862
O43570_CHEMBL5418325,O43570,7.04,,,0.6729
O43570_CHEMBL5418448,O43570,8.17,,,0.6729
O43570_CHEMBL5396521,O43570,6.56,,,0.5254
O43570_CHEMBL5406454,O43570,7.31,,,0.8838
O43570_CHEMBL5415157,O43570,7.27,,,0.6958
O43570_CHEMBL5430687,O43570,7.13,,,0.7271
O43570_CHEMBL5402415,O43570,6.91,,,0.5806
O43570_CHEMBL5403443,O43570,6.79,,,0.5835
O43570_CHEMBL5423785,O43570,7.06,,,0.5254
O43570_CHEMBL5420806,O43570,8.17,,,0.5474
O43570_CHEMBL5408282,O43570,7.73,,,0.5474
O43570_CHEMBL5403015,O43570,8.17,,,0.6909
O43570_CHEMBL5418584,O43570,8.04,,,0.6909
O43570_CHEMBL5408039,O43570,6.7,,,0.5322
O43570_CHEMBL5417623,O43570,6.85,,,0.5864
O43570_CHEMBL5419120,O43570,7.23,,,0.731
O43570_CHEMBL5419562,O43570,7.56,,,0.6665
O43570_CHEMBL5409839,O43570,6.62,,,0.5869
O43570_CHEMBL5406763,O43570,7.51,,,0.6001
O43570_CHEMBL5398527,O43570,7.14,,,0.7021
O43570_CHEMBL5398482,O43570,7.34,,,0.7021
O43570_CHEMBL5404478,O43570,7.42,,,0.7222
O43570_CHEMBL5430744,O43570,7.83,,,0.7021
O43570_CHEMBL5404207,O43570,7.87,,,0.5625
O43570_CHEMBL5432122,O43570,6.55,,,0.6143
O43570_CHEMBL5400096,O43570,7.06,,,0.6348
O43570_CHEMBL5427772,O43570,7.14,,,0.5557
O43570_CHEMBL5439825,O43570,7.31,,,0.625
O43570_CHEMBL5424006,O43570,7.94,,,0.6035
O43570_CHEMBL5419432,O43570,7.47,,,0.4707
O43570_CHEMBL5436128,O43570,7.94,,,0.7446
O43570_CHEMBL5411012,O43570,7.67,,,0.7256
O43570_CHEMBL5427767,O43570,6.37,,,0.7349
O43570_CHEMBL5412673,O43570,7.78,,,0.6143
O43570_CHEMBL5413719,O43570,7.24,,,0.541
O43570_CHEMBL5434757,O43570,7.54,,,0.769
O43570_CHEMBL5398809,O43570,5.92,,,0.5254
O43570_CHEMBL5423264,O43570,6.0,,,0.7549
O43570_CHEMBL5431226,O43570,7.7,,,0.6313
O43570_CHEMBL5400438,O43570,7.77,,,0.7319
O43570_CHEMBL5422561,O43570,7.44,,,0.4517
O43570_CHEMBL5422492,O43570,7.66,,,0.625
O43570_CHEMBL5438275,O43570,7.19,,,0.6489
O43570_CHEMBL5411466,O43570,7.18,,,0.769
O43570_CHEMBL5419182,O43570,7.3,,,0.5249
O43570_CHEMBL5428815,O43570,8.21,,,0.8164
O43570_CHEMBL5406041,O43570,7.33,,,0.5762
O43570_CHEMBL5439068,O43570,8.04,,,0.6729
O43570_CHEMBL5401486,O43570,7.13,,,0.625
O43570_CHEMBL5424643,O43570,7.48,,,0.6377
O43570_CHEMBL5402861,O43570,7.14,,,0.5908
O43570_CHEMBL5422807,O43570,7.42,,,0.5908
O43570_CHEMBL5415701,O43570,6.09,,,0.5366
O43570_CHEMBL5417652,O43570,6.61,,,0.52
O43570_CHEMBL5430843,O43570,6.67,,,0.4482
O43570_CHEMBL5415971,O43570,7.1,,,0.4822
O43570_CHEMBL5434579,O43570,7.38,,,0.4424
O43570_CHEMBL5427495,O43570,6.67,,,0.4426
O43570_CHEMBL5396279,O43570,6.8,,,0.426
O43570_CHEMBL5427064,O43570,6.41,,,0.4912
O43570_CHEMBL5434717,O43570,6.35,,,0.5771
O43570_CHEMBL5405313,O43570,7.02,,,0.5635
O43570_CHEMBL5428119,O43570,7.1,,,0.6348
O43570_CHEMBL5406828,O43570,8.41,,,0.6113
O43570_CHEMBL5421787,O43570,8.16,,,0.6128
O43570_CHEMBL5410832,O43570,8.03,,,0.5962
O43570_CHEMBL5396229,O43570,8.68,,,0.5762
O43570_CHEMBL5400915,O43570,7.13,,,0.7451
O43570_CHEMBL5423723,O43570,7.05,,,0.5425
O43570_CHEMBL5409485,O43570,6.3,,,0.5806
O43570_CHEMBL5411876,O43570,6.25,,,0.52
O43570_CHEMBL5430806,O43570,6.26,,,0.522
O43570_CHEMBL5427215,O43570,7.14,,,0.5308
O43570_CHEMBL5418987,O43570,7.29,,,0.5317
O43570_CHEMBL5417966,O43570,7.23,,,0.5479
O43570_CHEMBL5427397,O43570,7.28,,,0.5293
O43570_CHEMBL5393899,O43570,8.01,,,0.5923
O43570_CHEMBL5416640,O43570,7.33,,,0.6943
O43570_CHEMBL5399753,O43570,8.57,,,0.8086
O43570_CHEMBL5432003,O43570,8.12,,,0.6738
O43570_CHEMBL5399026,O43570,8.15,,,0.7002
O43570_CHEMBL5413773,O43570,8.18,,,0.6538
O43570_CHEMBL5416330,O43570,7.12,,,0.6294
O43570_CHEMBL5429247,O43570,7.12,,,0.8086
O43570_CHEMBL5438146,O43570,7.18,,,0.75
O43570_CHEMBL5400590,O43570,8.59,,,0.686
O43570_CHEMBL5423705,O43570,8.44,,,0.7349
O43570_CHEMBL5420340,O43570,7.29,,,0.7358
O43570_CHEMBL5418256,O43570,8.14,,,0.5894
O43570_CHEMBL5408414,O43570,7.04,,,0.5894
O43570_CHEMBL5422630,O43570,7.62,,,0.5454
O43570_CHEMBL5412024,O43570,8.17,,,0.4492
O43570_CHEMBL5424738,O43570,7.66,,,0.623
O43570_CHEMBL5423986,O43570,7.89,,,0.5312
O43570_CHEMBL5423626,O43570,7.54,,,0.5767
O43570_CHEMBL5407099,O43570,7.43,,,0.5254
O43570_CHEMBL5439232,O43570,8.3,,,0.5312
O43570_CHEMBL5412326,O43570,7.28,,,0.625
O43570_CHEMBL5404854,O43570,6.91,,,0.5083
O43570_CHEMBL5434475,O43570,7.19,,,0.5542
O43570_CHEMBL5398061,O43570,7.31,,,0.5156
O43570_CHEMBL5422153,O43570,6.55,,,0.5254
O43570_CHEMBL5395857,O43570,8.09,,,0.5073
O43570_CHEMBL5397659,O43570,7.42,,,0.625
O43570_CHEMBL5419752,O43570,7.36,,,0.7168
O43570_CHEMBL5404038,O43570,7.17,,,0.7231
O43570_CHEMBL5439318,O43570,8.14,,,0.5586
O43570_CHEMBL5405279,O43570,7.23,,,0.6948
O43570_CHEMBL5437142,O43570,6.39,,,0.5625
O43570_CHEMBL5420020,O43570,7.24,,,0.5371
O43570_CHEMBL5432770,O43570,8.17,,,0.5352
O43570_CHEMBL5395679,O43570,7.08,,,0.645
O43570_CHEMBL5424727,O43570,7.14,,,0.6128
O43570_CHEMBL5425125,O43570,8.41,,,0.3855
O43570_CHEMBL5412351,O43570,7.4,,,0.5537
O43570_CHEMBL5424664,O43570,7.23,,,0.5483
O43570_CHEMBL5420931,O43570,8.08,,,0.4854
O43570_CHEMBL5417084,O43570,6.51,,,0.5254
O43570_CHEMBL5430482,O43570,8.09,,,0.5073
O43570_CHEMBL5414077,O43570,8.03,,,0.625
O43570_CHEMBL5402143,O43570,7.31,,,0.7168
O43570_CHEMBL5426216,O43570,8.12,,,0.7231
O43570_CHEMBL5413021,O43570,7.35,,,0.5586
O43570_CHEMBL5402145,O43570,7.3,,,0.6948
O43570_CHEMBL5438010,O43570,7.05,,,0.5625
O43570_CHEMBL5421531,O43570,8.07,,,0.5371
O43570_CHEMBL5411936,O43570,7.2,,,0.5352
O43570_CHEMBL5419447,O43570,7.38,,,0.645
O43570_CHEMBL5396393,O43570,7.36,,,0.6128
O43570_CHEMBL5409658,O43570,7.56,,,0.3855
O43570_CHEMBL5413693,O43570,7.45,,,0.5537
O43570_CHEMBL5429073,O43570,7.63,,,0.5483
O43570_CHEMBL5401434,O43570,7.39,,,0.4854
O43570_CHEMBL5402497,O43570,7.28,,,0.6001
O43570_CHEMBL5412870,O43570,8.07,,,0.7666
O43570_CHEMBL5422706,O43570,8.2,,,0.7759
O43570_CHEMBL5425202,O43570,7.08,,,0.5
O43570_CHEMBL5433765,O43570,7.5,,,0.7407
O43570_CHEMBL5420539,O43570,8.07,,,0.7759
O43570_CHEMBL5395423,O43570,8.04,,,0.5
O43570_CHEMBL5407842,O43570,7.2,,,0.625
O43570_CHEMBL5396530,O43570,8.05,,,0.5835
O43570_CHEMBL5397521,O43570,8.03,,,0.625
O43570_CHEMBL5439370,O43570,8.04,,,0.6665
O43570_CHEMBL5415949,O43570,7.7,,,0.6665
O43570_CHEMBL5395274,O43570,8.07,,,0.5347
O43570_CHEMBL5407876,O43570,7.13,,,0.6982
O43570_CHEMBL5430374,O43570,7.04,,,0.7915
O43570_CHEMBL5403578,O43570,7.42,,,0.7798
O43570_CHEMBL5439016,O43570,8.09,,,0.6729
O43570_CHEMBL5430474,O43570,7.78,,,0.7871
O43570_CHEMBL5439521,O43570,8.23,,,0.6294
O43570_CHEMBL5433722,O43570,6.45,,,0.6904
O43570_CHEMBL5416307,O43570,7.51,,,0.6445
O43570_CHEMBL5402383,O43570,6.23,,,0.6089
O43570_CHEMBL5397739,O43570,7.08,,,0.6089
O43570_CHEMBL5399974,O43570,7.1,,,0.644
O43570_CHEMBL5422102,O43570,6.25,,,0.5557
O43570_CHEMBL5406077,O43570,7.72,,,0.6416
O43570_CHEMBL5440906,O43570,8.18,,,0.6719
O43570_CHEMBL5440763,O43570,7.42,,,0.4919
O43570_CHEMBL5436282,O43570,8.09,,,0.644
O43570_CHEMBL5411702,O43570,8.05,,,0.6719
O43570_CHEMBL5414836,O43570,7.32,,,0.4919
O43570_CHEMBL5399204,O43570,7.53,,,0.603
O43570_CHEMBL5433154,O43570,6.62,,,0.5146
O43570_CHEMBL5409881,O43570,7.11,,,0.5557
O43570_CHEMBL5403938,O43570,8.02,,,0.603
O43570_CHEMBL5421790,O43570,8.03,,,0.5146
O43570_CHEMBL5432812,O43570,8.08,,,0.6069
O43570_CHEMBL5408885,O43570,7.52,,,0.7896
O43570_CHEMBL5403077,O43570,7.21,,,0.6562
O43570_CHEMBL5420858,O43570,7.35,,,0.5903
O43570_CHEMBL5396677,O43570,7.44,,,0.6001
O43570_CHEMBL5413403,O43570,7.5,,,0.6152
O43570_CHEMBL5410282,O43570,5.59,,,0.4363
O43570_CHEMBL5417595,O43570,8.35,,,0.5166
O60341_CHEMBL5439389,O60341,6.97,,,0.5464
O60341_CHEMBL5408271,O60341,6.78,6.78,6.78,0.52
O60341_CHEMBL5416205,O60341,6.64,,,0.7661
O60341_CHEMBL5423159,O60341,6.69,,,0.541
O60341_CHEMBL5425308,O60341,7.375,,,0.5229
O60341_CHEMBL5433416,O60341,7.02,,,0.5171
O60341_CHEMBL5396850,O60341,7.07,,,0.4805
O60341_CHEMBL5434190,O60341,7.05,,,0.4934
O60341_CHEMBL5430614,O60341,7.22,,,0.5
O60341_CHEMBL5438843,O60341,7.43,,,0.5112
