# Provenance of everything under data/. The rule is the one checkpoints/ already uses:
# what PLABench generated goes into the Zenodo deposit, what someone else built is linked.
# "deposit" = shipped in the Zenodo archive; "link" = download it yourself from the source below.
# Checked 2026-09-15.
#
# path	what it is	origin	license	deposit / link	note
data/casp16_data/official_submissions/L{1000,3000}.AFFNTY	the stage-1 affinity submissions of the other CASP16 predictor groups	CASP16 predictor groups, published by the Prediction Center	same as above	link	no script in this repository reads them. https://predictioncenter.org/casp16/
data/chembl35/chembl35_filtered_input.csv	4,862 pairs / 71 targets after the Tanimoto 0.85 leakage filter	filter by this study; rows from ChEMBL 35 via Shimizu et al.	CC-BY-SA-3.0 (ChEMBL 35) with CC-BY-4.0 (Zenodo 18669539)	deposit	share-alike propagates: the deposit carries CC-BY-SA
data/chembl35/chembl35_full_input.csv	7,650 pairs / 84 targets, the unfiltered arm	Shimizu et al., Zenodo 18669539	CC-BY-4.0	deposit	https://zenodo.org/records/18669539
data/chembl35/chembl35_filter_ledger.csv	per-target removal counts for the filter	this study	-	deposit	-
data/chembl35/chembl35_removed_rows.csv	the 2,788 rows the filter dropped, with the corpus that matched	this study	-	deposit	-
data/chembl35/target_class_map.csv	UniProt accession to protein family	this study, from UniProt	CC-BY-4.0 (UniProt)	deposit	-
data/chembl35/Data_S1_target_aaseq.csv	target sequences of the 84 ChEMBL35 targets	Shimizu et al. supplementary Data S1	CC-BY-4.0	deposit	https://zenodo.org/records/18669539
data/AF3_structures/{chembl35_full,chembl35_multimer,L1000,L3000}	AlphaFold3 top-ranked complexes, converted to protein.pdb + ligand.sdf + ligand.mol2 + ligand.smi, one directory per complex	this study, using AlphaFold3 3.0.1	AlphaFold3 Output Terms of Use; non-commercial	deposit	Output may be distributed; the CIF-to-PDB/SDF conversion is the modification the Terms require notice of. See NOTICE_ALPHAFOLD3.txt in the archive
data/Boltz2_structures/{L1000,L3000,casf2013,casf2016,csar36,csar51}	Boltz-2 co-folded complexes as protein.pdb + ligand.sdf + ligand.mol2, the lower rungs of the pose ladder behind Figure 3	this study, using Boltz-2 2.2.0 from forks/boltz	MIT (Boltz-2); outputs unrestricted	deposit	fewer complexes than the experimental sets because folding does not return a pose for every target: 180 of 195 for CASF-2013, 275 of 285 for CASF-2016, 49 of 51 for CSAR-HiQ 51
data/Boltz2_tplpocket_structures/L3000	the template-guided Boltz-2 rung for CASP16 L3000, 93 complexes	this study, using Boltz-2 2.2.0 with the pocket template	MIT (Boltz-2); outputs unrestricted	deposit	the 0.76 A rung of the four-rung ladder
data/CSAR-HIQ_36, data/CSAR-HIQ_51	87 curated protein-ligand complexes	CSAR NRC HiQ set (Carlson lab); the CSAR portal is discontinued	no redistribution grant published	link	https://bindingmoad.org/Home/download serves "CSAR-NRC HiQ set" (CSAR_NRC_HiQ_Set_24Sept2010.tar, 343 complexes) and "CSAR-NRC HiQ Update" (467 after the update); Binding MOAD is itself sunset and now a static archive. Our 87 are a subset, each addressable by PDB code at https://www.rcsb.org/
data/Structure_independent/CSAR-HIQ_{36,51}_standardized_test.csv	the same 87 complexes as PDB-code / SMILES / pKd rows	standardization by this study	affinity values from CSAR	deposit (standardized table)	enough to rescore once the structures are downloaded
data/CASF-2013, data/CASF-2016	the CASF core sets, 195 and 285 complexes with their power_scoring affinity index	CASF, from the PDBbind authors	distributed under the CASF authors' own terms; no redistribution grant	link	request at http://www.pdbbind.org.cn/casf.php . 10 dataset configs read the coreset structures or power_scoring/CoreSet.dat
data/Structure_independent/CASF-201{3,6}_standardized_test.csv	the same complexes as PDB-code / SMILES / pKd rows	standardization by this study	affinity values from CASF	deposit (standardized table)	what the three sequence models read; enough to rescore once the structures are downloaded
data/{casf2013,casf2016,csar_hiq36,csar_hiq51}_{exp,boltz2}_prepared	the per-complex protein.pdb + ligand.mol2 layout MFE expects	this study	inherits the corpus each one points at	neither: regenerate	2,214 symlinks and no bytes of their own. `python scripts/data_prep/link_mfe_inputs.py` rebuilds all eight; the four boltz2 ones need only archive 02
