Target_class,Model,n_targets,n_compounds,mean_RMSE,mean_MSE,mean_Pearson,mean_Spearman,mean_Kendall,mean_CI,mean_Rm2
Hydrolase,boltz2,8,691,1.2885,2.0029,0.2486,0.2323,0.1622,0.581,0.0672
Hydrolase,mfe,8,691,1.3934,2.1824,0.2366,0.1695,0.1156,0.5581,0.0534
Hydrolase,flowdock,8,691,1.5421,3.0119,0.2084,0.1608,0.1092,0.5547,0.0592
Hydrolase,llf,8,691,1.4382,2.3413,0.2063,0.2483,0.1763,0.5883,0.0474
Hydrolase,deepdta,8,691,1.746,3.3349,0.1728,0.201,0.1475,0.5738,0.0626
Hydrolase,mixingdta,8,691,1.4923,2.5486,0.1385,0.1283,0.0905,0.5456,0.0231
Hydrolase,haiping,8,691,1.5755,2.5953,-0.0256,-0.0616,-0.0426,0.4787,0.0017
Transferase,flowr_root,6,1103,1.0547,1.1489,0.3938,0.4074,0.2907,0.6456,0.1514
Transferase,boltz2,6,1103,1.3846,2.0953,0.3221,0.327,0.2307,0.6157,0.076
Transferase,llf,6,1103,1.8532,3.5609,0.265,0.2734,0.1827,0.5918,0.0557
Transferase,deepdta,6,1103,1.4255,2.2445,0.2184,0.201,0.1368,0.5684,0.0403
Transferase,bapred,6,1103,1.2234,1.6131,0.2017,0.1472,0.1014,0.5507,0.0419
Transferase,mfe,6,1103,1.4056,2.0421,0.1298,0.1493,0.1051,0.5529,0.0399
Transferase,flowdock,6,1103,1.2987,1.9466,0.1243,0.1199,0.0789,0.5397,0.0111
Transferase,mixingdta,6,1103,1.3658,1.9087,0.1226,0.137,0.0905,0.5453,0.033
Transferase,haiping,6,1103,1.7194,3.0726,0.1108,0.0942,0.0594,0.53,0.0208
Lyase,flowr_root,5,1034,0.778,0.6199,0.5021,0.4912,0.3499,0.6754,0.225
Lyase,boltz2,5,1034,0.9885,1.009,0.3102,0.2858,0.1982,0.5994,0.0669
Lyase,mixingdta,5,1034,0.9269,0.8845,0.2453,0.2104,0.1435,0.5719,0.0311
Lyase,haiping,5,1034,0.9715,0.949,0.202,0.1688,0.1171,0.5588,0.0349
Lyase,bapred,5,1034,0.9995,1.0186,0.1762,0.1251,0.0862,0.5432,0.0114
Lyase,flowdock,5,1034,1.0466,1.1227,0.1602,0.1375,0.0952,0.5478,0.0204
Lyase,deepdta,5,1034,1.1825,1.4372,0.142,0.139,0.0892,0.5445,0.0054
Lyase,llf,5,1034,1.1365,1.367,0.1201,0.121,0.0802,0.5404,0.0092
Lyase,mfe,5,1034,0.8711,0.7683,0.1196,0.0289,0.0163,0.5083,0.0089
Transcription factor,mfe,5,209,1.6668,3.1038,0.1522,0.213,0.1405,0.5707,0.0264
Transcription factor,flowdock,5,209,1.83,4.1244,0.0928,0.1067,0.0771,0.5386,0.035
Transcription factor,flowr_root,5,209,0.8531,0.7495,0.0219,-0.0715,-0.039,0.4804,0.0556
Transcription factor,haiping,5,209,1.2747,1.7344,0.0013,-0.0084,0.0033,0.5017,0.0603
Transcription factor,bapred,5,209,1.4777,2.463,-0.0957,-0.0976,-0.0666,0.4663,-0.0165
Transcription factor,llf,5,209,2.0801,5.1979,-0.1389,-0.0879,-0.0561,0.4718,-0.034
Transcription factor,boltz2,5,209,1.3379,2.0557,-0.2046,-0.1683,-0.1278,0.4357,-0.0918
Transcription factor,mixingdta,5,209,1.4587,2.3653,-0.2404,-0.2241,-0.1569,0.4208,-0.0235
Transcription factor,deepdta,5,209,1.4158,2.1812,-0.2814,-0.2338,-0.1708,0.4139,-0.0957
Oxidoreductase,flowr_root,4,293,0.8132,0.696,0.4899,0.4623,0.3264,0.6641,0.184
Oxidoreductase,flowdock,4,293,0.9876,0.9939,0.3402,0.2579,0.1778,0.5895,0.0692
Oxidoreductase,boltz2,4,293,1.1659,1.4153,0.2094,0.1744,0.1227,0.5616,0.0322
Oxidoreductase,mfe,4,293,1.5853,2.7321,0.134,0.1046,0.0717,0.536,0.0593
Oxidoreductase,haiping,4,293,1.2797,1.6954,0.1244,0.0718,0.0518,0.5258,0.0192
Oxidoreductase,bapred,4,293,1.2987,1.8607,0.0647,0.0203,0.0165,0.5087,0.0145
Oxidoreductase,mixingdta,4,293,1.0834,1.2035,0.0195,0.0377,0.0251,0.5125,0.0543
Oxidoreductase,deepdta,4,293,1.4217,2.0958,0.0093,-0.0193,-0.0098,0.4948,0.0443
Oxidoreductase,llf,4,293,1.2281,1.5363,-0.0823,-0.1204,-0.0782,0.4606,0.008
Unclassified protein,deepdta,4,205,1.7104,3.1937,0.3379,0.2778,0.1913,0.5957,0.1609
Unclassified protein,mixingdta,4,205,1.4489,2.1237,0.3318,0.2619,0.1904,0.5956,0.1537
Unclassified protein,flowr_root,4,205,1.0837,1.3502,0.3141,0.2285,0.1598,0.5799,0.2554
Unclassified protein,llf,4,205,1.6361,2.8855,0.3063,0.2422,0.1688,0.5844,0.1671
Unclassified protein,boltz2,4,205,1.6665,2.8513,0.2573,0.1462,0.1034,0.5519,0.1067
Unclassified protein,haiping,4,205,1.4743,2.286,0.2145,0.1451,0.0894,0.5447,0.0985
Unclassified protein,bapred,4,205,1.3527,1.8645,0.1825,0.1169,0.0738,0.5369,0.0764
Unclassified protein,flowdock,4,205,1.5139,2.5075,0.1415,0.1111,0.0794,0.5398,0.0853
Unclassified protein,mfe,4,205,1.132,1.3139,0.1141,0.0667,0.0459,0.5232,0.1177
Ion channel,boltz2,2,152,1.6598,2.8036,0.2015,0.1963,0.1296,0.5649,0.0114
Ion channel,flowr_root,2,152,1.403,2.0523,0.0699,0.0173,0.0148,0.5074,0.001
Ion channel,mixingdta,2,152,2.3103,5.6922,0.0655,0.0527,0.0323,0.5162,0.0047
Ion channel,deepdta,2,152,2.6194,7.6909,0.0374,0.0352,0.0214,0.5106,0.0028
Ion channel,llf,2,152,3.2516,11.8882,-0.0046,0.0193,0.0169,0.508,0.0
Ion channel,haiping,2,152,2.1566,4.9167,-0.0139,-0.077,-0.0507,0.4747,-0.0043
Ion channel,bapred,2,152,1.5554,2.4751,-0.0496,-0.0643,-0.0395,0.4804,-0.0004
Ion channel,mfe,2,152,1.8192,3.3175,-0.0635,-0.0779,-0.056,0.4716,-0.0019
Ion channel,flowdock,2,152,2.1065,4.6331,-0.0985,-0.0616,-0.0409,0.4795,-0.0107
Protease,boltz2,2,79,1.5199,2.3823,0.5178,0.5174,0.3935,0.6975,0.2501
Protease,flowr_root,2,79,1.36,1.9778,0.459,0.3737,0.2618,0.6312,0.199
Protease,llf,2,79,1.0791,1.1657,0.4018,0.2554,0.1836,0.5918,0.1966
Protease,mixingdta,2,79,1.213,1.5106,0.3343,0.1736,0.1052,0.5526,0.0967
Protease,deepdta,2,79,1.3305,1.8457,0.2474,0.2036,0.1544,0.5777,0.0898
Protease,haiping,2,79,1.0468,1.0961,0.2133,0.1312,0.0954,0.5477,0.0667
Protease,bapred,2,79,1.5045,2.5259,0.1619,0.1687,0.124,0.5623,0.0873
Protease,flowdock,2,79,1.3836,1.9724,0.1618,0.1353,0.098,0.5493,0.0183
Protease,mfe,2,79,1.1781,1.3938,0.0114,-0.0223,-0.0047,0.4974,0.004
Cytochrome p450,flowr_root,1,56,1.239,1.534,-0.325,-0.34,-0.229,0.385,-0.005
Cytochrome p450,mfe,1,56,2.473,6.117,-0.556,-0.608,-0.42,0.29,-0.068
Cytochrome p450,bapred,1,56,1.938,3.755,-0.561,-0.582,-0.403,0.298,-0.147
Cytochrome p450,boltz2,1,56,1.815,3.293,-0.582,-0.579,-0.398,0.301,-0.188
Cytochrome p450,llf,1,56,2.802,7.849,-0.613,-0.564,-0.399,0.3,-0.057
Cytochrome p450,deepdta,1,56,2.304,5.307,-0.687,-0.646,-0.434,0.283,-0.284
Cytochrome p450,mixingdta,1,56,2.099,4.405,-0.729,-0.683,-0.481,0.259,-0.258
Cytochrome p450,haiping,1,56,2.252,5.071,-0.734,-0.64,-0.442,0.279,-0.361
Cytochrome p450,flowdock,1,56,2.603,6.776,-0.746,-0.603,-0.388,0.306,-0.424
Other nuclear protein,flowr_root,1,94,0.748,0.56,0.878,0.868,0.691,0.846,0.699
Other nuclear protein,mixingdta,1,94,1.376,1.894,0.833,0.831,0.63,0.816,0.457
Other nuclear protein,boltz2,1,94,1.254,1.574,0.801,0.815,0.616,0.809,0.498
Other nuclear protein,llf,1,94,1.684,2.835,0.792,0.771,0.568,0.784,0.415
Other nuclear protein,deepdta,1,94,1.205,1.452,0.785,0.742,0.539,0.77,0.427
Other nuclear protein,flowdock,1,94,1.339,1.793,0.753,0.775,0.579,0.79,0.373
Other nuclear protein,bapred,1,94,1.041,1.084,0.745,0.699,0.504,0.752,0.509
Other nuclear protein,mfe,1,94,1.728,2.985,0.741,0.763,0.578,0.79,0.37
Other nuclear protein,haiping,1,94,1.61,2.592,0.443,0.401,0.272,0.636,0.175
Phosphatase,mixingdta,1,42,0.821,0.674,0.689,0.638,0.469,0.735,0.386
Phosphatase,flowdock,1,42,1.42,2.016,0.676,0.661,0.49,0.745,0.378
Phosphatase,flowr_root,1,42,0.702,0.493,0.598,0.605,0.445,0.723,0.294
Phosphatase,deepdta,1,42,1.216,1.479,0.584,0.54,0.427,0.714,0.323
Phosphatase,bapred,1,42,0.842,0.709,0.583,0.522,0.371,0.686,0.182
Phosphatase,mfe,1,42,0.755,0.569,0.542,0.506,0.38,0.69,0.282
Phosphatase,haiping,1,42,0.912,0.832,0.477,0.452,0.308,0.654,0.184
Phosphatase,boltz2,1,42,0.787,0.619,0.436,0.498,0.331,0.666,0.155
Phosphatase,llf,1,42,1.155,1.334,0.055,0.078,0.045,0.523,0.002
Transporter,flowdock,1,83,1.508,2.275,0.436,0.388,0.271,0.636,0.141
Transporter,flowr_root,1,83,0.85,0.722,0.263,0.293,0.187,0.594,0.031
Transporter,boltz2,1,83,1.183,1.4,0.153,0.173,0.116,0.558,0.009
Transporter,haiping,1,83,1.066,1.136,0.126,0.065,0.048,0.524,0.004
Transporter,llf,1,83,2.462,6.059,0.104,0.015,0.011,0.505,0.007
Transporter,mfe,1,83,1.696,2.877,0.054,-0.026,-0.015,0.492,0.001
Transporter,mixingdta,1,83,2.21,4.883,0.013,0.018,0.012,0.506,0.0
Transporter,deepdta,1,83,1.925,3.707,-0.029,-0.008,-0.012,0.494,0.0
Transporter,bapred,1,83,1.502,2.256,-0.088,-0.034,-0.022,0.489,-0.001
